"node_1","node_2","edge"
18243,4797,1
18243,6967,3
24675193,24675191,5
18243,19624,5
6967,19187,1
4796,5779,5
18243,19149,1
6967,19149,1
19624,19149,1
24675193,9873,5
5779,9873,5
18243,5700,5
6967,5700,5
19624,5700,2
19624,10006,4
19187,10006,1
19149,10006,1
5700,10006,3
18243,19968,1
19624,19968,1
10006,19968,1
18243,19969,5
19624,19969,2
5700,19969,2
10006,19969,1
19968,19969,1
4796,9415380,5
5779,9415380,5
19624,19900,3
5700,19900,1
10006,19900,3
19969,19900,2
18243,20084,5
24675191,20084,1
19624,20084,2
5700,20084,1
19968,20084,2
19969,20084,5
19900,20084,1
18243,9398917,5
19624,9398917,5
19187,9398917,1
19149,9398917,1
19968,9398917,3
19969,9398917,5
19900,9398917,5
20084,9398917,5
24675193,18599,3
9873,18599,3
18243,19732,1
19968,19732,2
19969,19732,3
20084,19732,2
9398917,19732,5
18243,20587,5
19624,20587,5
19149,20587,1
5700,20587,3
10006,20587,5
19968,20587,1
19969,20587,1
19900,20587,5
20084,20587,3
9398917,20587,3
19732,20587,1
18243,20589,5
19624,20589,5
5700,20589,5
19968,20589,5
19969,20589,3
19900,20589,3
20084,20589,5
9398917,20589,5
19732,20589,5
20587,20589,5
18243,20746,2
19624,20746,3
19149,20746,1
5700,20746,1
10006,20746,3
19969,20746,1
19900,20746,2
20084,20746,2
9398917,20746,1
20587,20746,3
20589,20746,3
4796,3250,4
5779,3250,5
9415380,3250,2
18599,3250,4
9873,9181,2
18599,9181,2
3250,9181,5
5695,9181,3
18599,5703,1
9181,5703,1
18243,9416120,5
4797,9416120,2
6967,9416120,5
19624,9416120,2
19187,9416120,1
5700,9416120,5
10006,9416120,5
19968,9416120,1
19969,9416120,3
20084,9416120,1
20587,9416120,5
20589,9416120,1
6967,9592050,5
19624,9592050,2
19149,9592050,2
5700,9592050,1
10006,9592050,2
19900,9592050,1
20746,9592050,1
5779,8602,2
19968,8602,1
9415380,8602,1
19732,8602,5
20589,8602,5
5703,8602,1
18243,9450242,5
19624,9450242,4
19187,9450242,1
5700,9450242,5
10006,9450242,5
19968,9450242,4
19969,9450242,1
19900,9450242,3
20084,9450242,3
19732,9450242,1
20587,9450242,5
20589,9450242,5
20746,9450242,1
9416120,9450242,5
24675193,8967,5
24675191,8967,5
18599,8967,1
5703,8967,2
3250,5698,1
9181,5698,1
18243,7535011,1
19624,7535011,1
10006,7535011,1
19900,7535011,1
9398917,7535011,3
20587,7535011,1
20589,7535011,1
9416120,7535011,2
9450242,7535011,1
18243,9398910,5
4797,9398910,2
19624,9398910,3
19187,9398910,1
19149,9398910,1
5700,9398910,5
10006,9398910,5
19968,9398910,4
19969,9398910,3
19900,9398910,2
20084,9398910,4
19732,9398910,5
20587,9398910,5
20589,9398910,5
20746,9398910,3
9416120,9398910,5
8602,9398910,1
9450242,9398910,5
7535011,9398910,1
18243,9429868,5
6967,9429868,5
19624,9429868,5
19187,9429868,1
5700,9429868,5
10006,9429868,3
19968,9429868,3
19969,9429868,4
19900,9429868,4
