"node_1","node_2","edge"
4799,4067,5
4800,20197,5
4067,18863,5
4067,3058,5
18863,3058,5
4067,27761248,5
18863,27761248,5
3058,27761248,5
4067,6162,3
18863,6162,5
3058,6162,2
27761248,6162,5
4067,656,5
18863,656,5
3058,656,4
27761248,656,5
6162,656,4
6973370,82,1
18863,3061,5
27761248,3061,5
4800,6983410,5
4067,6983410,5
18863,6983410,5
3058,6983410,5
27761248,6983410,5
6162,6983410,5
656,6983410,5
3061,6983410,5
4067,3174,5
18863,3174,5
3058,3174,5
27761248,3174,5
6162,3174,5
656,3174,5
6983410,3174,5
4067,3825,5
18863,3825,5
3058,3825,5
27761248,3825,5
6162,3825,5
656,3825,5
6983410,3825,5
3174,3825,5
4800,6975981,5
4067,6975981,5
18863,6975981,5
3058,6975981,5
27761248,6975981,5
6162,6975981,5
656,6975981,5
3061,6975981,5
6983410,6975981,5
3174,6975981,5
3825,6975981,5
4067,7000771,5
18863,7000771,5
3058,7000771,5
27761248,7000771,5
6162,7000771,5
656,7000771,5
6983410,7000771,5
3174,7000771,5
3825,7000771,5
6975981,7000771,5
18863,18770,2
27761248,18770,5
6983410,18770,5
3825,18770,2
6975981,18770,5
7000771,18770,1
4067,7107636,5
18863,7107636,5
3058,7107636,5
27761248,7107636,5
6162,7107636,5
656,7107636,5
3061,7107636,5
6983410,7107636,5
3174,7107636,5
3825,7107636,5
6975981,7107636,5
7000771,7107636,5
18770,7107636,5
4799,12171,2
4800,7091941,5
4067,7091941,5
18863,7091941,5
3058,7091941,5
27761248,7091941,5
6162,7091941,5
656,7091941,5
3061,7091941,5
6983410,7091941,5
3174,7091941,5
3825,7091941,5
6975981,7091941,5
7000771,7091941,5
18770,7091941,5
7107636,7091941,5
4800,7071423,5
4067,7071423,5
18863,7071423,5
3058,7071423,5
27761248,7071423,5
6162,7071423,5
656,7071423,5
3061,7071423,5
6983410,7071423,5
3174,7071423,5
3825,7071423,5
6975981,7071423,5
7000771,7071423,5
18770,7071423,5
7107636,7071423,5
7091941,7071423,5
18863,12282,5
27761248,12282,5
6983410,12282,5
3174,12282,5
3825,12282,5
6975981,12282,5
7000771,12282,5
7107636,12282,5
7091941,12282,5
7071423,12282,5
4067,6989144,5
18863,6989144,5
3058,6989144,5
