"node_1","node_2","edge"
18865,5857,5
18865,5848,5
18865,2772,1
5857,2772,5
18865,11571,5
5848,11571,5
18865,913,4
5848,913,2
2772,913,2
18865,2438,5
5848,2438,5
2772,2438,4
913,2438,5
9911127,4803,5
5862,4803,3
9911127,20199,5
4803,20199,5
5857,9788928,4
20199,9788928,1
18865,2222,3
5857,2222,1
5862,2222,2
2772,2222,1
913,2222,5
2438,2222,1
18865,958,3
4803,958,1
4802,8609,5
18865,8609,2
5862,8609,1
4802,10099,5
18865,8772,3
5848,8772,1
2772,8772,2
913,8772,5
2438,8772,5
2222,8772,1
18865,259,3
2222,259,3
18865,7334,5
5857,7334,3
5862,7334,5
4803,7334,5
2222,7334,5
958,7334,4
18865,8933,5
5857,8933,5
5862,8933,5
913,8933,5
2438,8933,2
4803,8933,1
2222,8933,5
958,8933,1
8772,8933,5
259,8933,5
7334,8933,5
18865,16185,5
913,16185,1
2438,16185,5
18865,9606615,5
5857,9606615,5
5862,9606615,5
11571,9606615,1
913,9606615,5
2438,9606615,4
2222,9606615,5
958,9606615,1
8772,9606615,5
259,9606615,5
7334,9606615,5
8933,9606615,5
16185,9606615,1
18865,9610727,5
5857,9610727,5
5862,9610727,5
5848,9610727,5
2772,9610727,1
913,9610727,5
2438,9610727,5
2222,9610727,5
958,9610727,4
8772,9610727,5
259,9610727,5
7334,9610727,5
8933,9610727,5
16185,9610727,5
9606615,9610727,5
18865,9616151,5
5857,9616151,5
5862,9616151,5
913,9616151,5
2438,9616151,5
2222,9616151,5
958,9616151,2
8772,9616151,5
259,9616151,5
7334,9616151,5
8933,9616151,5
16185,9616151,4
9606615,9616151,5
9610727,9616151,5
5857,9640572,1
4803,9640572,4
7334,9640572,5
8933,9640572,5
9606615,9640572,5
9610727,9640572,5
9616151,9640572,5
18865,244,5
5857,244,1
2772,244,4
2222,244,1
259,244,1
8933,244,1
9606615,244,5
9610727,244,5
9616151,244,3
9911127,28740688,4
9788928,28740688,3
7334,28740688,5
5862,9600458,4
4803,9600458,5
20199,9600458,5
9640572,9600458,1
18865,5856,5
5857,5856,2
5862,5856,5
11571,5856,1
913,5856,5
2438,5856,2
2222,5856,5
8772,5856,1
259,5856,4
7334,5856,5
8933,5856,5
9606615,5856,5
9610727,5856,5
9616151,5856,5
9640572,5856,1
244,5856,2
18865,6859,1
5857,6859,5
2772,6859,1
18865,7612,5
5857,7612,3
5862,7612,4
11571,7612,5
913,7612,5
2438,7612,5
2222,7612,5
8772,7612,4
259,7612,5
7334,7612,5
8933,7612,5
16185,7612,2
9606615,7612,5
9610727,7612,5
9616151,7612,5
9640572,7612,5
244,7612,4
5856,7612,5
18865,9674979,1
5862,9674979,5
11571,9674979,4
4803,9674979,5
20199,9674979,3
7334,9674979,2
5856,9674979,5
18865,1917,5
5857,1917,1
5862,1917,5
2222,1917,5
259,1917,1
7334,1917,5
8933,1917,5
9606615,1917,5
9610727,1917,5
9616151,1917,5
9640572,1917,1
5856,1917,5
7612,1917,5
9674979,1917,5
18865,5840,1
8933,5840,1
9606615,5840,3
9610727,5840,5
9616151,5840,3
5856,5840,1
7612,5840,4
18865,9610267,5
5857,9610267,5
