"node_1","node_2","edge"
8481,17296,5
8481,5798,5
17296,5798,1
18833,20198,5
18833,20909,5
20198,20909,5
18833,8425625,5
20198,8425625,5
20909,8425625,5
18833,4632635,5
20198,4632635,5
20909,4632635,5
8481,2299,5
5798,2299,3
8481,6458,4
17296,6458,1
5798,6458,1
18833,5806,4
5798,5806,2
18833,16365681,5
20198,16365681,5
4632635,16365681,5
8481,5814,2
5798,5814,1
5806,5814,3
8481,10095,1
18833,8425332,3
8425625,8425332,5
5806,8425332,5
20909,943,1
8481,6948,5
8481,18772,5
5798,18772,1
8481,8424952,1
16365681,3902,5
17296,12586,1
435,12586,1
3902,12586,1
8481,1854,2
5798,1854,5
8481,914,1
5798,914,2
2299,5811,1
6948,5811,3
8424952,5811,1
12586,5811,1
5811,259,3
17296,8443545,1
6458,8443545,1
5806,8443545,1
6948,8443545,1
8424952,8443545,1
18833,8464019,5
20198,8464019,4
20909,8464019,5
8425625,8464019,5
16365681,8464019,5
16365681,18623,3
943,18623,2
3902,18623,5
1854,18623,1
8481,7102,1
435,7102,1
8481,1045,3
5798,1045,1
5811,2818,1
5811,5800,2
18623,5800,3
18833,5810,5
20909,5810,5
8425625,5810,5
8464019,5810,4
8481,9263,2
17296,9263,2
2299,9263,1
6948,9263,3
12586,9263,1
5811,9263,3
2818,9263,1
5800,9263,2
8481,10309,3
17296,10309,2
8424952,10309,1
5811,10309,1
8443545,10309,1
9263,10309,1
2299,8668840,1
16365681,8668840,1
2818,8668840,1
18833,8835070,5
5798,8835070,1
20198,8835070,3
4632635,8835070,5
2299,8835070,1
16365681,8835070,5
8464019,8835070,1
2818,8835070,1
5800,8835070,1
5810,8835070,1
9263,8835070,5
8668840,8835070,5
12586,132,1
5811,132,1
9263,132,5
8481,958,2
5811,958,1
18833,6330378,5
20198,6330378,5
20909,6330378,5
4632635,6330378,5
943,6330378,2
259,6330378,1
18833,8425066,5
20198,8425066,5
20909,8425066,1
8425625,8425066,3
4632635,8425066,3
259,8425066,1
6330378,8425066,5
8481,6083,1
435,6083,2
3902,6083,1
12586,6083,1
18833,898,5
20198,898,5
8464019,898,1
8481,6749,1
1854,2675,1
18623,2675,1
8424952,4994,1
259,4994,2
8668840,4994,1
132,4994,1
5798,8851050,5
6458,8851050,1
5814,8851050,5
10095,8851050,2
