"node_1","node_2","edge"
4807,229103,5
4807,252304,5
4807,16151,5
229103,16151,5
4807,278389,5
229103,278389,5
252304,278389,5
16151,278389,5
4807,85534,5
229103,85534,5
16151,85534,5
278389,85534,5
4807,295912,5
229103,295912,5
252304,295912,5
16151,295912,5
278389,295912,5
85534,295912,5
4807,14103,5
229103,14103,5
252304,14103,1
16151,14103,5
278389,14103,5
85534,14103,5
295912,14103,5
4807,26722,5
229103,26722,5
252304,26722,5
16151,26722,5
278389,26722,5
85534,26722,5
295912,26722,5
14103,26722,5
4807,100247,5
229103,100247,5
252304,100247,5
16151,100247,5
278389,100247,5
85534,100247,5
295912,100247,5
14103,100247,5
26722,100247,5
252304,3288,5
26722,3288,5
4807,278107,5
229103,278107,5
16151,278107,5
278389,278107,5
85534,278107,5
295912,278107,5
14103,278107,5
26722,278107,5
100247,278107,5
295912,3267,5
14103,3267,5
100247,3267,5
4806,254314,5
100247,3468,1
278107,20831,2
252304,22145,2
16151,22145,3
85534,22145,3
295912,22145,5
14103,22145,5
26722,22145,5
100247,22145,5
278107,22145,5
229103,4729,5
16151,4729,5
278389,4729,5
85534,4729,5
14103,4729,5
26722,4729,5
100247,4729,1
3288,4729,2
278107,4729,5
18824,4729,5
4807,20416,2
229103,20416,5
16151,20416,5
85534,20416,5
295912,20416,5
14103,20416,5
26722,20416,1
100247,20416,5
278107,20416,5
100247,2941,5
100247,19445,2
4807,19647,5
229103,19647,5
16151,19647,5
278389,19647,5
85534,19647,5
295912,19647,5
14103,19647,5
100247,19647,5
278107,19647,5
3267,19647,4
20416,19647,5
229103,19613,5
16151,19613,5
85534,19613,5
295912,19613,5
14103,19613,5
100247,19613,5
278107,19613,5
4729,19613,1
20416,19613,5
19647,19613,5
18824,20666,5
100247,19595,1
18824,26355171,5
20666,26355171,5
20441,31629106,1
18824,31629106,5
4729,31629106,5
20666,31629106,5
26355171,31629106,5
254314,958,1
3468,144191,2
18824,19860,5
4729,19860,5
26355171,19860,1
31629106,19860,5
18824,19629,5
20666,19629,5
26355171,19629,5
31629106,19629,5
19860,19629,2
18824,20499,5
31629106,20499,5
19860,20499,1
19629,20499,5
26355171,20461,1
31629106,20461,5
3288,22215170,3
18824,22215170,5
4729,22215170,5
20666,22215170,5
26355171,22215170,5
31629106,22215170,5
19860,22215170,5
19629,22215170,5
20499,22215170,5
100247,4414,1
3288,20450,5
20441,20450,5
4729,20450,2
20416,20450,5
19613,20450,5
26355171,20450,5
31629106,20450,5
19629,20450,3
20461,20450,5
22215170,20039,2
4807,22246139,2
229103,22246139,5
16151,22246139,5
278389,22246139,5
85534,22246139,5
14103,22246139,5
26722,22246139,5
278107,22246139,5
4729,22246139,5
26355171,22246139,1
31629106,22246139,5
19629,22246139,5
31629106,19874,5
19613,20131,1
20450,20131,4
31629106,20912,5
3288,19474,5
20831,19474,5
4068,19474,2
4438,19474,1
4238,19474,4
20131,19474,5
19443,19474,5
4807,20377,5
229103,20377,5
16151,20377,5
278389,20377,5
85534,20377,5
295912,20377,5
14103,20377,5
26722,20377,5
100247,20377,5
278107,20377,5
18824,20377,5
22145,20377,1
4729,20377,5
20416,20377,3
19647,20377,4
31629106,20377,5
19860,20377,2
22215170,20377,5
22246139,20377,5
19474,20377,5
16741209,20664,2
19894,20664,1
20441,19139,1
18824,19139,3
4729,19139,3
19613,19139,5
26355171,19139,2
31629106,19139,5
19860,19139,1
19629,19139,5
20499,19139,1
20461,19139,5
22215170,19139,5
20450,19139,5
22246139,19139,5
26722,19178,4
278107,19178,1
22246139,19178,5
20377,19178,1
100247,290457,2
19474,290457,2
18824,2801398,5
20839,2801398,2
3125,2801398,5
4414,2801398,1
4238,2801398,5
19874,2801398,5
2741,2801398,3
20912,2801398,4
290457,2801398,4
19613,3280,1
2801398,3280,5
4807,20028,5
229103,20028,5
16151,20028,5
278389,20028,5
85534,20028,5
295912,20028,5
14103,20028,5
26722,20028,5
278107,20028,5
4729,20028,3
20416,20028,5
22246139,20028,5
20377,20028,5
254314,27918680,5
144191,27918680,5
2801398,27918680,2
18824,32747324,4
19629,32747324,1
20664,32747324,5
19139,32747324,5
2801398,32747324,5
19474,19198,3
20377,19198,5
20664,19198,5
4807,20103,5
229103,20103,5
16151,20103,5
278389,20103,5
85534,20103,5
295912,20103,5
14103,20103,5
26722,20103,5
100247,20103,5
278107,20103,5
20416,20103,2
19647,20103,5
19613,20103,1
19474,20103,5
20377,20103,3
20664,20103,1
20028,20103,5
19613,38601311,4
26355171,38601311,5
19629,38601311,5
20461,38601311,5
20450,38601311,5
22246139,38601311,1
19139,38601311,5
19178,38601311,5
32747324,38601311,5
4807,279024,5
229103,279024,5
252304,279024,5
16151,279024,5
278389,279024,5
85534,279024,5
14103,279024,5
26722,279024,5
3288,279024,5
278107,279024,5
16741209,279024,2
3295,279024,4
20839,279024,4
22145,279024,5
4068,279024,3
4729,279024,5
20368,279024,2
20416,279024,3
2941,279024,3
20666,279024,5
144191,279024,1
4238,279024,3
22246139,279024,5
20131,279024,5
19443,279024,1
20912,279024,3
3298,279024,2
20377,279024,5
19178,279024,5
20028,279024,5
19198,279024,5
20103,279024,2
31629106,19544,5
20461,19544,2
20039,19544,2
22246139,19544,1
19874,19544,3
19139,19544,1
2801398,19544,5
3280,19544,2
32747324,19544,5
85534,19289,3
295912,19289,5
14103,19289,5
100247,19289,5
3288,19289,1
278107,19289,4
16741209,19289,5
3295,19289,2
19894,19289,2
22145,19289,5
4729,19289,4
20368,19289,2
20416,19289,5
2941,19289,1
19445,19289,1
19647,19289,5
19613,19289,5
20461,19289,1
4414,19289,1
20450,19289,5
20131,19289,5
3298,19289,1
20377,19289,5
19139,19289,5
3280,19289,2
19198,19289,5
38601311,19289,5
20441,83437,5
19629,83437,2
20461,83437,5
20450,83437,5
20039,83437,5
22246139,83437,5
20377,83437,4
19139,83437,5
19178,83437,5
32747324,83437,2
19198,83437,1
38601311,83437,3
19544,83437,5
295912,1466,2
100247,1466,5
144191,1466,5
27918680,1466,4
18824,22287468,5
22215170,22287468,5
32747324,22287468,1
19474,18866,2
144191,2751,3
279024,2751,2
229103,3278,1
16151,3278,5
85534,3278,2
295912,3278,5
14103,3278,5
26722,3278,1
100247,3278,5
278107,3278,5
2801398,3278,5
279024,3278,2
19289,3278,1
144191,2772,5
19474,2772,5
27918680,2772,5
22215170,10775,3
4807,17000313,5
229103,17000313,5
16151,17000313,5
278389,17000313,5
85534,17000313,5
295912,17000313,5
14103,17000313,5
26722,17000313,3
100247,17000313,5
278107,17000313,5
20416,17000313,1
19647,17000313,5
19613,17000313,3
19139,17000313,5
20028,17000313,5
32747324,17000313,1
20103,17000313,5
38601311,17000313,5
19289,17000313,5
4807,21981,5
229103,21981,5
252304,21981,5
16151,21981,5
278389,21981,5
85534,21981,5
295912,21981,5
14103,21981,5
26722,21981,5
100247,21981,5
278107,21981,5
19647,21981,3
19139,21981,5
20028,21981,1
32747324,21981,5
20103,21981,3
38601311,21981,5
17000313,21981,5
18824,38565607,5
20831,38565607,1
4729,38565607,5
20666,38565607,5
19595,38565607,2
26355171,38565607,5
31629106,38565607,5
19860,38565607,5
19629,38565607,5
20499,38565607,5
22215170,38565607,5
22246139,38565607,5
20912,38565607,5
20377,38565607,5
19139,38565607,3
38601311,38565607,2
17000313,38565607,5
252304,19177,4
26722,19177,4
279024,19177,5
19289,19177,1
38565607,19177,5
20441,20865,3
16741209,20865,1
3295,20865,3
26355171,20865,2
19629,20865,5
20499,20865,5
20461,20865,5
22246139,20865,5
20912,20865,3
19139,20865,5
290457,20865,1
2801398,20865,2
32747324,20865,5
38601311,20865,5
83437,20865,5
17000313,20865,5
21981,20865,5
19177,20865,5
20441,3452,5
20831,3452,2
22145,3452,5
20368,3452,1
19860,3452,2
20461,3452,5
22215170,3452,5
20450,3452,5
20039,3452,5
19874,3452,5
20377,3452,5
19139,3452,5
19198,3452,5
83437,3452,5
20441,132002,5
22145,132002,4
20368,132002,2
31629106,132002,5
20461,132002,5
22215170,132002,5
20450,132002,5
20039,132002,5
19874,132002,5
20377,132002,5
19139,132002,5
19198,132002,5
83437,132002,5
3452,132002,5
20644,38597962,5
19474,38597962,1
38565607,38597962,2
4807,23043,5
229103,23043,5
252304,23043,5
16151,23043,5
278389,23043,5
85534,23043,5
295912,23043,5
14103,23043,5
26722,23043,5
100247,23043,5
278107,23043,5
19647,23043,2
22246139,23043,3
20377,23043,4
20028,23043,5
20103,23043,4
279024,23043,5
17000313,23043,4
21981,23043,5
20865,23043,5
20441,13754,1
20416,13754,5
26355171,13754,2
144191,13754,3
20450,13754,5
2801398,13754,5
38597962,13754,5
22287468,10670,5
13754,10670,5
19474,2566,1
2801398,2566,1
26355171,3285,1
19544,3285,1
83437,3285,5
23043,3285,1
13754,3285,3
4807,21890,5
229103,21890,5
252304,21890,5
16151,21890,5
278389,21890,5
85534,21890,5
295912,21890,5
14103,21890,5
26722,21890,5
100247,21890,5
3288,21890,1
278107,21890,5
18824,21890,3
20831,21890,4
20839,21890,4
22145,21890,5
20416,21890,3
19647,21890,5
19613,21890,3
20131,21890,5
20028,21890,5
20103,21890,5
279024,21890,5
3278,21890,2
17000313,21890,5
21981,21890,5
23043,21890,5
3285,21890,5
4807,22180,5
229103,22180,5
252304,22180,5
16151,22180,5
278389,22180,5
85534,22180,5
295912,22180,5
14103,22180,5
26722,22180,5
100247,22180,5
3288,22180,2
278107,22180,5
18824,22180,2
3295,22180,2
20831,22180,5
20839,22180,1
22145,22180,5
4729,22180,5
20416,22180,5
19647,22180,5
19613,22180,1
22246139,22180,5
20131,22180,2
20377,22180,5
20028,22180,5
20103,22180,5
279024,22180,5
3278,22180,2
17000313,22180,5
21981,22180,5
38565607,22180,5
23043,22180,5
3285,22180,5
21890,22180,5
4807,21931,5
229103,21931,5
252304,21931,5
16151,21931,5
278389,21931,5
85534,21931,5
295912,21931,5
14103,21931,5
26722,21931,5
100247,21931,5
278107,21931,5
19647,21931,5
20644,21931,2
20028,21931,3
20103,21931,5
279024,21931,5
17000313,21931,5
21981,21931,5
20865,21931,5
23043,21931,5
21890,21931,5
22180,21931,5
18824,22252073,5
4729,22252073,3
20666,22252073,1
26355171,22252073,2
31629106,22252073,5
19860,22252073,5
19629,22252073,3
20499,22252073,2
3125,22252073,2
22215170,22252073,5
20912,22252073,3
20377,22252073,3
19139,22252073,1
2801398,22252073,5
32747324,22252073,5
19198,22252073,5
19544,22252073,5
22287468,22252073,5
10775,22252073,1
38565607,22252073,5
21931,22252073,5
19474,566,2
4806,3664,5
10670,3664,1
19474,4264,3
4806,17073,5
254314,17073,5
3664,17073,5
4806,7536,5
958,7536,5
18866,7536,1
17073,7536,5
19474,10450,3
2801398,10450,5
279024,10450,5
7536,10450,5
4806,13277,5
19443,13277,5
17073,13277,5
7536,13277,5
4806,33694,5
20416,33694,5
19647,33694,5
17073,33694,5
7536,33694,5
10450,33694,2
13277,33694,5
4806,253288,5
254314,253288,5
958,253288,1
27918680,253288,3
17073,253288,5
7536,253288,5
13277,253288,5
33694,253288,5
254314,10765,3
144191,10765,5
3664,10765,1
17073,10765,1
7536,10765,3
958,29172,2
13277,29172,1
253288,29172,5
10765,29172,4
13277,2409991,5
10765,2409991,5
29172,2409991,5
20644,4688,1
279024,4688,5
22287468,10721,2
229103,119,5
16151,119,2
278389,119,2
85534,119,5
14103,119,2
26722,119,5
278107,119,5
18824,119,5
4729,119,5
26355171,119,5
31629106,119,5
19860,119,3
19629,119,5
