"node_1","node_2","edge"
4813,20417,5
4813,4811,5
20417,4811,5
4811,19736,1
4813,6724585,5
20417,6724585,1
19736,6724585,5
4813,20228,5
20417,20228,2
4811,20228,5
6724585,20228,5
4813,2351,5
20417,2351,5
6724585,2351,5
20228,2351,5
4813,20133,5
20417,20133,5
4811,20133,5
19736,20133,2
6724585,20133,5
20228,20133,5
2351,20133,5
20417,20210,2
4811,20210,5
20228,20210,4
2351,20210,5
20133,20210,3
4811,6518581,5
6724585,6518581,5
20228,6518581,2
2351,6518581,5
4813,6018885,5
19450,6018885,5
6724585,6018885,5
20228,6018885,5
2351,6018885,5
20133,6018885,3
20210,6018885,3
6518581,6018885,5
4813,6082643,5
19450,6082643,5
6724585,6082643,5
20228,6082643,5
2351,6082643,5
20133,6082643,5
20210,6082643,5
6518581,6082643,5
6018885,6082643,5
6348,6023542,5
16144,6023542,1
4813,6342,5
20417,6342,5
4811,6342,5
6724585,6342,5
20228,6342,5
2351,6342,5
20133,6342,5
20210,6342,3
6518581,6342,1
6018885,6342,5
6082643,6342,5
4813,5993499,5
20417,5993499,5
4811,5993499,5
19450,5993499,2
19736,5993499,3
6346,5993499,1
20228,5993499,5
2351,5993499,5
20133,5993499,5
20210,5993499,2
6342,5993499,5
4813,19117,2
20417,19117,1
19736,19117,5
6724585,19117,3
2351,19117,2
20133,19117,2
6018885,19117,4
6082643,19117,5
5993499,19117,5
4813,19204,5
19736,19204,2
6082643,19204,2
16144,19204,3
6342,19204,5
5993499,19204,3
19736,20214,1
6724585,20214,2
6518581,20214,5
6018885,20214,5
6082643,20214,5
19117,20214,2
4811,6350,4
6348,6005211,1
6023542,6005211,5
6332,6005211,5
4813,6003922,5
20417,6003922,5
19450,6003922,3
6724585,6003922,5
2351,6003922,5
20133,6003922,2
20210,6003922,3
6018885,6003922,5
6082643,6003922,5
6342,6003922,5
19117,6003922,1
6350,6003922,2
4813,20211,4
20417,20211,2
19450,20211,3
2351,20211,5
20133,20211,5
20210,20211,5
6342,20211,4
6350,20211,4
6003922,20211,5
6348,6021030,5
16144,6021030,2
10051,6021030,5
6332,6021030,3
6005211,6021030,5
4813,20203,5
20417,20203,3
19736,20203,1
6724585,20203,5
20228,20203,5
2351,20203,5
20133,20203,5
20210,20203,3
6518581,20203,1
6018885,20203,5
6082643,20203,5
6342,20203,5
5993499,20203,5
19117,20203,1
19204,20203,1
6350,20203,1
5987104,20203,5
6348,4808,5
6023542,4808,5
6332,4808,3
6005211,4808,5
6023542,5992635,5
6332,5992635,3
6005211,5992635,5
4808,5992635,5
6023542,6333,2
6005211,6333,5
6021030,6333,1
4808,6333,5
5992635,6333,4
4811,4378931,2
19736,4378931,1
20228,4378931,5
2351,4378931,3
20133,4378931,2
6018885,4378931,5
6082643,4378931,5
5993499,4378931,5
19117,4378931,1
20214,4378931,1
20203,4378931,5
4813,5994117,3
20417,5994117,2
19736,5994117,5
6724585,5994117,3
2351,5994117,5
20133,5994117,5
6518581,5994117,2
6342,5994117,5
19204,5994117,2
6350,5994117,5
5987104,5994117,5
20203,5994117,5
16144,4120,2
6023542,4120,5
4808,4120,5
6348,5129629,2
16144,5129629,5
6023542,5129629,5
4120,5129629,5
4813,6338,3
20417,6338,1
6724585,6338,5
2351,6338,5
20133,6338,2
6342,6338,2
6003922,6338,1
20203,6338,1
5994117,6338,4
6332,6022316,5
6005211,6022316,5
4808,6022316,3
5992635,6022316,5
6333,6022316,5
2351,11649,5
16144,11649,5
6003922,11649,5
20211,11649,5
4813,10456,5
20417,10456,5
19736,10456,1
6724585,10456,5
20228,10456,5
