"node_1","node_2","edge"
40614542,7308966,5
40614542,18254,5
40614493,18254,5
7308966,18254,5
7310288,7308012,5
40614493,40614474,5
40614477,40614474,5
40614474,7455628,5
40614493,7091757,5
40614474,7091757,5
40614493,7523989,5
40614477,7523989,5
18254,7523989,5
40614474,7523989,5
40614493,5210599,5
7308966,5210599,5
18254,5210599,5
40614474,5210599,1
7091757,5210599,5
7308012,7134050,4
7310288,40614608,5
7308012,7090897,5
7134050,7090897,5
7310288,18251,5
7308012,18251,5
40614608,18251,5
7310288,7564257,5
7308012,7564257,5
7518059,7564257,5
7310288,7518402,5
7134050,7518402,5
18251,7518402,5
7310288,7543574,5
7308012,7543574,5
40614608,7543574,4
18251,7543574,5
7310288,20700,5
7308012,20700,2
7134050,20700,1
40614608,20700,5
18251,20700,5
7518402,20700,5
7543574,20700,5
5210599,7456851,5
7310288,40613728,5
18251,40613728,5
7564257,40613728,5
7310288,7472503,5
7308012,7472503,5
7134050,7472503,5
18251,7472503,1
7564257,7472503,5
20700,7472503,1
40613728,7472503,5
7091757,7091716,5
7310288,40614615,5
18251,40614615,5
20700,40614615,5
7310288,7333992,5
7308012,7333992,5
7134050,7333992,1
40614608,7333992,5
18251,7333992,5
7543574,7333992,5
40613728,7333992,5
7472503,7333992,5
40614615,7333992,5
7308012,7303289,2
40614608,7303289,3
18251,7303289,1
7543574,7303289,5
7333992,7303289,5
40614477,7589568,5
7309433,7589568,5
7310288,7520059,1
7134050,7520059,3
18251,7520059,1
7333992,7520059,5
7518402,6732,5
7091716,6732,5
7310288,7519761,2
7308012,7519761,5
7134050,7519761,1
40614608,7519761,5
7090897,7519761,5
18251,7519761,5
7543574,7519761,5
20700,7519761,5
40613728,7519761,2
40614615,7519761,5
7333992,7519761,5
7564257,7450655,5
40613728,7450655,5
7472503,7450655,5
7333992,7450655,5
7310288,7520023,3
7308012,7520023,5
40614608,7520023,5
18251,7520023,2
7472503,7520023,3
7333992,7520023,5
7303289,7520023,5
7520059,7520023,2
7310288,13788,5
7308012,13788,5
7134050,13788,3
7090897,13788,5
18251,13788,5
7518402,13788,1
7543574,13788,2
20700,13788,4
40613728,13788,5
7472503,13788,5
40614615,13788,5
7333992,13788,5
7519761,13788,5
40614493,7456836,5
7308966,7456836,5
18254,7456836,5
5210599,7456836,5
40614542,7456790,3
40614493,7456790,5
6732,7456790,5
6406,7456790,1
7520059,2034,5
6406,2034,4
20700,6399,5
6732,6399,1
7456790,6399,4
2034,6399,2
40614474,6415,3
7518402,6415,1
2034,6415,5
6399,6415,3
6412,4298350,5
7303289,4298350,4
6415,4298350,5
7308012,4298529,3
40614608,4298529,2
7564257,4298529,1
7543574,4298529,5
20700,4298529,3
7519761,4298529,5
7450655,4298529,1
40614474,7370197,5
7309433,7370197,5
6412,7370197,1
6399,7370197,5
40614474,10041,1
7455628,10041,5
7523989,10041,3
2034,10041,1
4298350,10041,1
7370197,10041,2
40614474,6012,5
7091757,6012,2
7370197,6012,2
40614493,793,3
40614474,793,5
7091757,793,5
7523989,793,2
6412,793,1
6399,793,1
7370197,793,5
10041,793,1
7308966,7091705,5
18254,7091705,2
5210599,7091705,5
6406,7091705,1
2034,7091705,2
40614493,7108301,5
18254,7108301,1
40614474,7108301,5
7523989,7108301,5
6399,7108301,3
6415,7108301,5
10041,7108301,2
6012,7108301,5
793,7108301,5
7308966,6413,2
2034,6413,5
6399,6413,5
6415,6413,5
7370197,6413,4
6012,6413,3
6412,43655796,1
7303289,43655796,1
7520023,43655796,1
4298529,43655796,5
7310288,7087857,4
7308012,7087857,3
7564257,7087857,5
40613728,7087857,5
7472503,7087857,5
7519761,7087857,1
7450655,7087857,5
4298529,7087857,3
7308012,7302978,1
7333992,7302978,5
7520059,7302978,5
7520023,7302978,5
13788,7302978,2
2034,7302978,2
793,7302978,1
6413,7302978,1
7091757,6403,2
7456790,6403,2
7370197,6403,2
793,6403,4
7108301,6403,2
6413,6403,1
2034,6414,1
793,6414,2
40614493,7166926,5
7308966,7166926,5
18254,7166926,3
40614474,7166926,5
7455628,7166926,5
5210599,7166926,5
7456836,7166926,4
10041,7166926,3
7091705,7166926,5
40614542,6400,1
7370197,6400,3
793,6400,2
7108301,6400,3
7310288,7307924,3
40614608,7307924,5
7090897,7307924,5
