"node_1","node_2","edge"
4815,20213,5
4815,8399357,5
20213,8399357,3
8073,20467,4
20213,20467,5
8399357,20467,1
4815,6538,4
8073,6538,2
20213,6538,4
8399357,6538,2
20467,6538,5
6521,6538,1
4815,18252,5
8073,18252,1
20213,18252,3
8399357,18252,5
20467,18252,3
6538,18252,5
4815,20100,5
20213,20100,2
8399357,20100,5
20467,20100,5
6538,20100,3
18252,20100,5
8073,20777,2
20213,20777,2
20467,20777,5
20100,20777,1
4815,8402620,5
8073,8402620,5
20213,8402620,5
8399357,8402620,5
20467,8402620,5
6521,8402620,1
6538,8402620,5
18252,8402620,5
20100,8402620,5
20777,8402620,1
6521,2695,1
20777,6450,1
4815,19410,3
20777,19410,3
6450,19410,4
4815,20704,5
8073,20704,3
18252,20704,1
19410,20704,3
20467,3983749,2
20777,3983749,5
6450,3983749,1
19410,3983749,4
20704,8407644,1
4815,8399741,5
8399357,8399741,3
18252,8399741,4
20100,8399741,3
8402620,8399741,5
20704,8399741,2
4815,8411312,5
8399357,8411312,2
18252,8411312,1
20100,8411312,3
8402620,8411312,4
19410,8411312,1
8399741,8411312,5
20467,4265,1
20213,714,1
20467,714,1
6521,714,1
20777,714,1
6450,714,1
4265,714,2
4815,19649,2
8073,19649,1
20213,19649,3
20467,19649,4
18252,19649,1
20777,19649,2
8402620,19649,1
8399741,19649,1
4815,8407349,5
20213,8407349,1
8399357,8407349,2
6538,8407349,5
18252,8407349,5
20704,8407349,3
8399741,8407349,5
8411312,8407349,5
19649,8407349,1
4815,16728,1
4815,8402502,2
8073,8402502,5
20213,8402502,3
8399357,8402502,3
20467,8402502,5
6521,8402502,2
6538,8402502,5
18252,8402502,5
20100,8402502,5
20777,8402502,4
8402620,8402502,5
3983749,8402502,1
714,8402502,1
2695,8399458,1
4265,8399458,3
16728,8399458,1
8403695,8187,3
4815,9081,5
8399357,9081,4
18252,9081,4
20100,9081,5
8402502,8476,3
20467,6526,1
20777,6526,1
4265,6526,1
714,6526,1
8402502,6526,1
16728,1091,1
8399458,1091,1
8073,16727,3
20467,16727,2
2695,16727,2
19410,16727,3
20704,16727,1
4265,16727,1
6538,8417133,5
18252,8417133,2
8399741,8417133,4
8411312,16870279,1
8073,19155,4
20704,19155,1
2695,6533,3
714,6533,2
8403695,6533,2
8187,6533,1
2695,6778,4
8403695,6778,4
6533,6778,1
4815,8402715,5
8399357,8402715,3
6538,8402715,4
18252,8402715,5
20100,8402715,4
8402620,8402715,5
8399741,8402715,3
8411312,8402715,4
8407349,8402715,5
8402502,8402715,5
2695,3902,2
4265,3902,2
16728,3902,2
8399458,3902,3
1091,3902,2
16727,3902,3
6533,3902,1
6778,3902,1
8399458,6522,2
1091,6522,1
3902,6522,1
8402502,11612,1
8399458,11612,1
4815,8410784,5
8399741,8410784,4
8411312,8410784,4
8403695,8410784,1
8407349,8410784,3
16728,8410784,1
3902,8410784,1
8399458,8657381,2
1091,8657381,1
3902,8657381,1
6522,8657381,1
4815,4934290,5
8073,4934290,2
20213,4934290,1
8399357,4934290,1
6538,4934290,4
18252,4934290,5
20100,4934290,2
8402620,4934290,3
20704,4934290,3
8399741,4934290,2
19649,4934290,2
8407349,4934290,3
8402502,4934290,3
9081,4934290,3
8417133,4934290,1
8402715,4934290,2
4815,17262,1
8411312,17262,1
16727,17262,1
8417133,17262,2
4815,8399607,5
20213,8399607,2
8399357,8399607,5
6538,8399607,5
18252,8399607,5
20100,8399607,5
8402620,8399607,5
20704,8399607,1
8399741,8399607,5
8411312,8399607,1
8407349,8399607,4
8402502,8399607,3
9081,8399607,5
8417133,8399607,3
8402715,8399607,5
4934290,8399607,4
4815,8402748,5
8399357,8402748,1
6538,8402748,5
18252,8402748,3
20100,8402748,2
8407349,8402748,1
8402502,8402748,5
9081,8402748,5
4934290,8402748,2
8399607,8402748,3
4815,8442622,5
20213,8442622,4
8399357,8442622,3
20467,8442622,2
6538,8442622,5
18252,8442622,5
20100,8442622,2
8402620,8442622,5
19649,8442622,1
8407349,8442622,4
8402502,8442622,2
9081,8442622,2
8417133,8442622,3
8402715,8442622,2
4934290,8442622,4
8399607,8442622,5
8402748,8442622,2
4815,13487097,2
8399357,13487097,2
6538,13487097,3
18252,13487097,2
20704,13487097,1
8407644,13487097,2
8407349,13487097,2
4934290,13487097,2
8399607,13487097,3
8442622,13487097,3
4815,16819983,3
6538,16819983,3
18252,16819983,1
8407349,16819983,1
9081,16819983,2
8417133,16819983,3
8399607,16819983,3
8402748,16819983,3
8442622,16819983,2
4815,16869389,2
16819983,16869389,1
4815,6541,4
20213,6541,1
20777,6541,1
19649,6541,1
4815,14364,5
8073,14364,1
20213,14364,4
8399357,14364,5
20467,14364,4
6538,14364,5
18252,14364,5
20100,14364,5
8402620,14364,5
