"node_1","node_2","edge"
1009,2779,5
1009,16074,1
1009,1889,5
4816,11507,5
1009,3840,3
4816,3836,5
4816,40326,5
1009,3272,1
1009,6898,5
3743,6898,5
1889,6898,1
19040,6898,1
12070,6898,1
1009,20305,1
1009,1096,5
20305,9583,2
1009,18778,5
4816,20376,5
40326,20376,5
4816,52993,3
11507,52993,3
20305,52993,1
18778,52993,5
20376,52993,2
1009,12611724,5
6898,12611724,3
1009,458149,5
52993,458149,5
1009,33352,5
20305,33352,3
458149,33352,2
10022,46309,4
33352,46309,5
1009,771,5
1889,771,1
52993,771,4
458149,771,5
33352,771,4
46309,771,5
1009,14791,5
6898,14791,4
1009,654171,5
1009,302500,5
3743,302500,2
3836,302500,1
12070,302500,2
18869,302500,1
10022,302500,3
1096,302500,3
9583,302500,3
12611724,302500,3
46309,302500,5
1009,43653803,5
3743,43653803,4
1889,43653803,2
6898,43653803,3
1096,43653803,1
9583,43653803,4
771,43653803,1
14791,43653803,1
302500,43653803,5
1009,10310,3
3743,19862867,5
17291,19862867,5
12070,19862867,5
6898,19862867,4
13829,19862867,1
4069,19862867,1
18739,19862867,2
302500,19862867,5
11507,28149603,3
19862867,28149603,5
52993,4233,4
1009,19863351,5
11507,19863351,5
3840,19863351,5
3836,19863351,5
10022,19863351,1
18778,19863351,2
52993,19863351,1
654171,19863351,1
302500,19863351,2
28149603,19863351,5
1009,16064,5
1889,16064,5
3840,16064,1
3272,16064,1
10022,16064,5
18778,16064,5
46309,16064,5
771,16064,2
654171,16064,1
19863351,16064,5
1009,25081038,5
1889,25081038,5
1096,25081038,4
771,25081038,1
4233,25081038,3
19863351,25081038,5
16064,25081038,3
1009,4049,5
1889,4049,1
1096,4049,1
771,4049,1
43653803,4049,4
19863351,4049,1
16064,4049,5
25081038,4049,5
1009,2431,2
19863351,2431,1
16064,2431,3
16074,499655,1
3836,499655,1
20305,499655,5
18778,499655,5
3399,499655,1
52993,499655,5
18739,499655,1
771,499655,5
4233,499655,3
20305,456143,2
9583,456143,3
18778,456143,2
458149,456143,1
25081038,456143,2
4049,456143,5
19862867,644,1
1009,2572,1
52993,2572,1
499655,2572,1
1009,12646,1
16064,12646,2
1009,16250739,5
1096,16250739,2
18778,16250739,5
458149,16250739,1
771,16250739,5
2567,16250739,1
10310,16250739,1
19863351,16250739,5
16064,16250739,5
25081038,16250739,2
499655,16250739,5
12646,16250739,3
1009,25062452,3
20305,25062452,2
1096,25062452,1
9583,25062452,1
14791,25062452,3
43653803,25062452,3
456143,25062452,1
3840,4693,4
19863351,4693,5
16064,4693,5
4049,4693,2
2431,4693,4
456143,4693,1
12646,4693,1
1009,30034271,1
302500,30034271,5
43653803,30034271,1
16250739,30034271,1
4693,30034271,5
52993,1039,2
499655,1039,1
6898,3732,1
12180,3732,1
4693,3732,1
1009,4474,5
6898,4474,2
43653803,4474,1
25081038,4474,1
4049,4474,2
16250739,4474,2
16064,10145,2
456143,10145,1
4693,10145,3
1009,12157,5
43653803,12157,1
302500,12172,1
3732,12172,4
16064,338707,1
456143,338707,1
19862867,20610360,1
46309,2695,1
302500,2695,3
19863351,2695,1
16064,2695,5
16250739,2695,1
4693,2695,5
456143,9893,2
1009,18970,3
52993,18970,2
16064,18970,2
52993,12181,1
19863351,12181,1
16064,12181,1
499655,12181,3
11507,20219,3
19863351,20219,2
1009,1147,5
302500,1147,4
43653803,1147,1
19862867,1147,5
19863351,1147,1
16064,1147,2
1009,12182,2
3743,12182,2
6898,12182,5
19862867,12182,2
3732,12182,2
10022,13307,5
6898,13307,4
46309,13307,4
771,13307,2
43653803,13307,1
16064,13307,5
25081038,13307,3
1009,14433,5
1096,14433,1
19863351,14433,1
16064,14433,2
19862867,34978,1
1009,635799,5
1009,28306675,1
19862867,28306675,2
19862867,3742,3
1009,11139,5
52993,11139,5
43653803,11139,4
499655,11139,5
456143,11139,1
10022,15378,4
33352,15378,5
18970,15378,1
1009,40561634,5
1889,40561634,1
16064,40561634,4
25081038,40561634,4
