"node_1","node_2","edge"
280116,2692,5
280116,3840,5
2692,3840,5
280116,4072,5
2692,4072,5
3840,4072,5
2692,4708,5
3840,4708,4
4072,4708,5
280116,3796,5
2692,3796,5
3840,3796,5
4072,3796,5
280116,2214,5
2692,2214,5
3840,2214,5
4072,2214,5
4708,3798,5
280116,6798696,4
2692,6798696,1
4072,6798696,5
2214,6798696,5
3798,2566,5
280116,3827,5
2692,3827,5
3840,3827,5
4072,3827,5
4708,3827,2
3796,3827,5
2214,3827,1
280116,3837,5
2692,3837,5
3840,3837,5
4072,3837,5
4708,3837,5
3796,3837,1
2214,3837,5
3827,3837,5
280116,10435,5
2692,10435,5
3840,10435,5
4072,10435,5
4708,10435,5
3796,10435,5
2214,10435,1
3827,10435,5
3837,10435,5
2692,95,5
3840,95,2
4072,95,5
4708,95,5
3837,95,5
10435,95,5
280116,2615,5
2692,2615,5
3840,2615,5
4072,2615,5
3796,2615,5
3827,2615,2
3837,2615,3
10435,2615,5
280116,695,5
2692,695,5
3840,695,5
4072,695,5
4708,695,3
3796,695,4
3827,695,5
3837,695,5
10435,695,5
2615,695,5
280116,6910,5
2692,6910,5
3840,6910,5
4072,6910,5
3796,6910,1
3827,6910,5
3837,6910,5
10435,6910,5
2615,6910,5
695,6910,5
280116,2545,1
2692,2545,5
3840,2545,5
4072,2545,4
4708,2545,1
3827,2545,1
3837,2545,1
10435,2545,5
2615,2545,2
695,2545,3
6910,2545,5
280116,2787870,1
6798696,2787870,3
280116,474,5
2692,474,5
3840,474,5
4072,474,5
4708,474,2
3796,474,5
2214,474,5
3827,474,5
3837,474,5
10435,474,5
2615,474,5
695,474,5
6910,474,5
2545,474,1
280116,19042,5
2692,19042,5
3840,19042,5
4072,19042,5
4708,19042,5
2214,19042,3
3827,19042,5
3837,19042,5
10435,19042,5
95,19042,5
2615,19042,2
695,19042,5
6910,19042,5
2545,19042,1
474,19042,5
4708,6799586,1
3798,6799586,5
2566,6799586,5
2692,6898,5
3840,6898,5
4072,6898,5
4708,6898,5
3837,6898,1
10435,6898,5
95,6898,5
695,6898,3
6910,6898,2
474,6898,5
19042,6898,5
2787870,6807718,1
280116,11499,5
2692,11499,5
3840,11499,5
4072,11499,5
4708,11499,3
2214,11499,2
6798696,11499,5
3827,11499,5
3837,11499,5
10435,11499,5
2615,11499,5
695,11499,5
6910,11499,5
2545,11499,1
474,11499,5
19042,11499,5
6898,11499,5
280116,3794,5
3840,3794,3
3796,3794,5
3827,3794,1
10435,3794,4
6910,3794,5
474,3794,1
11499,3794,1
2692,14280,2
95,14280,2
6898,14280,3
6807718,14280,5
280116,2772,5
2692,2772,5
3840,2772,5
4072,2772,5
3796,2772,5
6798696,2772,5
3827,2772,5
10435,2772,5
2615,2772,5
695,2772,5
6910,2772,5
2545,2772,5
474,2772,5
11499,2772,5
3794,2772,2
4708,6907172,5
3840,26170581,3
4708,26170581,5
3798,26170581,5
3827,26170581,1
474,26170581,2
11499,26170581,4
6907172,26170581,5
4708,898,5
3798,898,5
2566,898,5
6799586,898,1
26170581,898,2
280116,18780,5
2692,18780,5
3840,18780,5
4072,18780,5
4708,18780,5
3796,18780,5
2214,18780,5
6798696,18780,4
3827,18780,3
3837,18780,5
10435,18780,5
2615,18780,5
695,18780,2
6910,18780,5
2545,18780,3
474,18780,5
11499,18780,5
3794,18780,1
2772,18780,5
2692,2046,5
3840,2046,1
3827,2046,5
10435,2046,4
695,2046,1
6910,2046,2
280116,6914,5
2692,6914,5
3840,6914,5
4072,6914,5
3796,6914,5
2214,6914,5
3827,6914,5
3837,6914,5
10435,6914,5
2615,6914,3
695,6914,5
6910,6914,4
474,6914,5
3794,6914,1
2772,6914,5
18780,6914,2
280116,145,1
2692,145,5
3840,145,4
4072,145,5
4708,145,5
10435,145,5
95,145,5
2615,145,1
695,145,1
2545,145,1
474,145,1
19042,145,5
6898,145,5
280116,207,2
2692,207,5
3840,207,5
4072,207,5
4708,207,1
3827,207,5
3837,207,3
10435,207,3
695,207,5
6910,207,5
474,207,5
19042,207,3
6898,207,3
11499,207,5
2772,207,3
18780,207,2
280116,40615545,4
2692,40615545,5
3840,40615545,5
4072,40615545,5
2214,40615545,2
3827,40615545,5
3837,40615545,5
10435,40615545,5
95,40615545,5
2615,40615545,1
695,40615545,5
6910,40615545,5
2545,40615545,5
474,40615545,5
19042,40615545,5
6898,40615545,5
11499,40615545,5
26170581,40615545,5
145,40615545,5
207,40615545,5
280116,4076,5
2692,4076,5
3840,4076,5
4072,4076,5
4708,4076,4
3796,4076,2
2214,4076,5
6798696,4076,3
3827,4076,5
3837,4076,5
10435,4076,5
95,4076,5
695,4076,5
6910,4076,5
2545,4076,1
474,4076,5
19042,4076,5
6898,4076,1
11499,4076,1
2772,4076,1
18780,4076,3
6914,4076,5
145,4076,3
40615545,4076,5
3840,6916,3
