"node_1","node_2","edge"
19608,20222,5
19608,4740,1
20222,4740,5
19608,19985,3
20222,20800,1
4740,20800,1
19985,20800,3
19608,9636199,1
20222,9636199,5
4740,7030,5
19608,19417,3
20222,19417,5
4740,19417,5
19985,19417,3
20800,19417,3
9636199,19417,3
7030,19417,1
20800,10090544,3
19417,10090544,2
20222,10106674,5
19985,10106674,5
10090544,10106674,5
4822,12756,1
19608,19826,5
20222,19826,5
4740,19826,1
19985,19826,4
9636199,19826,2
19417,19826,5
10090544,19826,2
10106674,19826,1
19608,20138,5
20222,20138,5
4740,20138,1
19985,20138,3
9636199,20138,1
19417,20138,4
10106674,20138,1
19826,20138,5
19608,10081511,5
20222,10081511,1
7030,10081511,1
19826,10081511,3
20138,10081511,4
19608,10081590,5
20222,10081590,5
9636199,10081590,5
19417,10081590,2
19826,10081590,5
20138,10081590,5
10081511,10081590,4
19608,10094968,5
20222,10094968,4
4740,10094968,1
9636199,10094968,1
19417,10094968,1
19826,10094968,5
20138,10094968,5
10081511,10094968,5
10081590,10094968,5
19608,2340903,5
171,2340903,5
20222,2340903,3
4740,2340903,1
19417,2340903,4
171,8358,2
4740,8358,5
19417,8358,3
171,9059,5
8358,9059,5
4740,43659760,1
20800,43659760,3
4822,43659760,5
12756,43659760,5
171,1466,4
19417,904,1
10081511,904,5
171,7157,5
4740,7157,1
10081511,7157,4
10094968,7157,3
8358,7157,2
904,7157,5
171,2695,1
4740,2695,2
8358,2695,1
9059,2695,5
7157,2695,4
171,7269,5
4740,7269,5
2340903,7269,3
9059,7269,1
1466,7269,4
7157,7269,2
2695,7269,2
10106674,10092600,3
9059,10092600,5
2695,10092600,3
7269,10092600,5
4740,8366,1
8358,8366,3
9059,8366,5
2695,8366,5
7269,8366,4
10092600,8366,5
20222,18782,1
4740,18782,1
19417,18782,1
1466,18782,3
20222,10080642,3
4740,10080642,1
19417,10080642,3
19826,10080642,5
20138,10080642,5
10094968,10080642,5
2340903,10080642,2
18782,10080642,4
19608,20780,5
20222,20780,5
9636199,20780,1
19417,20780,2
10090544,20780,5
10106674,20780,3
19826,20780,5
20138,20780,5
10081511,20780,1
10081590,20780,5
10094968,20780,5
2340903,20780,2
20222,19894,5
20800,19894,1
9636199,19894,5
19417,19894,5
10090544,19894,2
19826,19894,5
20138,19894,1
10081590,19894,5
20780,19894,3
20222,10086424,3
19985,10086424,5
9636199,10086424,5
19417,10086424,1
19826,10086424,4
20138,10086424,2
10081590,10086424,4
10080642,10086424,1
19894,10086424,5
4740,27642668,2
9059,27642668,5
2695,27642668,5
7269,27642668,4
10092600,27642668,5
8366,27642668,5
171,26190638,5
4740,26190638,1
20800,26190638,3
19417,26190638,2
10090544,26190638,2
2340903,26190638,5
8358,26190638,2
1466,26190638,1
7157,26190638,2
7269,26190638,1
4740,515,2
19985,515,1
19417,515,1
904,515,5
19608,19157,4
20222,19157,4
19985,19157,4
20800,19157,1
19417,19157,3
10090544,19157,1
10106674,19157,4
19826,19157,5
20138,19157,5
10081590,19157,1
2340903,19157,2
10080642,19157,1
20780,19157,5
19894,19157,2
10086424,19157,3
4740,2218,1
9059,2218,5
2695,2218,4
7269,2218,2
10092600,2218,4
8366,2218,5
27642668,2218,5
4740,7048,1
8358,7048,3
9059,7048,5
2695,7048,3
7269,7048,4
10092600,7048,5
8366,7048,5
27642668,7048,5
2218,7048,5
171,6775,5
