"node_1","node_2","edge"
18876,13198,5
18876,4443,5
13198,4443,5
18876,3377007,5
3377007,5221,5
18876,19984,5
3377007,19984,5
5221,19984,4
18876,2997,2
3377007,2997,5
19984,2997,5
18876,14989,5
13198,14989,5
4443,14989,5
3377007,14989,3
18876,7232,5
13198,7232,5
4443,7232,5
3377007,7232,5
14989,7232,5
18876,1287,5
13198,1287,5
3377007,1287,3
14989,1287,5
7232,1287,5
18876,3136,5
13198,3136,5
4443,3136,5
14989,3136,5
7232,3136,5
1287,3136,3
18876,7218,4
13198,7218,3
3377007,7218,5
19984,7218,2
14989,7218,5
7232,7218,4
18876,12525,5
13198,12525,5
4443,12525,5
5221,12525,5
18606,12525,3
14989,12525,5
7232,12525,5
1287,12525,5
3136,12525,5
7218,12525,5
18876,19655,5
3377007,19655,5
5221,19655,5
18606,19655,1
19984,19655,5
2997,19655,5
14989,19655,5
7232,19655,5
1287,19655,5
7218,19655,5
18876,18588,5
13198,18588,5
4443,18588,5
5221,18588,5
14989,18588,5
7232,18588,5
1287,18588,5
3136,18588,5
7218,18588,5
12525,18588,5
18876,18785,5
13198,18785,5
4443,18785,5
5221,18785,1
14989,18785,5
7232,18785,5
1287,18785,5
3136,18785,5
7218,18785,5
12525,18785,5
19655,18785,1
18588,18785,5
18876,1396,5
13198,1396,5
3377007,1396,3
14989,1396,5
7232,1396,5
1287,1396,1
3136,1396,3
12525,1396,5
19655,1396,5
18588,1396,5
18785,1396,5
19129,20861,5
18876,7223,2
3377007,7223,5
19984,7223,5
2997,7223,5
14989,7223,5
7232,7223,3
12525,7223,5
19655,7223,5
18588,7223,5
18785,7223,3
4825,7546,5
2997,7546,3
18876,5768,5
13198,5768,5
4443,5768,5
5221,5768,5
14989,5768,5
7232,5768,5
1287,5768,5
3136,5768,5
7218,5768,5
12525,5768,5
19655,5768,1
18588,5768,5
18785,5768,5
1396,5768,5
7223,5768,5
18876,7244,5
13198,7244,5
3377007,7244,5
19984,7244,5
2997,7244,1
14989,7244,5
7232,7244,5
3136,7244,1
12525,7244,5
19655,7244,5
18588,7244,5
18785,7244,5
5768,7244,5
3377007,7226,5
14989,7226,3
12525,7226,5
19655,7226,5
18588,7226,5
18785,7226,1
5768,7226,5
7546,20139,5
4824,7545,1
12525,12757,5
18588,12757,5
5768,12757,5
18876,4092,5
13198,4092,5
3377007,4092,5
19984,4092,2
14989,4092,5
7232,4092,5
1287,4092,2
3136,4092,3
7218,4092,1
12525,4092,5
19655,4092,5
18588,4092,5
18785,4092,5
1396,4092,1
5768,4092,5
18876,1864,5
13198,1864,5
4443,1864,5
3377007,1864,5
5221,1864,4
19984,1864,5
14989,1864,5
7232,1864,5
1287,1864,5
3136,1864,5
7218,1864,5
12525,1864,5
19655,1864,5
18588,1864,5
18785,1864,5
1396,1864,5
7223,1864,5
5768,1864,5
7244,1864,5
7226,1864,2
7545,1864,1
4092,1864,5
18876,8453,5
13198,8453,4
4443,8453,1
3377007,8453,5
19984,8453,5
2997,8453,2
14989,8453,5
7232,8453,5
1287,8453,5
3136,8453,1
7218,8453,5
12525,8453,3
19655,8453,5
18588,8453,5
18785,8453,5
1396,8453,3
7223,8453,1
5768,8453,5
4092,8453,1
1864,8453,5
18876,7222,5
13198,7222,5
14989,7222,5
7232,7222,5
1287,7222,2
3136,7222,2
12525,7222,5
18588,7222,5
18785,7222,5
1396,7222,1
5768,7222,5
4092,7222,1
1864,7222,5
8453,7222,2
18876,2818,5
13198,2818,5
4443,2818,5
5221,2818,4
14989,2818,5
7232,2818,5
1287,2818,5
3136,2818,5
7218,2818,5
12525,2818,5
19655,2818,1
18588,2818,5
18785,2818,5
1396,2818,5
7223,2818,5
5768,2818,5
7244,2818,5
12757,2818,1
4092,2818,5
1864,2818,5
8453,2818,5
7222,2818,5
18876,7245,5
19129,7245,1
3377007,7245,5
5221,7245,5
18606,7245,1
19984,7245,5
2997,7245,5
14989,7245,5
7232,7245,5
1287,7245,5
7218,7245,5
19655,7245,5
1396,7245,4
7223,7245,5
5768,7245,1
7244,7245,5
7226,7245,5
4092,7245,5
1864,7245,5
8453,7245,5
18876,3124,2
13198,3124,5
14989,3124,5
7232,3124,4
3136,3124,1
12525,3124,5
18588,3124,5
18785,3124,5
5768,3124,5
7545,3124,1
1864,3124,5
8453,3124,3
2818,3124,5
12525,3623,5
18588,3623,1
4825,6021433,4
2997,6021433,5
20861,6021433,1
20139,6021433,5
18876,7248,5
13198,7248,5
14989,7248,5
7232,7248,5
1287,7248,1
3136,7248,3
12525,7248,5
18588,7248,5
18785,7248,5
1396,7248,1
5768,7248,5
4092,7248,1
1864,7248,5
8453,7248,5
7222,7248,4
2818,7248,5
18876,17052,5
13198,17052,5
4443,17052,1
3377007,17052,5
19984,17052,5
2997,17052,5
14989,17052,5
7232,17052,5
1287,17052,5
3136,17052,4
7218,17052,3
12525,17052,5
19655,17052,5
18588,17052,5
18785,17052,5
1396,17052,4
7223,17052,2
5768,17052,5
7244,17052,3
4092,17052,5
1864,17052,5
8453,17052,5
7222,17052,1
2818,17052,5
7245,17052,5
7248,17052,1
18876,7166,5
13198,7166,5
4443,7166,3
3377007,7166,3
14989,7166,5
7232,7166,5
1287,7166,5
3136,7166,5
7218,7166,3
12525,7166,5
19655,7166,5
18588,7166,5
18785,7166,5
1396,7166,4
5768,7166,5
7244,7166,1
4092,7166,5
1864,7166,5
8453,7166,5
7222,7166,5
2818,7166,5
7245,7166,5
3124,7166,1
7248,7166,4
17052,7166,5
18876,7246,5
13198,7246,5
4443,7246,1
3377007,7246,5
19984,7246,1
14989,7246,5
7232,7246,5
1287,7246,1
3136,7246,3
7218,7246,1
12525,7246,5
19655,7246,5
18588,7246,5
18785,7246,5
1396,7246,2
5768,7246,5
4092,7246,3
1864,7246,5
8453,7246,5
2818,7246,5
7245,7246,5
7248,7246,1
17052,7246,5
7166,7246,5
18876,90,5
13198,90,5
4443,90,5
3377007,90,5
5221,90,2
19984,90,5
2997,90,5
14989,90,5
7232,90,5
1287,90,5
3136,90,5
7218,90,5
12525,90,5
19655,90,5
18588,90,5
18785,90,5
1396,90,5
7223,90,5
5768,90,5
7244,90,5
7226,90,1
4092,90,5
1864,90,5
8453,90,5
7222,90,5
2818,90,5
7245,90,5
3124,90,5
7248,90,5
17052,90,5
7166,90,5
7246,90,5
18876,541,5
13198,541,5
4443,541,5
3377007,541,5
5221,541,4
19984,541,5
2997,541,5
14989,541,5
7232,541,5
1287,541,5
3136,541,5
7218,541,5
12525,541,5
19655,541,5
18588,541,5
18785,541,5
1396,541,5
7223,541,5
5768,541,5
7244,541,5
7226,541,3
4092,541,5
1864,541,5
8453,541,5
7222,541,5
2818,541,5
7245,541,5
3124,541,5
7248,541,5
17052,541,5
7166,541,5
7246,541,5
90,541,5
18876,7239,5
13198,7239,5
4443,7239,5
3377007,7239,5
5221,7239,5
19984,7239,5
2997,7239,1
14989,7239,5
7232,7239,5
1287,7239,5
3136,7239,5
7218,7239,5
12525,7239,5
19655,7239,5
18588,7239,5
18785,7239,5
1396,7239,5
7223,7239,5
5768,7239,5
7244,7239,5
7226,7239,1
7545,7239,2
4092,7239,5
1864,7239,5
