"node_1","node_2","edge"
18982,6893,1
18982,7145,2
6893,7145,5
20140,20223,5
20140,19520,5
20223,19520,5
20140,7883401,1
20223,7883401,5
19520,7883401,5
20223,7897046,5
19520,7897046,5
7883401,7897046,5
20223,7901692,2
19520,7901692,5
7883401,7901692,5
7897046,7901692,5
20223,7884022,5
20140,7883161,2
20223,7883161,5
19520,7883161,5
7883401,7883161,5
7897046,7883161,5
7901692,7883161,5
7884022,7883161,4
20140,13052,2
20223,13052,2
18982,1724,4
7145,1724,5
6163,1724,4
1724,10445,5
18982,39762594,5
7145,39762594,2
1724,39762594,2
6893,7886337,5
7145,7886337,3
7901692,7886337,1
10445,7886337,1
18982,7747,4
7145,7747,3
13052,7747,1
39762594,7747,3
18982,7066,1
1724,7066,4
10445,7066,5
39762594,7066,1
18982,1408,4
1724,1408,5
10445,1408,5
39762594,1408,5
7066,1408,5
18982,18260,2
6893,18260,5
7886337,18260,5
7747,18260,4
7145,3415,1
13052,3415,1
39762594,3415,1
7066,3415,3
18982,7141,3
7145,7141,1
1724,7141,5
10445,7141,5
39762594,7141,2
7886337,7141,1
7066,7141,5
1408,7141,5
3415,7141,2
1724,7144,3
10445,7144,2
7747,7144,2
7141,7144,4
6893,13049,2
1724,13049,5
10445,13049,5
7066,13049,5
1408,13049,4
7141,13049,5
18982,21432,2
1724,21432,5
10445,21432,5
7066,21432,3
1408,21432,1
7141,21432,5
7144,21432,1
18982,7896233,2
6893,7896233,5
7886337,7896233,3
7747,7896233,5
18260,7896233,5
18982,8557,5
6893,8557,5
7145,8557,3
1724,8557,5
10445,8557,5
39762594,8557,5
7886337,8557,5
7066,8557,5
1408,8557,5
7141,8557,5
13049,8557,4
21432,8557,1
7141,281,1
18982,2147,5
7145,2147,3
1724,2147,5
10445,2147,1
39762594,2147,4
7747,2147,2
7066,2147,4
1408,2147,3
3415,2147,1
7141,2147,5
13049,2147,1
8557,2147,5
7145,17174,3
1724,17174,3
10445,17174,1
7066,17174,2
3415,17174,2
7141,17174,1
13049,17174,1
18982,6690,2
7145,6690,3
7901692,6690,2
6163,6690,1
1724,6690,5
10445,6690,5
39762594,6690,2
7886337,6690,5
7066,6690,5
1408,6690,5
3415,6690,1
7141,6690,5
13049,6690,5
21432,6690,5
8557,6690,5
281,6690,3
2147,6690,4
17174,6690,4
1724,958,5
10445,958,5
39762594,958,1
7066,958,3
1408,958,5
7141,958,5
7144,958,2
13049,958,5
21432,958,4
8557,958,5
281,958,2
6690,958,5
7901692,2675,1
1724,2675,5
10445,2675,5
7886337,2675,3
7066,2675,5
1408,2675,5
7141,2675,5
13049,2675,5
21432,2675,5
8557,2675,5
281,2675,3
2147,2675,3
17174,2675,2
6690,2675,5
958,2675,5
18982,1319651,1
6893,1319651,3
7145,1319651,4
7901692,1319651,1
13052,1319651,3
1724,1319651,1
7886337,1319651,5
18260,1319651,1
7896233,1319651,5
8557,1319651,2
6690,1319651,3
7145,7889215,1
1724,7889215,1
7747,7889215,5
20140,7883163,5
20223,7883163,5
19520,7883163,5
7883401,7883163,5
7897046,7883163,5
7901692,7883163,3
7883161,7883163,5
20140,650,5
20223,650,5
19520,650,5
7884022,650,5
7883161,650,3
7883163,650,1
20140,7885550,1
7883161,7885550,3
1724,7885550,1
10445,7885550,5
7066,7885550,3
7141,7885550,3
21432,7885550,1
8557,7885550,1
958,7885550,4
2675,7885550,4
20140,898,5
20223,898,5
19520,898,2
7883163,898,5
