"node_1","node_2","edge"
4828,7124,5
2593495,19975,5
19975,3989,3
2593495,20529,5
19975,20529,5
3989,20529,5
4830,2348977,5
3856,2348977,5
3856,19117,5
39511964,19117,5
4830,12429296,5
2348977,12429296,5
4077,3852,2
4828,2595783,5
7124,2595783,5
19975,19478,4
20529,19478,3
2593495,898,5
19975,898,5
3989,898,5
20529,898,5
26842889,898,1
3852,898,5
259,898,1
19478,898,5
19975,2699248,5
3852,2699248,1
898,2699248,5
2593495,2566,5
19975,2566,5
3989,2566,5
20529,2566,5
4077,2566,5
4441,2566,1
26842889,2566,5
3852,2566,5
259,2566,5
19478,2566,5
898,2566,5
2699248,2566,5
2593495,4350,5
19975,4350,5
3989,4350,5
20529,4350,5
4077,4350,3
26842889,4350,4
3852,4350,5
259,4350,5
19478,4350,5
898,4350,5
2699248,4350,5
2566,4350,5
2593495,19794,5
19975,19794,5
3989,19794,5
20529,19794,5
4077,19794,5
26842889,19794,5
3852,19794,5
259,19794,5
19478,19794,5
898,19794,5
2699248,19794,5
2566,19794,5
4350,19794,5
2593495,2594682,5
19975,2594682,5
3989,2594682,5
20529,2594682,5
4077,2594682,5
26842889,2594682,5
3852,2594682,5
259,2594682,5
19478,2594682,5
898,2594682,5
2699248,2594682,5
2566,2594682,5
4350,2594682,5
19794,2594682,5
2593495,3448630,5
19975,3448630,5
3989,3448630,5
20529,3448630,5
4077,3448630,3
26842889,3448630,5
3852,3448630,5
259,3448630,5
19478,3448630,5
898,3448630,5
2699248,3448630,5
2566,3448630,5
4350,3448630,5
19794,3448630,5
2594682,3448630,5
2593495,2600395,4
16144,2600395,5
26842889,2744244,1
16144,7969,5
4077,7969,5
26842889,7969,3
3852,7969,5
259,7969,5
3129,7969,1
2699248,7969,5
2594682,7969,5
2593495,20933,5
19975,20933,5
3989,20933,5
20529,20933,5
4077,20933,5
26842889,20933,5
3852,20933,5
259,20933,5
19478,20933,5
898,20933,5
2699248,20933,5
2566,20933,5
4350,20933,5
19794,20933,5
2594682,20933,5
3448630,20933,5
2600395,12431320,5
2593495,3274,5
19975,3274,5
3989,3274,3
20529,3274,5
4077,3274,5
3852,3274,5
259,3274,1
898,3274,5
2699248,3274,5
2566,3274,5
4350,3274,5
19794,3274,5
2594682,3274,5
3448630,3274,5
7969,3274,5
20933,3274,5
2593495,3476,3
19975,3476,5
20529,3476,5
4077,3476,5
3852,3476,5
898,3476,5
2699248,3476,5
2566,3476,5
4350,3476,5
19794,3476,5
2594682,3476,5
3448630,3476,5
7969,3476,5
20933,3476,5
3274,3476,5
2593495,19905,5
19975,19905,5
3989,19905,5
