"node_1","node_2","edge"
4785009,20225,1
4785009,6959346,5
4785009,7197,5
6959346,7197,3
4785009,9389,5
6959346,9389,5
7197,9389,1
4785009,6967032,5
20225,6967032,2
6959346,6967032,5
7197,6967032,5
9389,6967032,5
4785009,7358639,5
6959346,7358639,5
7197,7358639,1
9389,7358639,5
6967032,7358639,5
4832,7004327,5
12921,11894508,1
4785009,2772,5
6959346,2772,5
7197,2772,2
9389,2772,5
6967032,2772,5
7358639,2772,5
6959346,7205,5
9389,7205,3
2772,7205,5
4785009,20803,5
6959346,20803,3
9389,20803,4
6967032,20803,5
7358639,20803,5
2772,20803,3
38553506,20803,5
4785009,288,5
6959346,288,5
9389,288,5
6967032,288,5
7358639,288,5
2772,288,5
20803,288,5
4785009,898,1
38553506,898,5
20803,898,2
4785009,19887,5
20225,19887,1
6959346,19887,5
7197,19887,5
9389,19887,5
6967032,19887,5
7358639,19887,5
2772,19887,5
38553506,19887,4
20803,19887,5
288,19887,5
4785009,6958579,5
20225,6958579,5
6959346,6958579,5
7197,6958579,5
9389,6958579,5
6967032,6958579,5
7358639,6958579,5
2772,6958579,5
20803,6958579,5
288,6958579,5
898,6958579,3
19887,6958579,5
4785009,2551,5
6959346,2551,5
7197,2551,5
9389,2551,5
6967032,2551,5
7358639,2551,5
2772,2551,5
20803,2551,5
288,2551,5
19887,2551,5
6958579,2551,5
4785009,6852,5
6959346,6852,5
9389,6852,5
6967032,6852,5
7358639,6852,5
2772,6852,5
288,6852,1
19887,6852,5
6958579,6852,5
2551,6852,5
4785009,7183,5
6959346,7183,5
7197,7183,5
9389,7183,5
6967032,7183,5
7358639,7183,5
2772,7183,5
20803,7183,5
288,7183,5
19887,7183,5
6958579,7183,5
2551,7183,5
6852,7183,5
4785009,1892,5
6959346,1892,5
9389,1892,5
6967032,1892,5
7358639,1892,5
2772,1892,5
20803,1892,3
288,1892,5
19887,1892,5
6958579,1892,5
2551,1892,5
6852,1892,3
7183,1892,5
4785009,900,5
6959346,900,5
9389,900,5
6967032,900,5
7358639,900,5
2772,900,5
20803,900,5
288,900,5
19887,900,5
6958579,900,5
2551,900,5
6852,900,2
7183,900,5
1892,900,5
4785009,18875,5
6959346,18875,5
7197,18875,1
9389,18875,5
6967032,18875,5
7358639,18875,5
2772,18875,5
20803,18875,5
288,18875,5
19887,18875,5
6958579,18875,5
2551,18875,5
6852,18875,5
7183,18875,5
1892,18875,5
900,18875,5
6959346,4442,2
2772,4442,1
6958579,4442,1
4832,6983219,2
4785009,19117,4
6967032,19117,5
20803,19117,5
19887,19117,1
6958579,19117,5
4785009,3787,5
6959346,3787,5
9389,3787,3
6967032,3787,5
7358639,3787,1
2772,3787,4
19887,3787,5
6958579,3787,5
2551,3787,3
7183,3787,5
18875,3787,2
4785009,22090797,4
6967032,22090797,3
19887,22090797,1
6958579,22090797,5
4785009,644,5
6959346,644,5
9389,644,2
6967032,644,5
2772,644,4
19887,644,5
6958579,644,5
2551,644,3
7183,644,3
4785009,2710,5
6959346,2710,5
7197,2710,3
9389,2710,5
6967032,2710,5
7358639,2710,5
2772,2710,5
38553506,2710,5
20803,2710,5
288,2710,5
19887,2710,5
6958579,2710,5
2551,2710,5
6852,2710,5
7183,2710,5
1892,2710,5
900,2710,5
18875,2710,5
3787,2710,3
644,2710,1
4785009,5980,5
6959346,5980,5
9389,5980,3
6967032,5980,5
2772,5980,5
19887,5980,5
6958579,5980,5
2551,5980,3
7183,5980,3
2710,5980,2
4785009,20690,5
6959346,20690,3
9389,20690,2
6967032,20690,5
7358639,20690,5
2772,20690,1
38553506,20690,5
20803,20690,5
288,20690,3
19887,20690,5
6958579,20690,5
2551,20690,5
7183,20690,5
1892,20690,1
900,20690,3
18875,20690,4
19117,20690,5
22090797,20690,1
2710,20690,5
4785009,4629052,5
20225,4629052,5
6959346,4629052,5
7197,4629052,5
9389,4629052,5
6967032,4629052,5
7358639,4629052,5
2772,4629052,5
38553506,4629052,5
20803,4629052,5
288,4629052,5
898,4629052,5
19887,4629052,5
6958579,4629052,5
2551,4629052,5
6852,4629052,5
7183,4629052,5
1892,4629052,5
900,4629052,5
18875,4629052,5
4442,4629052,1
19117,4629052,5
3787,4629052,5
22090797,4629052,5
644,4629052,5
2710,4629052,5
5980,4629052,5
20690,4629052,5
4785009,6957936,5
20225,6957936,5
6959346,6957936,5
7197,6957936,5
9389,6957936,5
6967032,6957936,5
7358639,6957936,5
2772,6957936,5
20803,6957936,5
288,6957936,5
898,6957936,5
19887,6957936,5
6958579,6957936,5
2551,6957936,5
6852,6957936,5
7183,6957936,5
1892,6957936,5
900,6957936,5
18875,6957936,5
4442,6957936,2
19117,6957936,5
3787,6957936,5
22090797,6957936,5
644,6957936,5
2710,6957936,5
5980,6957936,5
20690,6957936,5
4629052,6957936,5
4785009,7038328,5
6959346,7038328,5
9389,7038328,5
6967032,7038328,5
7358639,7038328,5
2772,7038328,5
20803,7038328,2
288,7038328,5
19887,7038328,5
6958579,7038328,5
2551,7038328,5
6852,7038328,4
7183,7038328,5
1892,7038328,5
900,7038328,5
18875,7038328,5
3787,7038328,1
2710,7038328,5
20690,7038328,2
4629052,7038328,5
6957936,7038328,5
20803,19548,3
19117,19548,5
20690,19548,5
6957936,19548,5
38553506,20628,5
4785009,1468,5
6959346,1468,5
7197,1468,1
9389,1468,5
6967032,1468,5
7358639,1468,5
2772,1468,5
20803,1468,5
288,1468,5
19887,1468,5
6958579,1468,5
2551,1468,5
6852,1468,2
7183,1468,5
1892,1468,5
900,1468,5
18875,1468,5
19117,1468,1
2710,1468,5
20690,1468,5
4629052,1468,5
6957936,1468,5
7038328,1468,5
4785009,29098987,5
20225,29098987,5
6959346,29098987,5
7197,29098987,5
9389,29098987,5
6967032,29098987,5
7358639,29098987,5
2772,29098987,5
20803,29098987,5
288,29098987,5
898,29098987,5
19887,29098987,5
6958579,29098987,5
2551,29098987,5
6852,29098987,5
7183,29098987,5
1892,29098987,5
900,29098987,5
18875,29098987,5
4442,29098987,3
19117,29098987,5
3787,29098987,5
22090797,29098987,5
644,29098987,5
2710,29098987,5
5980,29098987,5
20690,29098987,5
4629052,29098987,5
6957936,29098987,5
7038328,29098987,5
1468,29098987,5
6967032,6968711,5
6958579,6970919,5
3787,6970919,2
4832,6982952,2
6983219,6982952,5
4834,6972162,5
4833,6972162,5
20225,6972162,5
19887,6972162,5
20690,6972162,3
4629052,6972162,5
