"node_1","node_2","edge"
8836262,4836,5
8807722,8810380,5
5971,19976,5
5971,20230,5
19976,20230,5
19976,3742392,5
20230,7065,5
20230,8770286,5
8818102,10435,1
20230,2633,5
7065,2633,2
8770286,2633,5
8795757,2633,2
5971,7357,5
19976,7357,3
20230,7357,5
7065,7357,5
8770286,7357,1
10435,7357,5
2633,7357,5
4836,7346,5
7357,7346,1
8818102,17306,5
8836262,17306,4
4836,17306,5
10435,17306,5
7357,17306,5
7346,17306,1
8800463,4412,5
8818102,4412,5
8807722,4412,2
10435,4412,5
7357,4412,5
7346,4412,1
17306,4412,5
8818102,6473,5
8836262,6473,5
4836,6473,5
8807722,6473,5
8810380,6473,4
17306,6473,5
4412,6473,4
8818102,7359,2
4836,7359,4
8807722,7359,5
10435,7359,3
7357,7359,5
17306,7359,5
4412,7359,5
6473,7359,5
4836,7366,5
8807722,7366,1
5971,7366,1
10435,7366,5
7357,7366,5
17306,7366,5
4412,7366,5
6473,7366,5
7359,7366,5
8807722,12784,5
8810380,12784,5
17306,12784,5
4412,12784,5
6473,12784,5
7359,12784,5
7366,12784,5
5971,18787,5
20230,18787,5
10435,18787,5
7357,18787,5
17306,18787,5
4412,18787,5
7359,18787,5
7366,18787,5
12784,18787,3
8800463,7378,5
5971,7378,1
20230,7378,5
7065,7378,1
8770286,7378,5
2633,7378,5
7357,7378,5
18787,7378,5
5971,20741,2
19976,20741,1
20230,20741,5
8770286,20741,5
8795757,20741,1
2633,20741,5
7357,20741,5
7378,20741,5
20230,20176,5
7357,20176,5
7378,20176,5
5971,259,3
20230,259,3
10435,259,3
7357,259,5
17306,259,5
4412,259,5
7359,259,5
7366,259,5
12784,259,1
18787,259,5
7378,259,5
8800463,1457,1
8818102,1457,5
10435,1457,5
7357,1457,5
17306,1457,5
4412,1457,5
6473,1457,3
7359,1457,5
7366,1457,5
12784,1457,2
18787,1457,5
259,1457,5
8807722,724,5
8810380,724,5
5971,724,5
17306,724,4
4412,724,4
6473,724,5
7359,724,5
12784,724,5
18787,724,1
4836,7347,1
5971,7347,1
20230,7347,5
7065,7347,2
10435,7347,5
7357,7347,5
17306,7347,5
4412,7347,5
7359,7347,5
7366,7347,5
18787,7347,5
7378,7347,5
259,7347,5
1457,7347,5
20230,8791771,5
8770286,8791771,5
2633,8791771,5
7357,8791771,1
7378,8791771,5
20741,8791771,5
7347,8791771,1
19976,19743,1
20230,19743,5
7065,19743,2
8770286,19743,5
2633,19743,2
7378,19743,3
8791771,19743,5
20230,2566,5
8770286,2566,5
8795757,2566,5
2633,2566,5
7357,2566,2
7378,2566,5
20741,2566,5
8791771,2566,5
19743,2566,5
20230,13355,5
7065,13355,5
8770286,13355,5
2633,13355,3
7357,13355,5
7378,13355,5
20741,13355,3
7347,13355,1
8791771,13355,1
19743,13355,1
2566,13355,5
20230,4314841,4
7065,4314841,3
8770286,4314841,5
2633,4314841,3
7357,4314841,1
7378,4314841,3
20741,4314841,4
7347,4314841,2
8791771,4314841,5
19743,4314841,5
2566,4314841,5
13355,4314841,2
5971,26821876,5
19976,26821876,5
20230,26821876,5
8770286,26821876,5
7357,26821876,1
7378,26821876,5
20741,26821876,5
7347,26821876,1
8791771,26821876,5
19743,26821876,5
2566,26821876,5
13355,26821876,5
4314841,26821876,5
5971,20773,1
10435,20773,1
2633,20773,1
7346,20773,1
17306,20773,1
4412,20773,5
7359,20773,2
7366,20773,3
18787,20773,2
20741,20773,5
259,20773,3
7347,20773,1
