"node_1","node_2","edge"
13413,4842,2
4841,9907,5
13414,9907,5
13413,20803,5
4842,20803,5
9454991,898,1
20803,898,2
735,898,1
20803,1739,2
735,1739,5
735,3184,5
735,7410,4
735,7412,5
7410,7412,2
735,7414,3
7410,7414,1
7412,7414,1
735,13416,1
9454991,20229,5
13413,9212544,2
20231,9212544,1
20803,9212544,2
735,9212544,5
898,9212544,4
1739,9212544,5
3184,9212544,5
7410,9212544,5
7412,9212544,5
7414,9212544,5
20229,9212544,1
9212544,7403,1
9454991,20598,5
9212544,20598,3
735,9157953,5
1739,9157953,1
3184,9157953,1
7410,9157953,2
7412,9157953,5
7414,9157953,5
9212544,9157953,5
735,18878,1
7410,18878,2
7414,18878,3
9907,10457,1
9907,1625,5
9212544,1625,3
4841,12525,3
13414,12525,4
9907,12525,5
1625,12525,5
9454991,19583,5
20803,19583,1
9212544,19583,1
20598,19583,1
9212544,19738,3
20598,19738,1
19583,19738,3
4841,10855231,5
13414,10855231,4
9907,10855231,5
1625,10855231,2
12525,10855231,5
13413,9205652,2
4842,9205652,5
20231,9205652,1
20803,9205652,5
898,9205652,5
1739,9205652,5
19738,9205652,1
20803,650,3
9212544,650,2
20598,650,1
19583,650,5
4842,20690,3
20803,20690,5
898,20690,1
20598,20690,4
19583,20690,2
19738,20690,3
9205652,20690,1
650,20690,5
9454991,7121434,5
20803,7121434,3
898,7121434,1
20598,7121434,5
19583,7121434,5
19738,7121434,3
650,7121434,5
20690,7121434,5
4841,7787626,1
13414,7787626,4
9907,7787626,5
20803,7787626,2
735,7787626,2
7410,7787626,1
7412,7787626,1
9157953,7787626,5
18878,7787626,4
1625,7787626,3
12525,7787626,4
10855231,7787626,1
650,7787626,1
7121434,7787626,4
898,9206681,1
1739,9206681,5
20229,9206681,2
9212544,9206681,4
9157953,9206681,2
19583,9206681,5
19738,9206681,3
20690,9206681,1
7787626,9206681,5
735,2938,1
7410,2938,1
7412,2938,1
7414,2938,2
20598,2938,4
9157953,2938,5
1625,2938,1
19583,2938,1
19738,2938,1
10855231,2938,1
7121434,2938,4
20231,13415,1
20803,13415,1
735,13415,5
898,13415,1
1739,13415,1
7402,13415,3
7410,13415,5
7412,13415,5
