"node_1","node_2","edge"
19050,8755126,5
19050,7574,5
8755126,7574,5
8755126,13145,5
7574,13145,5
11297,13145,5
11297,8196425,5
8755126,8675150,5
7574,8675150,5
11297,8675150,5
13145,8675150,5
11297,40348616,5
19050,7583,5
8755126,7583,5
7583,8197631,5
11297,7579,5
19050,18418,5
8755126,18418,5
7574,18418,5
13145,18418,5
8196425,18418,5
8675150,18418,5
40348616,18418,2
7583,18418,5
19050,8197636,5
8755126,8197636,5
7574,8197636,5
13145,8197636,5
7583,8197636,5
8197631,8197636,5
7579,8197636,5
18418,8197636,5
19050,8754577,5
8755126,8754577,5
7574,8754577,5
11297,8754577,5
13145,8754577,5
8675150,8754577,5
18418,8754577,5
8197636,8754577,5
19050,38950,5
8755126,38950,5
7574,38950,3
13145,38950,5
7583,38950,5
8197631,38950,5
7579,38950,5
8197636,38950,5
8754577,38950,3
19050,6977300,5
8755126,6977300,5
7574,6977300,3
13145,6977300,5
7583,6977300,5
8197631,6977300,5
7579,6977300,5
18418,6977300,3
8197636,6977300,5
8754577,6977300,1
38950,6977300,5
19050,7016,1
18418,7016,5
8197636,7016,2
38950,7016,4
6977300,7016,1
19050,8198033,1
8755126,8198033,1
13145,8198033,1
7583,8198033,5
18418,8198033,5
8197636,8198033,5
38950,8198033,5
6977300,8198033,5
11297,548,5
13145,548,5
8196425,548,5
8675150,548,5
40348616,548,5
7579,548,2
8754577,548,1
19050,7588,2
11297,7588,5
18418,7588,5
8197636,7588,1
548,7588,4
19050,7590,5
18418,7590,5
38950,7590,1
6977300,7590,1
11297,13743,5
13145,13743,5
8196425,13743,5
8675150,13743,5
40348616,13743,3
7583,13743,1
548,13743,5
19050,722,5
7583,722,5
18418,722,5
8197636,722,3
38950,722,3
6977300,722,2
7016,722,2
7590,722,5
19050,7581,1
8755126,7581,5
7574,7581,5
11297,7581,1
13145,7581,5
8675150,7581,5
18418,7581,5
8197636,7581,5
8754577,7581,5
38950,7581,5
6977300,7581,2
19050,7585,5
8755126,7585,5
7574,7585,5
13145,7585,1
8675150,7585,3
7583,7585,1
18418,7585,5
8197636,7585,5
8754577,7585,5
38950,7585,5
6977300,7585,5
19050,8755422,5
7583,8755422,5
18418,8755422,2
8197636,8755422,4
38950,8755422,5
6977300,8755422,5
8198033,8755422,3
722,8755422,5
19050,8923,3
8755126,8923,1
7583,8923,3
8197631,8923,1
7579,8923,1
8197636,8923,5
38950,8923,5
6977300,8923,5
8198033,8923,5
8755422,8923,3
11297,9239,5
13145,9239,2
8196425,9239,5
8675150,9239,3
18418,9239,2
548,9239,5
13743,9239,5
11297,8189217,5
13145,8189217,5
8196425,8189217,5
8675150,8189217,5
40348616,8189217,5
7579,8189217,4
8754577,8189217,5
548,8189217,5
7588,8189217,5
13743,8189217,5
7581,8189217,2
9239,8189217,5
11297,8190924,5
13145,8190924,5
8196425,8190924,5
8675150,8190924,5
40348616,8190924,4
7583,8190924,1
548,8190924,5
13743,8190924,5
9239,8190924,5
8189217,8190924,5
5886,6862628,5
8197636,2695,1
38950,2695,2
6977300,2695,1
8198033,2695,1
19050,7577,5
7583,7577,5
18418,7577,5
8197636,7577,4
38950,7577,4
6977300,7577,3
7016,7577,1
8198033,7577,2
7590,7577,2
722,7577,5
8755422,7577,5
19050,7586,5
18418,7586,5
8197636,7586,1
38950,7586,3
6977300,7586,2
722,7586,4
7577,7586,1
19050,13776,3
18418,13776,5
19050,8675146,2
8755126,8675146,5
7574,8675146,5
13145,8675146,5
8675150,8675146,1
7583,8675146,5
8197631,8675146,3
18418,8675146,5
8197636,8675146,5
8754577,8675146,5
38950,8675146,5
6977300,8675146,5
8198033,8675146,2
7581,8675146,4
19050,10880,2
7574,10880,1
11297,10880,5
13145,10880,3
8196425,10880,2
40348616,10880,2
18418,10880,3
8197636,10880,1
8754577,10880,2
548,10880,5
7588,10880,3
13743,10880,5
8755422,10880,1
8923,10880,1
9239,10880,5
8189217,10880,5
8190924,10880,5
11297,8211130,5
13145,8211130,3
8196425,8211130,5
8675150,8211130,5
40348616,8211130,3
7579,8211130,1
8754577,8211130,3
548,8211130,5
7588,8211130,2
13743,8211130,5
9239,8211130,5
8189217,8211130,5
8190924,8211130,5
10880,8211130,5
19050,1403,2
18418,1403,5
8197636,1403,5
38950,1403,5
6977300,1403,5
19050,4265,5
7583,4265,5
18418,4265,5
8197636,4265,5
38950,4265,5
6977300,4265,3
8198033,4265,4
722,4265,3
8755422,4265,5
8923,4265,1
7577,4265,3
19050,8117644,5
8755126,8117644,5
7574,8117644,2
13145,8117644,5
40348616,8117644,1
7583,8117644,5
8197631,8117644,5
7579,8117644,5
8197636,8117644,5
8754577,8117644,1
