"node_1","node_2","edge"
4850,14441,5
4850,11189,5
4850,17440273,5
14441,17440273,5
11189,17440273,5
4850,19230,5
14441,19230,5
17440273,19230,5
4848,233779,5
14441,19196,5
19230,19196,2
17440273,225621,5
4850,301804,5
14441,301804,5
19230,301804,5
19196,301804,5
19635,40613883,5
4061,40613883,3
301804,20476,5
19602,20476,1
301804,20604,5
40613883,20604,5
20184,20765,3
19635,20765,2
19602,20765,2
20476,20765,1
40613883,19603,3
19602,19603,1
20765,19421,1
4850,28421,3
14441,28421,1
20184,28421,5
19635,28421,2
19602,28421,1
11189,36528,1
480428,36528,5
40613883,36528,5
19602,36528,1
20765,36528,2
40613883,5271,5
7701,5271,5
301804,19521,1
480428,19521,3
4848,715684,5
4848,261039,5
20184,261039,1
5271,13976,2
7701,1017,5
5271,1017,3
301804,19103,1
40613883,19103,1
28421,20092,2
19906,20745,5
20765,741768,1
20745,741768,5
301804,19850,5
20765,19850,1
301804,7705,2
19603,7705,3
5271,7705,1
19850,7705,1
19196,14655,5
7701,14655,3
20604,14655,2
19603,14655,1
5271,14655,1
19521,14655,2
13976,14655,5
1017,14655,1
19103,14655,3
19964,14655,2
19850,14655,1
7705,14655,5
40613883,15388,5
7701,15388,2
5271,15388,2
1017,15388,2
20745,15388,2
14655,15388,5
7701,3412,1
20604,3412,2
7697,3412,1
13976,3412,1
1017,3412,5
741768,3412,5
14655,3412,3
19196,130490,5
20604,130490,5
19603,130490,2
13976,130490,3
19103,130490,1
19850,130490,5
19962,130490,1
7705,130490,5
14655,130490,5
19196,17445064,3
20184,17445064,1
20604,17445064,5
19603,17445064,5
19521,17445064,3
1017,17445064,2
19850,17445064,5
7705,17445064,5
14655,17445064,5
130490,17445064,5
4850,20435,5
11189,20435,1
301804,20435,5
28421,20435,1
4850,36208,5
14441,36208,5
19230,36208,5
19196,36208,5
20184,36208,5
301804,36208,5
19635,36208,3
19906,36208,5
19602,36208,3
20476,36208,4
20604,36208,5
19421,36208,2
19521,36208,1
19103,36208,1
20745,36208,3
19850,36208,3
19962,36208,2
7705,36208,5
20435,36208,5
4850,26384148,4
20184,26384148,4
301804,26384148,3
28421,26384148,3
20745,26384148,2
7705,26384148,1
36208,26384148,5
301804,29335007,1
40613883,29335007,5
19603,29335007,1
7697,29335007,1
1017,29335007,2
3412,29335007,5
130490,29335007,2
17445064,29335007,1
1017,7703,3
3412,7703,2
3412,8071,2
7701,319809,5
261039,319809,5
1017,319809,5
3412,319809,5
26384148,319809,1
29335007,319809,2
7703,319809,4
20184,100760,2
7701,100760,3
5271,100760,1
1017,100760,5
15388,100760,1
3412,100760,1
17445064,100760,4
36208,100760,2
26384148,100760,2
29335007,100760,2
7703,100760,2
319809,100760,5
4848,401221,5
233779,401221,1
715684,401221,2
261039,401221,5
4850,443759,2
19196,443759,5
19906,443759,1
20092,443759,3
19964,443759,1
20435,443759,5
20184,7203,4
7701,7203,1
5978,7203,1
5271,7203,4
1017,7203,2
40613883,7698,5
7701,7698,5
5271,7698,5
1017,7698,3
15388,7698,2
319809,7698,1
100760,7698,2
7203,7698,3
20184,20849788,1
296660,20849788,1
7701,20849788,3
20765,20849788,4
19603,20849788,1
7697,20849788,1
5978,20849788,2
5271,20849788,5
13976,20849788,2
1017,20849788,5
19850,20849788,2
15388,20849788,2
17445064,20849788,3
29335007,20849788,1
7703,20849788,2
319809,20849788,2
100760,20849788,3
7203,20849788,5
7698,20849788,3
19196,170016,1
20184,170016,5
19906,170016,3
7701,170016,5
19602,170016,3
28421,170016,2
5271,170016,2
1017,170016,5
19103,170016,1
15388,170016,2
17445064,170016,2
26384148,170016,4
100760,170016,3
7203,170016,5
7698,170016,2
20849788,170016,2
20184,20982,1
19635,20982,3
480428,20982,5
19602,20982,2
443759,20982,3
170016,20982,3
19196,40616415,3
296660,40616415,1
20765,40616415,2
7697,40616415,2
5978,40616415,2
36528,40616415,5
5271,40616415,2
19521,40616415,2
13976,40616415,5
19964,40616415,5
19962,40616415,5
7705,40616415,4
100760,40616415,3
20849788,40616415,5
19196,40478184,1
19635,40478184,2
19906,40478184,4
4061,40478184,1
40613883,40478184,5
19602,40478184,2
20476,40478184,2
20765,40478184,5
19603,40478184,3
19521,40478184,1
20092,40478184,1
19964,40478184,3
741768,40478184,5
36208,40478184,3
7703,40478184,1
19196,7702,1
7701,7702,5
5271,7702,3
1017,7702,5
19964,7702,5
19962,7702,5
7705,7702,5
14655,7702,5
15388,7702,2
3412,7702,3
130490,7702,5
17445064,7702,5
8071,7702,1
319809,7702,5
100760,7702,1
4850,22978,5
14441,22978,5
17440273,22978,5
19230,22978,1
20184,22978,1
225621,22978,2
29335007,22978,3
20982,22978,1
20184,20778,4
19635,20778,5
19906,20778,1
19602,20778,3
20476,20778,1
19603,20778,1
7697,20778,2
5978,20778,1
28421,20778,2
36528,20778,5
19850,20778,1
19962,20778,3
7705,20778,5
26384148,20778,1
7203,20778,1
7698,20778,2
20849788,20778,3
20982,20778,1
20184,762008,5
19635,762008,1
19906,762008,1
19603,762008,4
7697,762008,5
5978,762008,3
36528,762008,3
20092,762008,1
19964,762008,1
7705,762008,5
7203,762008,5
7698,762008,3
20849788,762008,5
40616415,762008,5
20778,762008,5
20184,26391462,5
19906,26391462,1
19603,26391462,2
7697,26391462,3
5978,26391462,1
36528,26391462,2
20092,26391462,2
7705,26391462,5
20435,26391462,3
443759,26391462,5
7203,26391462,4
20849788,26391462,4
20778,26391462,5
762008,26391462,5
14441,12613,4
17440273,12613,5
225621,12613,5
443759,12613,5
22978,12613,1
26391462,12613,4
4061,35753122,1
7701,35753122,5
28421,35753122,5
5271,35753122,3
15388,35753122,1
20435,35753122,5
29335007,35753122,1
8071,35753122,1
7698,35753122,5
4850,20366,2
14441,20366,5
11189,20366,5
17440273,20366,2
19230,20366,1
301804,20366,5
5271,20366,1
13976,20366,2
20745,20366,1
40616415,20366,3
20184,740578,2
19603,740578,5
7697,740578,3
5271,740578,5
13976,740578,5
7705,740578,5
14655,740578,5
3412,740578,1
130490,740578,5
17445064,740578,5
29335007,740578,1
7703,740578,1
100760,740578,1
20849788,740578,3
7702,740578,4
20778,740578,5
762008,740578,5
26391462,740578,5
20366,740578,5
4850,282715,5
11189,282715,5
4850,19381,1
14441,19381,5
17440273,19381,2
19230,19381,2
19196,19381,3
19906,19381,2
19602,19381,5
20476,19381,4
20604,19381,3
20765,19381,5
19421,19381,3
28421,19381,2
36528,19381,5
19103,19381,1
20092,19381,1
19850,19381,5
7705,19381,3
17445064,19381,3
22978,19381,2
20184,20978,4
19906,20978,2
19602,20978,5
20476,20978,3
20604,20978,4
20765,20978,5
19421,20978,3
28421,20978,5
36528,20978,5
19103,20978,3
20092,20978,2
19850,20978,5
7705,20978,2
17445064,20978,2
26384148,20978,1
170016,20978,3
20982,20978,1
19381,20978,5
19230,441455,2
19906,441455,5
19602,441455,5
20476,441455,5
20604,441455,5
20765,441455,5
19603,441455,2
19421,441455,5
36528,441455,5
19521,441455,2
19103,441455,5
20092,441455,4
20745,441455,1
741768,441455,1
19850,441455,5
7705,441455,5
3412,441455,1
17445064,441455,5
319809,441455,2
19381,441455,5
20978,441455,5
19196,348676,1
20184,348676,3
20765,348676,5
20745,348676,3
7705,348676,3
26384148,348676,1
20849788,348676,5
40616415,348676,5
20778,348676,5
762008,348676,5
26391462,348676,5
20366,348676,3
740578,348676,2
4850,19566,4
19906,19566,1
19602,19566,5
19603,19566,5
19850,19566,2
170016,19566,5
20982,19566,5
20978,19566,2
301804,20554,4
14655,20554,1
443759,20554,1
170016,20554,3
20982,20554,1
20778,20554,3
740578,20554,1
20978,20554,1
19603,19638,5
19964,19638,2
20982,19638,1
7702,19638,2
282715,19638,2
19381,19638,3
20978,19638,3
441455,19638,5
19566,19638,5
4850,198255,5
19230,198255,4
19196,198255,3
301804,198255,5
480428,198255,1
19906,198255,4
19602,198255,2
20476,198255,1
20604,198255,3
20745,198255,5
7705,198255,3
20435,198255,5
36208,198255,5
26384148,198255,5
4850,7704,3
11189,7704,1
36208,7704,1
170016,7704,2
40616415,7704,5
198255,7704,2
19196,20764,3
301804,20764,5
19906,20764,4
19602,20764,5
20476,20764,5
20604,20764,5
20765,20764,5
19421,20764,2
36528,20764,3
19103,20764,2
19850,20764,4
17445064,20764,1
170016,20764,5
20982,20764,2
19381,20764,5
20978,20764,5
441455,20764,5
19566,20764,3
20554,20764,2
19906,19623,5
7701,19623,1
19603,19623,1
5271,19623,2
20745,19623,5
19850,19623,4
7705,19623,1
14655,19623,4
15388,19623,1
130490,19623,5
17445064,19623,5
100760,19623,3
7702,19623,3
740578,19623,3
198255,19623,1
19635,20758,3
40613883,20758,5
20604,20758,4
19603,20758,3
19850,20758,2
7705,20758,2
14655,20758,5
15388,20758,3
130490,20758,5
17445064,20758,5
29335007,20758,5
7698,20758,1
40478184,20758,5
7702,20758,4
740578,20758,5
19381,20758,1
20978,20758,1
19623,20758,3
4850,20700,5
14441,20700,5
11189,20700,5
17440273,20700,5
19230,20700,1
19196,20700,3
301804,20700,5
19906,20700,3
20745,20700,3
36208,20700,5
443759,20700,5
198255,20700,5
19623,20700,1
19196,26384612,1
7701,26384612,1
28421,26384612,1
7203,26384612,2
7698,26384612,1
20849788,26384612,5
40616415,26384612,5
35753122,26384612,5
348676,26384612,5
20764,26384612,1
7701,254044,5
5271,254044,4
1017,254044,5
7705,254044,1
