"node_1","node_2","edge"
2678,20918,5
2678,7059,2
4444,7059,5
17010434,7059,1
4593529,20366,5
20918,20366,2
20366,4808244,5
2678,13967,5
4593713,13967,5
4444,13967,5
17010434,13967,5
7059,13967,5
4808244,4593088,5
4444,10668028,2
13967,10668028,5
4444,18873,5
7059,18873,5
13967,18873,5
2678,20094,1
4593713,20094,1
4444,20094,5
7059,20094,4
13967,20094,5
18873,20094,5
2678,4605583,5
4593713,4605583,5
4444,4605583,5
17010434,4605583,5
7059,4605583,5
20366,4605583,1
13967,4605583,5
10668028,4605583,5
18873,4605583,5
20094,4605583,5
20918,19326,5
20366,19326,5
13967,19326,1
20094,19326,1
2678,2015,5
4444,2015,5
7059,2015,2
13967,2015,5
18873,2015,5
20094,2015,5
4605583,2015,5
2678,2787,5
4444,2787,5
20918,2787,5
13967,2787,1
4605583,2787,3
2015,2787,5
2678,4593407,5
4444,4593407,5
20918,4593407,5
7059,4593407,5
13967,4593407,5
18873,4593407,5
20094,4593407,5
4605583,4593407,5
2015,4593407,5
2787,4593407,5
4444,4593106,2
7059,4593106,5
20366,4593106,1
13967,4593106,5
18873,4593106,5
20094,4593106,2
4605583,4593106,5
4444,4601386,5
7059,4601386,5
13967,4601386,5
10668028,4601386,2
18873,4601386,5
20094,4601386,5
4605583,4601386,5
2015,4601386,4
4593407,4601386,4
4593106,4601386,5
4444,4593368,5
7059,18790,3
18873,18790,5
4593713,4736119,5
20366,4739503,3
4808244,4739503,5
4593088,4739503,5
20366,4740308,5
4593106,4740308,3
4739503,4740308,5
4593529,4891235,1
20918,4891235,5
20366,4891235,5
4808244,4891235,3
13967,4891235,5
18873,4891235,1
20094,4891235,1
4605583,4891235,3
19326,4891235,5
4593106,4891235,5
4601386,4891235,4
4739503,4891235,3
4740308,4891235,5
4444,27664176,5
7059,27664176,2
13967,27664176,5
18873,27664176,3
20094,27664176,5
4605583,27664176,5
4593106,27664176,1
4601386,27664176,5
4891235,27664176,4
4444,10897,2
7059,10897,5
13967,10897,5
18873,10897,5
20094,10897,5
4605583,10897,5
2015,10897,1
4593407,10897,5
4601386,10897,5
18790,10897,5
27664176,10897,5
4593713,4593093,5
20366,4593093,3
13967,4593093,5
18873,4593093,5
20094,4593093,5
4605583,4593093,5
4593106,4593093,4
4601386,4593093,5
4736119,4593093,5
27664176,4593093,1
10897,4593093,5
2678,24734233,5
4593713,24734233,5
4444,24734233,5
7059,24734233,5
20366,24734233,5
13967,24734233,5
10668028,24734233,5
18873,24734233,5
20094,24734233,5
4605583,24734233,5
19326,24734233,3
2015,24734233,5
2787,24734233,5
4593407,24734233,5
4593106,24734233,5
4601386,24734233,5
4891235,24734233,5
27664176,24734233,5
10897,24734233,5
4593093,24734233,5
19326,898,4
4444,292705,5
7059,292705,1
18873,292705,1
2015,292705,5
2787,292705,5
4593407,292705,5
17010434,2940,2
898,2940,5
2678,20470,5
4808244,20470,5
13967,20470,5
18873,20470,1
20094,20470,3
4605583,20470,5
19326,20470,5
4601386,20470,3
10897,20470,1
24734233,20470,5
898,20470,5
2940,20470,5
7059,11967,5
18873,11967,5
18790,11967,5
10897,11967,5
20366,4609368,5
4593368,4609368,1
4736119,4609368,4
4739503,4609368,5
20366,49646,1
20094,49646,1
19326,49646,5
4891235,49646,1
898,49646,5
2940,49646,5
20470,49646,5
4444,19338,1
2678,20893,5
4444,20893,3
20918,20893,5
4808244,20893,1
13967,20893,5
4593088,20893,4
18873,20893,3
20094,20893,2
4605583,20893,5
19326,20893,5
2015,20893,2
2787,20893,3
4593407,20893,4
4593106,20893,1
4601386,20893,5
4891235,20893,5
27664176,20893,1
24734233,20893,5
2940,20893,3
20470,20893,5
49646,20893,1
13967,20887,5
18873,20887,1
20094,20887,5
4605583,20887,5
19326,20887,5
4593407,20887,1
4601386,20887,5
4736119,20887,5
4891235,20887,1
10897,20887,1
4593093,20887,5
24734233,20887,5
49646,20887,1
20893,20887,2
4444,4774926,1
4593713,19437,5
7059,19437,3
13967,19437,5
18873,19437,5
20094,19437,5
4605583,19437,5
4593407,19437,1
4601386,19437,1
10897,19437,3
4593093,19437,5
24734233,19437,5
19338,19437,2
20887,19437,5
7059,7687,5
13967,7687,5
18873,7687,5
20094,7687,5
4605583,7687,5
4593407,7687,5
4601386,7687,5
18790,7687,5
27664176,7687,2
10897,7687,5
4593093,7687,2
24734233,7687,5
11967,7687,5
19437,7687,2
2678,644,5
4593713,644,1
4444,644,5
7059,644,5
13967,644,5
18873,644,5
20094,644,5
4605583,644,5
2015,644,5
2787,644,5
4593407,644,5
4593106,644,5
4601386,644,5
27664176,644,5
10897,644,5
4593093,644,5
24734233,644,5
292705,644,5
20470,644,3
20893,644,5
20887,644,2
19437,644,5
7687,644,5
2678,968,5
4593713,968,5
4444,968,5
7059,968,5
20366,968,5
13967,968,5
10668028,968,5
18873,968,5
20094,968,5
4605583,968,5
19326,968,3
2015,968,5
2787,968,5
4593407,968,5
4593106,968,5
4601386,968,5
4891235,968,5
27664176,968,5
10897,968,5
4593093,968,5
24734233,968,5
20470,968,5
20893,968,5
20887,968,5
19437,968,5
7687,968,5
644,968,5
2678,19268,3
4444,19268,5
7059,19268,5
13967,19268,5
18873,19268,5
20094,19268,5
4605583,19268,5
2015,19268,5
2787,19268,2
4593407,19268,4
4601386,19268,4
27664176,19268,1
10897,19268,5
4593093,19268,1
24734233,19268,5
292705,19268,2
19437,19268,5
7687,19268,2
644,19268,5
968,19268,5
2678,7678,5
4444,7678,5
17010434,7678,2
7059,7678,5
13967,7678,5
18873,7678,5
20094,7678,5
4605583,7678,5
2015,7678,5
2787,7678,5
4593407,7678,5
4593106,7678,1
4601386,7678,5
24734233,7678,5
292705,7678,5
7687,7678,1
644,7678,5
968,7678,5
19268,7678,5
20366,4809374,5
4593713,4832237,5
4444,4832237,3
7059,4832237,5
18873,4832237,2
20094,4832237,1
20887,4832237,5
19437,4832237,2
7678,4832237,5
20918,19640,1
19326,19640,5
4891235,19640,3
27664176,19640,5
898,19640,5
2940,19640,5
20470,19640,5
49646,19640,5
20893,19640,2
2678,21059,3
4444,21059,5
7059,21059,3
13967,21059,5
18873,21059,5
20094,21059,5
4605583,21059,5
2015,21059,5
2787,21059,5
4593407,21059,5
4601386,21059,4
18790,21059,1
27664176,21059,1
10897,21059,5
24734233,21059,5
292705,21059,5
19437,21059,1
7687,21059,3
644,21059,5
968,21059,5
19268,21059,5
7678,21059,5
2678,13966,5
4444,13966,4
7059,13966,3
13967,13966,5
18873,13966,5
20094,13966,5
4605583,13966,5
2015,13966,5
2787,13966,5
4593407,13966,5
4601386,13966,5
27664176,13966,2
10897,13966,5
4593093,13966,5
24734233,13966,5
292705,13966,5
20893,13966,2
19437,13966,3
7687,13966,3
644,13966,5
968,13966,5
19268,13966,5
7678,13966,5
21059,13966,5
2678,38699995,2
4444,38699995,1
2015,38699995,5
2787,38699995,5
4593407,38699995,5
292705,38699995,5
644,38699995,5
7678,38699995,5
21059,38699995,5
13966,38699995,5
2678,3479,5
4444,3479,5
7059,3479,3
13967,3479,5
18873,3479,2
20094,3479,5
4605583,3479,5
2015,3479,5
2787,3479,5
4593407,3479,5
4601386,3479,1
27664176,3479,3
10897,3479,1
24734233,3479,5
292705,3479,5
644,3479,5
968,3479,5
19268,3479,1
7678,3479,5
21059,3479,5
13966,3479,5
38699995,3479,5
24734233,4741159,1
898,4741159,5
19338,4741159,5
968,4741159,1
4808244,4860493,5
4593088,4860493,5
27664176,4860493,2
20366,4593109,1
4593093,4593109,5
2678,2741,5
4444,2741,5
7059,2741,5
13967,2741,5
18873,2741,5
20094,2741,5
4605583,2741,5
2015,2741,5
2787,2741,5
4593407,2741,5
4593106,2741,3
4601386,2741,5
27664176,2741,5
10897,2741,5
4593093,2741,5
24734233,2741,5
292705,2741,5
20470,2741,2
20893,2741,5
20887,2741,4
19437,2741,4
7687,2741,5
644,2741,5
968,2741,5
19268,2741,5
7678,2741,5
21059,2741,5
13966,2741,5
38699995,2741,4
3479,2741,5
2678,7692,5
4593713,7692,5
4444,7692,5
7059,7692,5
20366,7692,3
13967,7692,5
10668028,7692,4
18873,7692,5
20094,7692,5
4605583,7692,5
19326,7692,2
2015,7692,5
2787,7692,4
4593407,7692,5
4593106,7692,5
4601386,7692,5
4891235,7692,5
27664176,7692,5
10897,7692,5
4593093,7692,5
24734233,7692,5
20470,7692,5
20893,7692,5
20887,7692,5
19437,7692,5
7687,7692,5
644,7692,5
968,7692,5
19268,7692,5
7678,7692,5
21059,7692,5
13966,7692,5
3479,7692,5
2741,7692,5
2678,4987977,5
4444,4987977,5
17010434,4987977,5
7059,4987977,5
13967,4987977,5
18873,4987977,5
20094,4987977,1
4605583,4987977,5
2015,4987977,5
2787,4987977,5
4593407,4987977,5
4601386,4987977,3
18790,4987977,1
10897,4987977,1
24734233,4987977,5
292705,4987977,5
20893,4987977,1
644,4987977,5
968,4987977,5
19268,4987977,3
7678,4987977,5
21059,4987977,5
