"node_1","node_2","edge"
7624,18257,5
7624,13625,2
18257,13625,5
18257,9995408,5
13625,9995408,1
7624,5897,1
7624,7626,1
18257,7626,1
5897,7626,2
7624,7635,1
7626,7635,1
7626,7636,1
7635,7636,4
18257,7639,2
7626,7639,1
7635,7639,5
7636,7639,3
7624,9960400,1
7626,9960400,2
7635,9960400,5
7636,9960400,5
7639,9960400,3
7624,7631,2
18257,7631,4
13625,7631,1
7636,7631,1
7639,7631,1
9960400,7631,2
18257,2077,3
9995408,2077,1
7635,2077,2
7631,2077,2
9992830,15112,5
9995408,12525,1
7624,2034,2
7636,2034,1
9960400,2034,3
7631,2034,1
7624,6008,2
5897,6008,1
7635,6008,1
7639,6008,1
9960400,6008,3
2034,6008,3
18257,21047,3
9995408,21047,2
7626,21047,1
7639,21047,1
7624,9931277,1
18257,9931277,1
7626,9931277,1
18257,40616903,1
13625,40616903,1
5897,40616903,2
7626,40616903,2
7639,40616903,1
12525,40616903,3
6008,40616903,1
9931277,40616903,1
9995408,40613640,2
7635,40613640,2
7636,40613640,1
2077,40613640,2
6008,40613640,3
7636,9954628,1
9960400,9954628,2
7631,9954628,1
2077,9954628,1
2034,9954628,1
40616903,9954628,2
9992830,7646,5
15112,7646,5
9992830,20383,5
15112,20383,5
7646,20383,5
7646,9929262,2
18257,1854,1
9995408,1854,3
7635,1854,1
7636,1854,1
2077,1854,3
21047,1854,1
40613640,1854,4
18257,7991,1
9995408,7991,1
7636,7991,1
2077,7991,1
9931277,7991,1
40616903,7991,2
1854,7991,3
7624,11792,2
9995408,11792,1
7626,11792,2
7635,11792,5
7636,11792,5
7639,11792,3
9960400,11792,5
7631,11792,2
2077,11792,2
2034,11792,1
6008,11792,1
9954628,11792,2
1854,11792,3
7991,11792,3
9995408,40616897,1
7626,40616897,1
7635,40616897,5
7636,40616897,3
7639,40616897,2
9960400,40616897,4
1854,40616897,1
7991,40616897,3
11792,40616897,5
5897,9962900,5
7626,9962900,1
15112,9962900,1
7646,9962900,1
5897,9996861,3
7626,9996861,2
9962900,9996861,5
18257,7641,1
9995408,7641,3
7635,7641,3
7636,7641,3
7639,7641,2
9960400,7641,5
2077,7641,3
2034,7641,1
40613640,7641,1
1854,7641,1
11792,7641,2
40616897,7641,1
18257,9930909,1
9995408,9930909,4
7639,9930909,1
21047,9930909,1
40613640,9930909,5
2933480,9930909,1
1854,9930909,3
9996861,9930909,4
7641,9930909,3
9995408,9963163,2
7635,9963163,1
7636,9963163,2
7639,9963163,1
7631,9963163,1
2077,9963163,5
9998377,9963163,1
12525,9963163,1
40616903,9963163,1
40613640,9963163,5
9954628,9963163,1
1854,9963163,4
7641,9963163,3
9930909,9963163,5
7624,5264,2
40616903,5264,1
7641,5264,1
9963163,5264,1
7624,7637,2
7635,7637,2
7636,7637,3
9960400,7637,5
7631,7637,1
2077,7637,1
9954628,7637,3
11792,7637,3
7641,7637,1
9963163,7637,3
5264,7637,2
9992830,20145,2
15112,20145,1
6008,20145,3
7646,20145,1
9962900,20145,5
5264,20145,2
7626,28304289,3
7636,28304289,3
7639,28304289,1
9960400,28304289,3
2034,28304289,2
6008,28304289,3
9931277,28304289,1
40616903,28304289,3
9998352,28304289,1
9954628,28304289,3
7991,28304289,3
11792,28304289,4
40616897,28304289,2
7626,27979672,2
7635,27979672,5
7636,27979672,4
7639,27979672,2
9960400,27979672,5
2034,27979672,1
6008,27979672,2
9998352,27979672,1
11792,27979672,5
40616897,27979672,5
7641,27979672,4
7637,27979672,1
28304289,27979672,3
7624,13868,1
7626,13868,2
7635,13868,3
7636,13868,5
7639,13868,3
9960400,13868,5
9998377,13868,2
