"node_1","node_2","edge"
40486,153926,5
40486,23746,4
153926,23746,5
145026,14158,3
145026,7787,3
23746,12573,1
145026,10678785,2
20811,2955,4
145026,19394,1
2955,19394,5
20811,21550,2
2955,21550,5
19394,21550,5
21550,20093,5
40486,4858,5
153926,4858,4
23746,4858,5
23746,17295,5
4858,17295,1
153926,45430,5
23746,45430,5
12573,45430,3
4858,45430,5
17295,45430,2
4857,134376,5
40486,134376,4
4445,134376,1
153926,134376,5
23746,134376,5
4858,134376,5
17295,134376,5
45430,134376,5
23746,139603,5
4858,139603,1
45430,139603,5
134376,139603,5
4857,194583,5
40486,194583,5
153926,194583,5
23746,194583,5
12573,194583,5
4858,194583,5
17295,194583,5
45430,194583,5
134376,194583,5
139603,194583,5
4857,12174971,5
40486,12174971,5
4445,12174971,2
153926,12174971,5
23746,12174971,5
3624,12174971,3
4858,12174971,5
17295,12174971,5
45430,12174971,5
134376,12174971,5
139603,12174971,5
194583,12174971,5
153926,12746263,5
23746,12746263,5
12573,12746263,1
4858,12746263,5
17295,12746263,3
45430,12746263,5
134376,12746263,5
139603,12746263,3
194583,12746263,5
12174971,12746263,5
40486,16518328,1
23746,16518328,5
4858,16518328,2
45430,16518328,1
134376,16518328,4
194583,16518328,5
12174971,16518328,5
12746263,16518328,4
4857,40613801,1
40486,40613801,5
153926,40613801,5
23746,40613801,5
3624,40613801,4
4858,40613801,5
17295,40613801,5
45430,40613801,5
134376,40613801,5
139603,40613801,5
194583,40613801,5
12174971,40613801,5
12746263,40613801,5
16518328,40613801,5
153926,12612608,3
23746,12612608,5
4858,12612608,1
45430,12612608,5
134376,12612608,5
194583,12612608,5
12746263,12612608,5
40486,43575982,5
23746,43575982,5
4858,43575982,5
12174971,43575982,5
12746263,43575982,1
40613801,43575982,5
12612608,43575982,1
145026,157498,5
3221,157498,1
851,157498,2
14158,157498,2
4857,26340424,5
40486,26340424,5
153926,26340424,5
23746,26340424,5
12573,26340424,5
3624,26340424,4
4858,26340424,5
17295,26340424,5
45430,26340424,5
134376,26340424,5
139603,26340424,5
194583,26340424,5
12746263,26340424,5
16518328,26340424,5
12612608,26340424,5
43575982,26340424,3
2955,898,5
19394,898,5
21550,898,5
21550,22731,2
2955,19902,3
21550,19902,3
21550,4087,5
157498,4087,1
20811,308552,3
20240,308552,1
10678785,308552,5
2955,308552,3
21550,308552,5
20093,308552,5
898,308552,5
4712,308552,5
22731,308552,5
19902,308552,5
4087,308552,5
1020,18825,1
22731,18825,4
145026,42690638,1
20811,42690638,1
10678785,42690638,1
2955,42690638,1
20093,42690638,5
4712,42690638,5
22731,42690638,5
19682,42690638,5
19902,42690638,1
18825,42690638,5
1020,15613708,3
22731,15613708,5
308552,15613708,5
18825,15613708,5
42690638,15613708,5
126440,14168,5
145026,14168,3
134376,14168,4
157498,14168,2
145026,12612694,2
898,12612694,1
1020,12612694,3
19682,12612694,5
18825,12612694,3
134376,5291,5
26340424,5291,1
4857,77785,5
40486,77785,5
4445,77785,3
153926,77785,5
23746,77785,5
4858,77785,5
17295,77785,5
45430,77785,5
134376,77785,4
139603,77785,2
194583,77785,5
12174971,77785,5
12746263,77785,3
16518328,77785,5
40613801,77785,5
12612608,77785,2
43575982,77785,5
26340424,77785,5
4087,77785,1
1025,77785,5
5291,77785,3
4857,17608043,5
40486,17608043,5
4445,17608043,5
153926,17608043,5
851,17608043,2
14158,17608043,5
7787,17608043,2
3624,17608043,1
4858,17608043,5
17295,17608043,5
194583,17608043,2
16518328,17608043,5
43575982,17608043,5
4087,17608043,5
1025,17608043,5
5291,17608043,5
77785,17608043,5
126440,3401,5
194583,3401,2
26340424,3401,5
14168,3401,5
77785,3401,5
17608043,3401,5
20240,21885,3
898,21885,5
1020,21885,5
19902,21885,2
18825,21885,4
15613708,21885,1
12612694,21885,5
40486,143169,2
153926,143169,5
23746,143169,5
4858,143169,5
17295,143169,1
45430,143169,5
134376,143169,5
194583,143169,5
12174971,143169,5
12746263,143169,5
40613801,143169,5
43575982,143169,1
26340424,143169,5
77785,143169,5
17608043,143169,5
40486,7793,5
12174971,7793,1
157498,7793,5
14168,7793,3
77785,7793,5
17608043,7793,5
3624,27825988,5
16518328,27825988,5
40613801,27825988,5
12612608,27825988,5
43575982,27825988,5
5291,27825988,3
143169,27825988,5
4860,28191627,1
145026,28191627,5
27807118,28191627,4
134376,28191627,5
194583,28191627,5
12174971,28191627,5
40613801,28191627,4
22731,28191627,1
12612694,28191627,3
21885,28191627,5
126440,3210,1
134376,3210,5
26340424,3210,3
77785,3210,2
17608043,3210,5
27825988,3210,3
14158,215196,3
12573,215196,2
4858,215196,5
4087,215196,5
17608043,215196,5
143169,215196,5
7793,215196,1
23746,27782,5
12573,27782,1
17295,27782,5
45430,27782,5
139603,27782,5
194583,27782,5
12746263,27782,5
16518328,27782,3
12612608,27782,5
14168,27782,5
77785,27782,3
143169,27782,5
308552,19117,5
12612694,19117,3
10678785,14499,1
1020,14499,5
19682,14499,4
42690638,14499,3
19117,14499,5
10678785,28210939,5
1020,28210939,5
4712,28210939,1
19682,28210939,5
19117,28210939,5
14499,28210939,5
1020,19488,3
22731,19488,2
19682,19488,4
308552,19488,1
18825,19488,5
15613708,19488,5
21885,19488,5
14499,19488,1
4860,15619832,5
20811,15619832,3
19394,15619832,5
1020,15619832,5
4712,15619832,5
22731,15619832,5
19902,15619832,4
15613708,15619832,5
28191627,15619832,5
14499,15619832,1
153926,12278,1
23746,12278,2
4858,12278,1
17295,12278,1
45430,12278,2
134376,12278,5
194583,12278,5
12174971,12278,5
12746263,12278,2
16518328,12278,2
40613801,12278,5
43575982,12278,1
26340424,12278,5
77785,12278,5
143169,12278,4
27825988,12278,5
14168,4201,1
3401,4201,5
19117,4201,2
14499,4201,4
20811,20688,1
898,20688,5
1020,20688,5
4712,20688,5
22731,20688,5
19902,20688,5
18825,20688,5
15613708,20688,5
12612694,20688,5
21885,20688,5
28191627,20688,1
19488,20688,3
20811,49802,2
20093,49802,5
898,49802,5
1020,49802,5
4712,49802,5
22731,49802,5
19682,49802,5
19902,49802,5
18825,49802,5
15613708,49802,5
14499,49802,5
19488,49802,5
4860,20493,1
126440,20493,5
19394,20493,1
18825,20493,1
28191627,20493,5
15619832,20493,5
157498,12535154,5
898,12535154,2
1020,12535154,5
4712,12535154,1
22731,12535154,5
308552,12535154,1
18825,12535154,5
42690638,12535154,5
15613708,12535154,5
12612694,12535154,5
21885,12535154,5
