"node_1","node_2","edge"
4864,9156011,1
9154105,9137044,5
9383862,4862,3
4862,9314320,5
9151088,9126710,5
4862,9133768,1
9386106,9128935,5
4864,9360664,2
9150257,26482489,1
9386106,16820347,5
9128935,16820347,5
9151088,9152396,3
9152587,9152396,1
4862,9190454,5
9133768,9190454,5
9383862,9165025,5
4862,9165025,3
9135043,9165025,5
9314320,9156955,5
9151088,40617305,5
9126710,40617305,5
9190454,9158175,5
4864,19333,5
9166118,19333,4
4862,19333,1
9314320,19333,3
9134709,19333,1
9190454,19333,5
4864,20280,5
9166118,20280,5
9128110,20280,5
40617299,20280,5
9135043,20280,3
9134709,20280,3
9133768,20280,5
9360664,20280,1
9190454,20280,5
9721,20280,4
9166240,20280,2
19333,20280,5
9134709,9128006,5
9190454,9128006,5
9721,9128006,3
19333,9128006,1
20280,9128006,2
4864,9154966,2
9190454,9154966,5
19333,9154966,3
20280,9154966,2
9128006,9154966,5
9156955,9128591,5
9128006,9128591,2
9169723,9171557,5
4862,9381194,1
9169723,9381194,5
9171557,9381194,5
4862,9128541,5
9355851,9128541,3
9169723,9128541,1
4864,19645,5
9128110,19645,3
4862,19645,2
40617299,19645,5
9133768,19645,2
9190454,19645,3
19333,19645,3
20280,19645,4
4864,19999,5
9166118,19999,1
9128110,19999,5
40617299,19999,5
9135043,19999,2
19333,19999,3
20280,19999,5
19645,19999,5
9151088,9227573,3
9154105,9227573,5
9154714,9227573,5
16888736,9227573,2
4862,9153256,5
9190454,9153256,5
9165025,9153256,1
19333,9153256,3
20280,9153256,1
19645,9153256,4
19999,9128768,2
9166118,7832,5
9135043,7832,5
9133768,7832,1
9721,7832,2
19333,7832,2
20280,7832,2
9128006,7832,1
9154966,7832,3
19999,7832,3
40617210,9150504,1
9150506,9150504,3
9133768,9162526,3
9190454,9162526,3
20280,9162526,2
19645,9162526,4
9153256,9162526,2
9151088,9202465,2
9137044,9202465,5
9154714,9202465,4
9227573,9202465,2
9386106,16819296,5
9166870,16819296,5
9128935,16819296,5
16820347,16819296,1
9152396,16819296,5
40617210,4694735,1
9151713,4694735,4
9150504,4694735,3
4694735,9155477,3
9150257,4099,1
4864,4099,3
9128110,4099,5
9314320,4099,5
19333,4099,1
20280,4099,3
19645,4099,1
19999,4099,4
9151088,9155569,5
9126710,9155569,5
40617305,9155569,5
9150504,9155569,4
4099,9155569,5
9156011,3619,1
9314320,3619,5
9386106,3619,5
9128935,3619,4
9156955,3619,2
9166240,3619,5
9128541,3619,3
9162526,3619,1
4099,3619,1
40617299,3178,5
9355851,3178,5
9152396,3178,2
9721,3178,1
9150257,19722,4
9166118,19722,1
9128110,19722,4
9135043,19722,2
9355851,19722,5
26482489,19722,1
9721,19722,1
9158175,19722,1
19333,19722,1
20280,19722,2
9128006,19722,1
19999,19722,1
7832,19722,1
9162526,19722,2
4099,19722,2
3619,19722,2
4862,9155108,1
9355851,9155108,5
19645,9155108,2
9153256,9155108,2
9162526,9155108,5
4864,19117,5
9166118,19117,5
9128110,19117,5
4862,19117,2
9134709,19117,1
9133768,19117,2
9190454,19117,5
9721,19117,1
9166240,19117,3
9158175,19117,2
19333,19117,5
20280,19117,5
9128006,19117,3
9154966,19117,5
19645,19117,1
19999,19117,3
9153256,19117,5
7832,19117,1
4099,19117,3
3619,19117,1
19722,19117,2
9166118,2358,4
9128110,2358,5
9133768,2358,1
9360664,2358,4
26482489,2358,2
9128541,2358,2
9155108,2358,1
9151088,14214,5
9152587,14214,5
9174138,14214,5
9154714,14214,1
9386106,14214,5
9166870,14214,2
9128935,14214,5
16888736,14214,3
9227573,14214,3
9150504,14214,2
9202465,14214,4
9151088,17307,5
9355851,17307,2
9166870,17307,4
9152396,17307,5
9155477,17307,1
14214,17307,3
9151088,9137052,5
9360030,9137052,5
9174138,9137052,4
9126710,9137052,2
9128935,9137052,5
9152396,9137052,5
40617305,9137052,1
17307,9137052,3
9166118,9127321,5
4862,9127321,1
9314320,9127321,5
9134709,9127321,1
9133768,9127321,3
9360664,9127321,4
9361921,9127321,3
9190454,9127321,5
9721,9127321,5
9156955,9127321,1
9158175,9127321,2
19333,9127321,4
20280,9127321,5
9128006,9127321,3
9154966,9127321,1
9153256,9127321,5
7832,9127321,1
19117,9127321,3
9360664,27329661,4
9190454,27329661,4
19333,27329661,1
20280,27329661,2
9128006,27329661,5
9154966,27329661,5
19999,27329661,1
7832,27329661,2
19722,27329661,1
9127321,27329661,5
9169723,9128471,5
9171557,9128471,5
9381194,9128471,5
3619,9128471,2
9137044,7829,1
40617210,7829,5
9152396,7829,2
16888736,7829,1
9150504,7829,1
9360030,9149961,2
9150257,9149961,2
40617210,9149961,1
16820347,9149961,1
9152396,9149961,2
9150504,9149961,1
4694735,9149961,2
9155477,9149961,3
7829,9149961,1
40617299,19744,5
9133768,19744,5
9360664,19744,5
26482489,19744,5
9165025,19744,4
2358,19744,2
26482489,9135847,5
19999,9135847,1
9128768,9135847,3
27329661,9135847,1
19744,9135847,5
26482489,9167789,1
9165025,9167789,1
19645,9167789,1
19117,9167789,1
9128110,19910,3
9135043,19910,4
9314320,19910,1
9133768,19910,5
26482489,19910,1
9190454,19910,4
20280,19910,3
19645,19910,1
19999,19910,1
4099,19910,3
9383862,4253471,2
9166118,4253471,5
9361921,4253471,5
9153256,4253471,3
9128768,4253471,5
9162526,4253471,5
9167789,4253471,2
9166870,16710515,2
9133768,16710515,5
9190454,16710515,4
19645,16710515,1
9162526,16710515,1
9137052,16710515,3
19910,16710515,5
4253471,16710515,3
9314320,9127011,5
9156955,9127011,5
19333,9127011,1
3619,9127011,4
9128471,9127011,5
9154105,4446,5
16820347,4446,4
19645,4446,1
9227573,4446,5
4099,4446,1
4864,20388,5
9128110,20388,2
4862,20388,5
9314320,20388,3
9133768,20388,5
9190454,20388,5
19333,20388,5
20280,20388,5
9128006,20388,4
9154966,20388,5
19645,20388,5
19999,20388,5
9153256,20388,3
7832,20388,2
4099,20388,2
19117,20388,5
9127321,20388,2
27329661,20388,5
19910,20388,3
16820347,4413,2
2358,4413,1
9383862,9128553,1
9314320,9128553,5
9156955,9128553,5
9166240,9128553,5
9128591,9128553,3
9151823,9128553,3
4099,9128553,2
3619,9128553,2
9127011,9128553,3
9174138,12300,5
9128935,12300,5
9150504,12300,1
9202465,12300,4
4694735,12300,2
14214,12300,1
9137052,12300,1
4413,12300,1
40617210,7942850,1
9166240,7942850,1
9151713,7942850,1
9150504,7942850,5
4694735,7942850,5
9155477,7942850,2
9149961,7942850,1
12300,7942850,3
9150504,9150696,4
4694735,9150696,3
17307,9150696,1
9149961,9150696,1
12300,9150696,3
7942850,9150696,3
9152587,949,4
40617299,949,1
9386106,949,1
9134709,949,3
9128935,949,1
9151713,949,2
9162526,949,1
9151088,7163,5
9152587,7163,5
9386106,7163,1
9134709,7163,1
9128935,7163,1
40617210,7163,2
9227573,7163,3
17307,7163,1
9128110,7823,5
9202465,7823,1
2358,7823,1
17307,7823,1
7163,7823,5
4864,20672,5
40617299,20672,2
9135043,20672,5
9721,20672,1
20280,20672,1
9128006,20672,2
9128591,20672,3
19999,20672,2
9128768,20672,2
9128006,9201549,2
9128591,9201549,5
20672,9201549,4
7163,9152208,2
7823,9152208,4
4862,904,5
9133768,904,5
9190454,904,5
19333,904,3
20280,904,3
19645,904,3
9153256,904,5
7832,904,1
9162526,904,2
4099,904,2
19117,904,4
9127321,904,5
27329661,904,3
19910,904,1
16710515,904,2
20388,904,5
20672,904,1
4099,9128314,3
19744,9128314,1
