"node_1","node_2","edge"
3768300,3691357,5
3768300,15297,5
3691357,15297,5
3768300,13679,5
3691357,13679,5
15297,13679,5
3768300,15533,5
3691357,15533,5
15297,15533,5
13679,15533,5
3768300,3692604,5
3691357,3692604,5
15297,3692604,5
13679,3692604,5
15533,3692604,5
3768300,11300,3
15297,11300,5
13679,11300,1
3692604,11300,5
3768300,14259,5
3691357,14259,5
15297,14259,5
13679,14259,5
15533,14259,5
3692604,14259,5
11300,14259,1
3768300,259,5
15297,259,5
13679,259,5
3692604,259,5
14259,259,5
3768300,10435,5
3691357,10435,5
15297,10435,5
13679,10435,5
15533,10435,5
3692604,10435,5
14259,10435,5
259,10435,5
3768300,943,5
3691357,943,5
15297,943,5
13679,943,5
15533,943,5
3692604,943,5
14259,943,5
259,943,5
10435,943,5
3768300,2142,5
3691357,2142,5
15297,2142,5
13679,2142,5
15533,2142,5
3692604,2142,5
14259,2142,5
259,2142,1
10435,2142,5
943,2142,5
3692604,7886,4
3768300,6613,5
3691357,6613,2
15297,6613,5
13679,6613,5
15533,6613,5
3692604,6613,5
14259,6613,5
10435,6613,5
943,6613,5
2142,6613,5
3768300,5768,5
15297,5768,5
13679,5768,5
3692604,5768,5
14259,5768,4
10435,5768,1
3768300,207,5
15297,207,4
13679,207,3
3692604,207,5
3768300,18881,5
15297,18881,5
13679,18881,3
3692604,18881,5
3768300,7877,5
15297,7877,5
13679,7877,3
3692604,7877,5
3768300,7887,5
3691357,7887,5
15297,7887,5
13679,7887,5
15533,7887,5
3692604,7887,5
14259,7887,5
259,7887,2
10435,7887,5
943,7887,5
2142,7887,5
6613,7887,5
3693815,3693817,5
259,3693817,4
10435,3693817,5
943,3693817,5
18881,3693817,5
7887,3693817,1
3768300,1256,5
3691357,1256,5
15297,1256,5
13679,1256,5
15533,1256,5
3692604,1256,5
11300,1256,5
14259,1256,5
259,1256,5
10435,1256,5
943,1256,5
2142,1256,5
7886,1256,4
6613,1256,5
5768,1256,5
207,1256,5
18881,1256,5
7877,1256,5
7887,1256,5
3768300,2695,5
3691357,2695,5
15297,2695,5
13679,2695,5
15533,2695,5
3692604,2695,5
14259,2695,5
10435,2695,5
943,2695,5
2142,2695,5
6613,2695,2
7887,2695,5
3693817,2695,5
2594068,2695,5
1256,2695,5
3768300,3407,5
3691357,3407,5
15297,3407,5
13679,3407,5
15533,3407,5
3692604,3407,5
14259,3407,5
259,3407,5
10435,3407,5
943,3407,5
2142,3407,5
6613,3407,5
5768,3407,3
7887,3407,5
1256,3407,5
2695,3407,5
3768300,8920,5
3691357,8920,5
15297,8920,5
13679,8920,5
15533,8920,5
3692604,8920,5
14259,8920,5
259,8920,1
10435,8920,5
943,8920,5
2142,8920,5
6613,8920,5
7887,8920,5
3693817,8920,4
1256,8920,5
2695,8920,5
3407,8920,5
3768300,13848,5
3691357,13848,5
15297,13848,5
13679,13848,5
15533,13848,5
3692604,13848,5
11300,13848,5
14259,13848,5
259,13848,5
10435,13848,5
943,13848,5
2142,13848,5
7886,13848,5
6613,13848,5
5768,13848,5
207,13848,5
18881,13848,5
7877,13848,5
7887,13848,5
1256,13848,5
2695,13848,5
3407,13848,5
8920,13848,5
3768300,14250,5
3691357,14250,5
15297,14250,5
13679,14250,5
15533,14250,5
3692604,14250,5
11300,14250,1
14259,14250,5
259,14250,5
10435,14250,5
943,14250,5
2142,14250,5
6613,14250,5
5768,14250,1
7887,14250,5
3693817,14250,5
1256,14250,5
2695,14250,5
3407,14250,5
8920,14250,5
13848,14250,5
2594068,17304,3
3768300,5745,1
15297,5745,1
13679,5745,1
3692604,5745,5
3693817,5745,4
1256,5745,5
13848,5745,5
3768300,6428,5
3691357,6428,5
15297,6428,5
13679,6428,5
15533,6428,5
3692604,6428,5
14259,6428,5
259,6428,5
10435,6428,5
943,6428,5
2142,6428,5
6613,6428,5
5768,6428,3
18881,6428,3
7887,6428,5
3693817,6428,5
1256,6428,5
2695,6428,5
3407,6428,5
8920,6428,5
13848,6428,5
14250,6428,5
5745,6428,1
3768300,3691473,5
3691357,3691473,5
15297,3691473,5
13679,3691473,5
15533,3691473,5
3692604,3691473,5
14259,3691473,5
259,3691473,5
10435,3691473,5
943,3691473,5
2142,3691473,5
6613,3691473,5
7887,3691473,5
3693817,3691473,5
1256,3691473,5
2695,3691473,5
3407,3691473,5
8920,3691473,5
13848,3691473,5
14250,3691473,5
6428,3691473,5
3768300,900,5
3691357,900,5
15297,900,5
13679,900,5
15533,900,5
3692604,900,5
11300,900,1
14259,900,5
259,900,5
10435,900,5
943,900,5
2142,900,5
6613,900,5
5768,900,1
18881,900,1
7887,900,5
3693817,900,5
2594068,900,5
1256,900,5
2695,900,5
3407,900,5
8920,900,5
13848,900,5
14250,900,5
6428,900,5
3691473,900,5
3768300,2615,5
3691357,2615,5
15297,2615,5
13679,2615,5
15533,2615,5
3692604,2615,5
14259,2615,5
259,2615,5
10435,2615,5
943,2615,5
2142,2615,5
6613,2615,5
5768,2615,1
7887,2615,5
3693817,2615,5
2594068,2615,5
1256,2615,5
2695,2615,5
3407,2615,5
8920,2615,5
13848,2615,5
14250,2615,5
3748235,2615,2
6428,2615,5
3691473,2615,5
900,2615,5
