"node_1","node_2","edge"
14243,7160,5
14243,37089272,2
7160,37089272,5
14243,8184716,5
7160,7847,1
37089272,7847,4
14243,14238,5
8184716,14238,5
7847,8247091,2
8184716,7859,1
898,7056,5
7855,7056,5
37089272,1917,1
8184716,1917,5
2009,2695,2
8184716,2695,3
7056,2695,1
1917,19052,2
14237,8186099,3
898,8186099,3
7855,8186099,4
7056,8186099,5
7056,6647,5
8186099,6647,1
14237,8128715,5
2009,8128715,4
7855,8128715,5
7056,8128715,2
2695,8128715,4
8184716,7844,5
7056,7852,5
8128715,7852,5
2009,207,5
8184716,207,3
2695,207,4
8186099,207,1
8128715,207,5
8184716,1096,3
7056,1096,2
2695,1096,5
8186099,1096,5
6647,1096,5
8128715,1096,2
207,1096,5
7056,1905,4
2695,1905,5
6647,1905,5
207,1905,5
1096,1905,5
898,2533,2
2009,2533,5
8184716,2533,4
7056,2533,5
2695,2533,5
6647,2533,5
7852,2533,1
207,2533,5
1096,2533,5
1905,2533,5
898,20242,3
7855,20242,2
8184716,20242,4
7056,20242,5
8186099,20242,5
8128715,20242,2
37089272,860,2
8184716,860,5
1917,860,5
207,860,1
14243,34745210,3
7160,34745210,5
8184716,34745210,5
14238,34745210,5
8128715,34745210,5
7056,7864,5
2695,7864,5
8186099,7864,4
6647,7864,1
1096,7864,5
1905,7864,5
2533,7864,5
898,8196762,5
14243,19699602,5
18575,19699602,5
14243,8162063,5
8184716,8162063,5
14238,8162063,5
7859,8162063,4
1917,8162063,5
2695,8162063,4
7844,8162063,5
207,8162063,5
2533,8162063,5
20242,8162063,5
860,8162063,5
34745210,8162063,5
8247091,39430677,5
7056,39430677,5
898,7007,1
2009,7007,1
7056,7007,5
1905,7007,3
860,7007,5
7056,14355,5
19052,14355,5
8128715,14355,3
207,14355,1
1905,14355,4
7007,14355,5
898,1116,2
2009,1116,5
7855,1116,5
7056,1116,5
2695,1116,5
8128715,1116,5
7852,1116,5
207,1116,3
1096,1116,5
1905,1116,5
2533,1116,5
860,1116,1
7864,1116,2
7007,1116,1
2009,7856,3
7056,7856,3
8128715,7856,5
1116,7856,5
898,18880,1
2009,18880,2
7855,18880,2
7056,18880,5
8128715,18880,5
7852,18880,1
1905,18880,1
2533,18880,4
20242,18880,2
1116,18880,5
7856,18880,3
2009,5768,5
8184716,5768,3
2695,5768,3
207,5768,1
1096,5768,5
1905,5768,5
2533,5768,5
8162063,5768,5
1116,5768,5
2009,21530095,4
7056,21530095,1
8128715,21530095,5
7852,21530095,3
19699602,21530095,1
1116,21530095,5
7856,21530095,2
18880,21530095,1
7056,61441,1
1096,61441,2
1905,61441,4
2533,61441,3
898,8167742,1
8184716,8167742,5
7056,8167742,5
2695,8167742,5
6647,8167742,5
8128715,8167742,5
7852,8167742,3
207,8167742,5
1096,8167742,5
1905,8167742,5
2533,8167742,5
7864,8167742,5
8162063,8167742,5
1116,8167742,5
7856,8167742,1
18880,8167742,4
5768,8167742,5
61441,8167742,5
7160,8116738,2
37089272,8116738,4
14243,8160184,5
7160,8160184,5
37089272,8160184,5
7855,8160184,5
7847,8160184,5
7844,8160184,1
7848,8160184,1
860,8160184,1
34745210,8160184,4
8184716,566,5
7056,566,1
1905,566,3
860,566,2
8162063,566,5
7007,566,1
14355,566,4
7056,18793,5
1116,18793,3
898,3627,5
7855,3627,4
7056,3627,5
2695,3627,1
8186099,3627,5
6647,3627,3
1096,3627,5
1905,3627,5
2533,3627,5
20242,3627,5
7864,3627,3
14355,3627,1
1116,3627,4
18880,3627,3
8167742,3627,5
8160184,3627,4
14238,23414767,3
7859,23414767,5
2533,23414767,1
34745210,23414767,1
18575,23414767,1
21530095,23414767,5
8116738,23414767,3
2009,1355,5
8184716,1355,3
2695,1355,3
8186099,1355,2
8128715,1355,5
1096,1355,5
1905,1355,5
2533,1355,5
8162063,1355,4
14355,1355,1
1116,1355,3
5768,1355,2
8167742,1355,5
7160,7858,1
8184716,7858,2
8162063,7858,4
7056,913,2
2695,913,1
1096,913,5
1905,913,5
2533,913,5
8167742,913,5
898,257,1
2009,257,5
7855,257,5
7056,257,5
8128715,257,5
7852,257,3
207,257,1
2533,257,1
14355,257,2
1116,257,5
7856,257,5
18880,257,5
5768,257,1
21530095,257,5
18793,257,2
3627,257,5
1355,257,1
8160184,3797,5
14243,9290,1
37089272,9290,1
2009,9290,3
8184716,9290,5
14238,9290,5
1917,9290,1
207,9290,1
2533,9290,1
34745210,9290,2
8162063,9290,5
14355,9290,4
8167742,9290,1
8160184,9290,2
566,9290,4
14243,23413930,5
7160,23413930,2
37089272,23413930,4
8184716,23413930,5
14238,23413930,5
1917,23413930,5
7844,23413930,1
860,23413930,5
34745210,23413930,4
8162063,23413930,5
8167742,23413930,3
8160184,23413930,5
566,23413930,5
9290,23413930,5
37089272,8157973,3
2009,8157973,3
7855,8157973,3
8184716,8157973,5
2695,8157973,2
7852,8157973,1
207,8157973,5
1096,8157973,3
20242,8157973,5
19699602,8157973,3
8162063,8157973,5
1116,8157973,2
5768,8157973,4
21530095,8157973,4
8116738,8157973,5
18793,8157973,1
9290,8157973,5
23413930,8157973,4
2009,1174,3
8128715,1174,2
1096,1174,1
1905,1174,5
2533,1174,2
8167742,1174,5
7852,32372850,4
207,32372850,1
7007,32372850,3
1174,32372850,3
898,15898,5
2009,15898,4
7855,15898,5
29319503,15898,2
7056,15898,4
2695,15898,5
7852,15898,5
207,15898,1
7864,15898,1
8196762,15898,5
7007,15898,4
1116,15898,5
7856,15898,5
18880,15898,5
5768,15898,3
21530095,15898,5
18793,15898,5
3627,15898,1
1355,15898,3
257,15898,5
898,644,4
2009,644,2
7855,644,1
7056,644,5
8186099,644,2
