"node_1","node_2","edge"
6504,6871,2
7084,7688373,5
9574,20152,3
7515,20152,4
20152,8638,3
20152,7660634,5
7667249,10936540,5
20152,8331868,3
10936540,8331868,2
6504,7914,5
9574,7914,2
7084,7914,4
7517,7914,5
8640,7914,5
10936540,7914,1
9574,7681885,5
20152,7681885,4
7084,18889,5
7515,18889,5
7660634,18889,4
9574,7919,5
7515,7919,5
20152,7919,3
7660634,7919,5
7681885,7919,5
18889,7919,1
7667249,7927,5
7084,7927,5
10936540,7927,5
7914,7927,3
18889,7927,4
8640,7930,1
7914,7930,2
7927,7930,1
9574,904,5
7515,904,5
20152,904,3
8331868,904,5
7681885,904,5
7517,7917,5
8640,7917,5
8331868,7917,4
7914,7917,5
18889,7917,5
7927,7917,3
6504,8313,5
8640,8313,3
10936540,8313,5
7914,8313,5
18889,8313,3
7927,8313,4
7930,8313,1
7917,8313,5
6871,7931,5
7914,7931,5
7930,7931,5
7917,7931,1
8313,7931,5
7927,6791,1
7930,6791,4
7917,6791,4
20152,7677854,5
8638,7677854,5
7914,8723,1
7927,8723,5
9574,170434,3
20152,170434,4
7681885,170434,2
7919,170434,3
7919,6482,1
8331868,6788,3
7919,6788,1
8640,7678740,5
7914,7678740,3
7917,7678740,2
8313,7678740,1
7667249,226,1
8640,226,5
7914,226,5
18889,226,3
7927,226,3
7917,226,5
8313,226,5
7931,226,1
6791,226,1
8723,226,3
7678740,226,5
6504,7933,5
7667249,7933,5
7084,7933,5
7517,7933,5
10936540,7933,3
7914,7933,5
7927,7933,5
7930,7933,2
7917,7933,1
8313,7933,5
7931,7933,5
6791,7933,1
8723,7933,1
7678740,7933,1
226,7933,3
6504,8248,2
7667249,8248,5
7871,8248,5
7084,8248,3
7517,8248,5
7914,8248,5
7927,8248,4
7930,8248,1
7917,8248,3
8313,8248,1
7931,8248,1
6791,8248,2
8723,8248,3
226,8248,4
7933,8248,5
6504,8162063,5
7667249,8162063,5
7517,8162063,3
8313,8162063,2
7931,8162063,1
8723,8162063,4
6788,8162063,2
226,8162063,1
7933,8162063,5
8248,8162063,2
6504,2077,4
7667249,2077,5
6871,2077,1
7084,2077,2
8640,2077,5
10936540,2077,3
8331868,2077,1
7914,2077,5
18889,2077,3
7927,2077,3
7930,2077,2
7917,2077,5
8313,2077,5
