"node_1","node_2","edge"
2056,5855506,1
4871,5849688,5
5855506,4080,1
5855506,8204,3
2056,5881897,5
5855506,5881897,3
18894,5881897,5
4080,5881897,4
8204,5881897,4
2056,1396,5
5855506,1396,5
4080,1396,2
8204,1396,3
5881897,1396,5
5855506,5847985,2
5849688,5847985,5
4874,14135,5
4023,14135,5
18894,14135,2
4871,15097,2
2056,15097,2
5855506,15097,5
5849688,15097,5
5881897,15097,5
1396,15097,5
4080,6535118,1
8204,6535118,2
5881897,6535118,5
15097,6535118,5
4872,6256669,5
5849688,6256669,5
5847985,6256669,5
4450,6256669,1
4871,5877,5
2056,5877,5
18894,5877,5
5849688,5877,5
8205,5877,5
4080,5877,1
5881897,5877,5
1396,5877,1
5847985,5877,3
15097,5877,5
4871,5847712,5
18894,5847712,5
5849688,5847712,5
8205,5847712,2
5847985,5847712,5
15097,5847712,5
5877,5847712,5
5855506,14629,5
18894,14629,5
8204,14629,1
5881897,14629,5
1396,14629,5
14135,14629,1
15097,14629,2
5847712,14629,4
5855506,8211,5
18894,8211,5
8204,8211,1
5881897,8211,5
1396,8211,5
14629,8211,5
4872,12525,5
4871,12525,5
2056,12525,5
5855506,12525,5
3838,12525,2
8205,12525,1
4080,12525,5
8204,12525,5
1396,12525,5
5847985,12525,5
15097,12525,5
14629,12525,5
8211,12525,5
4871,5847748,2
5849688,5847748,3
5847985,5847748,1
6256669,5847748,5
5877,5847748,5
5847712,5847748,5
12525,5847748,5
4873,20254,3
14135,20254,5
5877,5856170,1
12525,5856170,5
2056,900,5
5855506,900,5
18894,900,5
4080,900,5
8204,900,5
5881897,900,5
1396,900,5
14135,900,5
15097,900,5
6535118,900,5
5877,900,5
5847712,900,4
14629,900,5
8211,900,5
12525,900,5
5856170,900,2
12525,5847773,5
20458,5885016,5
8205,5885016,1
1864,5885016,5
4080,5885016,5
8204,5885016,2
5881897,5885016,5
6535118,5885016,5
14629,5885016,2
8211,5885016,4
900,5885016,3
2056,2612,2
5855506,2612,1
5881897,2612,4
1396,2612,4
5877,2612,3
5847712,2612,2
12525,2612,5
900,2612,5
2056,15236,3
5881897,15236,2
1396,15236,1
5877,15236,4
5847712,15236,4
12525,15236,5
900,15236,3
