"node_1","node_2","edge"
10017915,8216,1
10022683,29412526,1
10022683,10008349,5
10022683,8215,5
10008349,8215,5
29412526,29415912,5
6950,6951,5
10017915,1396,5
8216,1396,3
10017915,8222,4
8216,8222,4
10008349,8222,4
8215,8222,2
4876,8222,3
8215,29415768,3
19588,18250,1
29415768,18250,5
6950,18997,5
6951,18997,1
10017915,7564,2
8216,7564,4
1396,7564,5
6950,23282235,1
1396,23282235,1
8222,23282235,1
8216,435,1
8216,1039,2
435,1039,3
4876,4877,5
8222,4877,3
10017915,18614,5
8216,18614,3
1396,18614,1
8222,18614,1
7564,18614,1
23282235,18614,5
4876,29412536,5
8222,29412536,2
4877,29412536,5
9201,29415741,5
28298335,29415741,5
19588,19414,5
19588,10009174,5
19414,10009174,5
10017915,8220,3
8216,8220,1
6950,8220,2
8222,8220,2
10017915,13669881,5
8216,13669881,3
1396,13669881,2
7564,13669881,1
435,13669881,2
1039,13669881,2
18614,13669881,5
8216,11349,2
10008349,11349,5
1396,11349,2
8222,11349,4
23282235,11349,3
18614,11349,1
8220,11349,1
10008349,10008471,5
29415768,10008471,2
11349,10008471,3
29412526,29414117,5
6951,29414117,5
10017915,5332,3
8216,5332,5
1396,5332,1
7564,5332,1
18614,5332,2
13669881,5332,2
19588,19697,5
19414,19697,5
10009174,19697,5
10017915,29412503,1
10008349,16657546,5
8222,16657546,1
11349,16657546,3
10008471,16657546,3
1811,16657546,5
10022683,29417305,4
10008349,29417305,5
8215,29417305,2
8222,29417305,4
23282235,29417305,4
18614,29417305,4
11349,29417305,5
10008471,29417305,4
16657546,29417305,5
10017915,29413926,5
1396,29413926,5
8222,29413926,1
7564,29413926,1
23282235,29413926,1
13669881,29413926,1
11349,29413926,1
1811,29413926,1
28298335,29412505,5
18250,29412505,1
10017915,95,4
8216,95,1
10008349,95,2
1039,95,1
18614,95,2
13669881,95,5
5332,95,2
1811,95,5
16657546,95,3
29413926,95,1
10022683,29415901,5
10008349,29415901,5
8215,29415901,5
8222,29415901,1
29417305,29415901,2
10017915,29415724,2
1396,29415724,5
7564,29415724,1
1811,29415724,4
16657546,29415724,2
29413926,29415724,3
95,29415724,2
10017915,1625,3
1396,1625,1
8222,1625,2
4877,1625,1
29412536,1625,1
13669881,1625,1
29413926,1625,1
29415901,1625,1
10017915,10008461,5
10022683,10008461,1
10008349,10008461,1
8215,10008461,1
8222,10008461,1
13669881,10008461,2
1811,10008461,1
29417305,10008461,1
29413926,10008461,4
95,10008461,1
29415901,10008461,2
1625,10008461,1
10008349,7837,5
16657546,7837,2
29417305,7837,3
