"node_1","node_2","edge"
9057,4881,2
5977,19523,5
19523,8478789,2
6946,9749955,2
4882,9707567,1
780,9707567,1
6946,11527,3
4882,9728902,1
5977,1702,4
8478789,1702,2
9718532,9787569,5
1702,5720,3
4881,9706087,1
11527,9706087,1
7760,9766739,3
5977,9690952,5
19523,9690952,1
9707567,9690952,2
40617659,9690952,2
8478789,9709414,1
1702,4265,5
5720,4265,5
6946,7990,3
9749955,7990,2
5720,7990,3
4265,7990,5
4882,40617660,2
19523,9710518,2
5720,9710518,1
9690952,9710518,1
28735618,9710518,3
4265,9710518,3
7990,9710518,3
5977,8849,5
19523,8849,3
9690952,8849,4
11527,8097,1
8081,8097,2
8081,9693379,1
1702,8096,1
4265,8096,1
7990,8096,2
1702,8082,1
5720,8082,1
28735618,8082,1
9709414,8082,1
4265,8082,1
7990,8082,2
9710518,8082,1
8097,8082,1
8096,8082,1
19523,7170,1
11527,7170,1
8081,7170,2
5720,7170,3
4265,7170,5
7990,7170,5
9710518,7170,2
8097,7170,3
8096,7170,2
8082,7170,1
1702,8094,2
28735618,8094,1
4265,8094,1
7990,8094,1
8096,8094,2
7170,8094,1
5977,9702104,1
40617659,9702104,1
8849,9702104,2
19523,6052,1
11527,6052,1
8081,6052,2
5720,6052,2
4265,6052,4
7990,6052,3
9710518,6052,2
8097,6052,2
8096,6052,1
8082,6052,1
7170,6052,5
8094,6052,1
19523,19740,1
8849,19740,1
40617662,19740,1
6052,19740,1
8081,9707137,1
9706087,9707137,1
8097,9707137,1
9691552,9707137,2
8082,9707137,1
7170,9707137,1
6052,9707137,2
19523,18926,2
9710518,18926,2
19740,18926,1
4881,32020832,1
9706087,32020832,3
8096,32020832,1
19740,6896,1
19523,8083,2
11527,8083,2
8081,8083,2
5720,8083,3
4265,8083,3
7990,8083,5
9710518,8083,2
8097,8083,3
8096,8083,2
8082,8083,3
7170,8083,5
8094,8083,2
6052,8083,5
9707137,8083,3
19523,21665,1
9707567,21665,3
9706087,9752600,2
8096,9752600,1
8082,9752600,1
8094,9752600,1
