"node_1","node_2","edge"
4886,6422546,5
4886,22202327,5
4886,6474974,5
6422546,6474974,5
22202327,6474974,5
4889,11632,5
4886,1776599,5
6422546,1776599,5
22202327,1776599,5
6474974,1776599,5
4889,20822,5
7744,20822,1
11632,20822,5
11632,20620,5
20822,20620,3
20620,16740512,1
4889,19321,5
11632,19321,5
20822,19321,5
20620,19321,3
4889,19710,5
11632,19710,5
20822,19710,5
20620,19710,5
16740512,19710,5
19321,19710,4
4889,6421111,5
11632,6421111,5
20822,6421111,4
20620,6421111,5
16740512,6421111,5
19321,6421111,1
19710,6421111,5
11632,19669,5
20822,19669,1
20620,19669,4
16740512,19669,5
19321,19669,1
19710,19669,5
6421111,19669,5
20822,19657,5
16740512,19657,2
19321,19657,3
19710,19657,5
19669,19657,5
11632,19712,5
19657,19712,5
11632,20580,2
20822,20580,1
19657,20580,5
19712,20580,5
11632,6420042,5
20822,6420042,5
19321,6420042,5
19710,6420042,3
19657,6420042,5
19712,6420042,5
20580,6420042,5
19924,20100,2
4886,19396,5
6422546,19396,5
22202327,19396,5
6474974,19396,5
1776599,19396,5
7744,8104,1
20822,8104,5
19321,8104,3
19712,8104,1
20580,8104,3
6420042,8104,1
7744,6425418,5
20822,6425418,1
20620,6425418,3
19710,6425418,2
8104,6425418,5
20822,19665,5
20620,19665,5
16740512,19665,5
19710,19665,5
6421111,19665,5
19669,19665,5
19657,19665,5
4889,898,5
11632,898,5
20822,898,4
20620,898,5
16740512,898,5
19710,898,5
6421111,898,5
19669,898,5
19657,898,5
19712,898,5
19665,898,5
11632,19642,5
20822,19642,5
20620,19642,5
16740512,19642,5
19321,19642,1
19710,19642,5
6421111,19642,5
19669,19642,5
19657,19642,5
6425418,19642,1
19665,19642,5
898,19642,5
20822,19627,4
20620,19627,1
16740512,19627,5
19321,19627,5
19710,19627,5
6421111,19627,5
19669,19627,5
19657,19627,5
19712,19627,5
6420042,19627,5
19665,19627,5
898,19627,5
19642,19627,5
19321,6420056,1
4117,6420056,1
6425418,6420056,4
4889,19952,3
11632,19952,5
20822,19952,3
20620,19952,5
16740512,19952,5
19710,19952,5
6421111,19952,5
19669,19952,5
19657,19952,2
19665,19952,5
898,19952,5
19642,19952,5
19627,19952,3
7744,20366,2
20822,20366,5
19321,20366,5
19657,20366,4
20580,20366,1
6420042,20366,5
8104,20366,5
6425418,20366,5
19627,20366,5
11632,6439596,5
20822,6439596,5
19321,6439596,5
19710,6439596,1
19657,6439596,5
6420042,6439596,5
8104,6439596,1
19627,6439596,5
20366,6439596,5
20822,6496712,5
16740512,6496712,1
19321,6496712,5
19657,6496712,5
6420042,6496712,5
8104,6496712,5
19627,6496712,5
20366,6496712,5
6439596,6496712,5
4886,6420655,5
6422546,6420655,5
22202327,6420655,5
6474974,6420655,5
1776599,6420655,5
19396,6420655,5
7744,6426929,5
20822,6426929,1
20620,6426929,2
19710,6426929,1
8104,6426929,2
6425418,6426929,5
20366,6426929,4
4117,4448,1
6425418,4448,2
6420056,4448,2
7744,8118,5
4117,8118,2
6425418,8118,5
6420056,8118,4
6426929,8118,5
4448,8118,2
4889,20252,1
11632,20252,1
19321,20252,3
20366,20252,1
7744,5883,5
20822,5883,4
16740512,5883,1
19321,5883,5
19657,5883,1
