"node_1","node_2","edge"
4893,8982978,5
4892,8982978,5
4892,170434,5
8982978,170434,5
6310,170434,5
4891,9021341,5
8982978,19117,3
170434,19117,5
1598,8012,5
170434,20626,5
1598,4773,5
8012,4773,5
207,6428,5
4891,8930445,5
9021341,8930445,5
4773,8930445,5
4893,19188,4
4892,19188,2
8982978,19188,5
170434,19188,5
8982978,19233,5
170434,19233,5
8930094,1926,5
207,8566,5
6428,8566,5
4891,18622,5
19117,8945712,2
20626,8945712,5
207,8945712,3
6428,8945712,5
2511,8945712,5
19233,8945712,5
8566,8945712,5
18622,8945712,2
8945712,9001739,5
8982978,8937570,5
170434,8937570,5
19117,8937570,2
20626,8937570,2
19233,8937570,5
8945712,8937570,5
18622,8153,1
8945712,8153,1
4893,8930928,5
8982978,8930928,5
19233,8930928,1
8945712,8930928,5
8937570,8930928,5
42510266,8959364,5
4773,8959364,2
170434,3741,5
8012,3741,1
668,3741,1
207,3741,5
6428,3741,5
2511,3741,1
8566,3741,5
18892,3741,2
4893,5321,1
6310,5321,4
19117,5321,1
668,5321,5
207,5321,5
6428,5321,5
2511,5321,5
8566,5321,5
18892,5321,5
8153,5321,5
3741,5321,5
4891,8970341,5
1598,8970341,1
18622,8970341,5
8945712,8970341,5
8153,8970341,4
9021341,9033570,5
4773,9033570,1
18622,9033570,2
8970341,9033570,5
668,2034,5
207,2034,5
6428,2034,5
2511,2034,5
8566,2034,5
18892,2034,1
8945712,2034,1
8153,2034,3
3741,2034,5
5321,2034,5
170434,20253,5
8945712,20253,2
5321,20253,3
4892,8934165,5
8012,8934165,5
6428,8934165,1
1926,8934165,5
18892,8934165,5
18622,8934165,1
566,8934165,1
5321,11951,5
207,1306,2
6428,1306,4
2511,1306,1
8566,1306,3
18622,1306,1
8945712,1306,1
8153,1306,1
3741,1306,3
5321,1306,5
2034,1306,5
668,4423,4
207,4423,5
6428,4423,5
2511,4423,4
8566,4423,5
18892,4423,4
8153,4423,2
3741,4423,5
5321,4423,5
2034,4423,5
1306,4423,5
8945712,18796,4
5321,18796,5
4423,18796,1
207,20839,1
6428,20839,5
19188,20839,1
2511,20839,1
8566,20839,4
18892,20839,1
3741,20839,5
5321,20839,5
2034,20839,4
1306,20839,2
4423,20839,5
668,9062548,1
2511,9062548,5
8945712,9062548,5
3741,9062548,5
2034,9062548,3
4423,9062548,1
8934165,8156,5
4893,8929516,1
8982978,8929516,5
170434,8929516,5
19188,8929516,4
19233,8929516,3
8945712,8929516,3
8937570,8929516,4
8930928,8929516,4
5321,8929516,5
20839,8929516,5
6310,298,4
668,298,3
207,298,5
6428,298,5
2511,298,5
8566,298,5
14490,298,2
18892,298,5
18622,298,1
8153,298,5
5321,298,5
2034,298,5
1306,298,5
4423,298,3
18796,298,3
8156,298,1
4893,9031035,4
8930094,9031035,5
19188,9031035,5
8153,9031035,3
5321,9031035,5
2034,9031035,4
1306,9031035,2
298,9031035,5
8930094,1063,3
207,1063,1
6428,1063,3
1926,1063,4
8566,1063,3
8945712,1063,1
8937570,1063,5
8930928,1063,1
5321,1063,1
298,1063,5
9031035,1063,4
207,8459,4
6428,8459,4
1926,8459,5
8566,8459,3
8945712,8459,5
566,8459,2
8937570,8459,5
3741,8459,1
8934165,8459,5
18796,8459,1
1063,8459,5
207,8976747,5
6428,8976747,5
19233,8976747,1
1926,8976747,5
8566,8976747,5
18892,8976747,3
8945712,8976747,4
566,8976747,4
8937570,8976747,5
3741,8976747,5
5321,8976747,4
2034,8976747,2
8934165,8976747,5
1306,8976747,2
4423,8976747,4
18796,8976747,2
1063,8976747,5
8459,8976747,5
4892,8929894,5
8982978,8929894,5
6310,8929894,1
170434,8929894,5
19117,8929894,5
20626,8929894,5
19188,8929894,5
19233,8929894,5
8937570,8929894,3
3741,8929894,5
5321,8929894,5
20253,8929894,5
4423,8929894,1
20839,8929894,3
8929516,8929894,5
1063,8929894,1
4893,3004,5
4892,3004,1
8982978,3004,5
6310,3004,5
19117,3004,5
20626,3004,2
19188,3004,5
19233,3004,5
8937570,3004,1
8930928,3004,5
5321,3004,5
20253,3004,3
20839,3004,5
8929516,3004,5
1063,3004,4
8929894,3004,2
8945712,8154,5
5321,8154,2
298,8154,1
8976747,8154,2
9021341,788,3
5321,788,2
8934165,788,1
298,788,3
4891,18702,4
668,18702,4
207,18702,5
6428,18702,5
2511,18702,2
8566,18702,4
18622,18702,2
8153,18702,3
3741,18702,5
5321,18702,5
8970341,18702,1
2034,18702,5
1306,18702,5
4423,18702,5
20839,18702,3
298,18702,5
9031035,18702,2
1063,18702,1
8976747,18702,1
8929894,18702,1
8934165,2081,3
298,2081,5
8459,2081,2
8976747,2081,1
9021341,8158,5
42510266,8158,3
4773,8158,5
8959364,8158,5
8970341,8158,5
9033570,8158,5
8930445,8930232,5
1598,9032893,5
42510266,9032893,3
8012,9032893,4
668,9032893,1
4773,9032893,5
6428,9032893,1
1926,9032893,5
566,9032893,3
8970341,9032893,5
9033570,9032893,5
11951,9032893,1
8976747,9032893,2
788,9032893,1
8158,9032893,5
4891,13122,5
3741,13122,2
5321,13122,5
2034,13122,2
4423,13122,5
20839,13122,2
298,13122,4
18702,13122,3
4893,2956,3
8982978,2956,5
6310,2956,1
170434,2956,5
19117,2956,2
20626,2956,1
19188,2956,5
19233,2956,5
8945712,2956,5
8937570,2956,2
8930928,2956,5
20253,2956,2
20839,2956,5
8929516,2956,5
8929894,2956,3
3004,2956,5
4891,1116,5
8930094,1116,5
668,1116,4
207,1116,5
6428,1116,5
2511,1116,3
8566,1116,5
18892,1116,5
18622,1116,2
3741,1116,5
5321,1116,5
2034,1116,5
1306,1116,4
4423,1116,5
18796,1116,1
20839,1116,5
298,1116,5
9031035,1116,1
8976747,1116,1
8154,1116,1
18702,1116,5
9032893,1116,2
13122,1116,5
170434,8522527,4
8945712,8522527,5
8937570,8522527,2
5321,8522527,4
298,8522527,5
9031035,8522527,3
1063,8522527,5
8459,8522527,2
8976747,8522527,1
8929894,8522527,2
4893,1233,3
4891,1233,3
8982978,1233,5
668,1233,1
207,1233,3
6428,1233,1
2511,1233,2
8566,1233,3
18892,1233,5
18622,1233,1
8153,1233,1
8930928,1233,5
3741,1233,5
5321,1233,5
2034,1233,5
8934165,1233,4
1306,1233,5
4423,1233,5
20839,1233,1
9062548,1233,1
8929516,1233,2
1063,1233,1
3004,1233,5
8154,1233,1
18702,1233,5
2081,1233,1
13122,1233,5
2956,1233,2
1116,1233,5
8522527,1233,1
9021341,8568,2
3741,8568,1
5321,8568,1
2034,8568,2
8934165,8568,3
298,8568,4
1063,8568,3
8459,8568,3
8976747,8568,3
18702,8568,1
13122,8568,2
1233,8568,4
207,435,4
6428,435,5
2511,435,1
8566,435,5
8945712,435,5
8937570,435,1
3741,435,5
5321,435,5
2034,435,4
8934165,435,3
1306,435,3
4423,435,5
20839,435,4
1063,435,3
8459,435,4
8976747,435,5
18702,435,5
1116,435,5
1233,435,2
207,18944,5
6428,18944,5
2511,18944,3
8566,18944,5
18892,18944,3
8945712,18944,5
3741,18944,5
5321,18944,5
2034,18944,5
1306,18944,3
4423,18944,5
20839,18944,4
9062548,18944,1
298,18944,5
9031035,18944,4
1063,18944,1
8459,18944,1
8976747,18944,4
8929894,18944,1
18702,18944,5
13122,18944,3
1116,18944,5
8522527,18944,1
1233,18944,5
435,18944,5
6310,9031124,3
170434,9031124,1
668,9031124,2
207,9031124,3
6428,9031124,4
2511,9031124,1
8566,9031124,3
18892,9031124,1
18622,9031124,1
8153,9031124,5
5321,9031124,5
2034,9031124,5
1306,9031124,5
18796,9031124,1
8156,9031124,1
298,9031124,5
9031035,9031124,5
1063,9031124,4
788,9031124,4
18702,9031124,3
2081,9031124,4
1116,9031124,3
8522527,9031124,4
8568,9031124,1
18944,9031124,5
5321,2774,5
2034,2774,3
8934165,2774,5
4423,2774,1
298,2774,5
9031035,2774,5
8976747,2774,3
18702,2774,2
2081,2774,1
9032893,2774,1
1116,2774,3
1233,2774,2
8568,2774,1
18944,2774,1
9031124,2774,5
4891,19021,5
668,19021,5
207,19021,5
6428,19021,5
2511,19021,5
8566,19021,2
14490,19021,2
18892,19021,1
18622,19021,5
8153,19021,5
3741,19021,5
5321,19021,5
8970341,19021,4
2034,19021,5
11951,19021,3
1306,19021,5
4423,19021,5
18796,19021,1
9062548,19021,5
298,19021,5
8154,19021,1
788,19021,3
18702,19021,5
2081,19021,5
13122,19021,5
1116,19021,5
8522527,19021,2
1233,19021,5
8568,19021,5
435,19021,5
18944,19021,5
9031124,19021,5
2774,19021,5
3741,15932,1
5321,15932,5
8934165,15932,2
4423,15932,4
20839,15932,5
9062548,15932,4
298,15932,3
9031035,15932,1
8459,15932,3
18702,15932,1
13122,15932,2
2956,15932,2
1116,15932,1
435,15932,1
18944,15932,3
2774,15932,1
19021,15932,2
6428,2147,1
8566,2147,1
8945712,2147,5
8937570,2147,4
8930928,2147,2
5321,2147,2
4423,2147,1
298,2147,3
1063,2147,5
8459,2147,5
8976747,2147,5
18702,2147,1
9032893,2147,1
2956,2147,1
8522527,2147,1
435,2147,2
15932,2147,1
4893,8929823,5
4892,8929823,3
8982978,8929823,5
6310,8929823,5
19117,8929823,5
20626,8929823,3
19188,8929823,5
19233,8929823,4
8937570,8929823,5
8930928,8929823,5
5321,8929823,5
20253,8929823,5
20839,8929823,5
8156,8929823,2
8929516,8929823,5
298,8929823,5
9031035,8929823,5
1063,8929823,5
3004,8929823,5
13122,8929823,1
2956,8929823,5
1116,8929823,5
8522527,8929823,5
18944,8929823,2
9031124,8929823,2
8945712,420791,5
9001739,420791,5
8930928,420791,3
9062548,420791,4
4773,3250,5
6428,3250,1
18622,3250,2
8945712,3250,1
8937570,3250,1
8970341,3250,5
9033570,3250,5
8934165,3250,5
298,3250,5
9031035,3250,1
1063,3250,3
8459,3250,5
8976747,3250,5
8158,3250,5
9032893,3250,5
9031124,3250,5
2774,3250,3
2147,3250,1
4893,8934596,1
6310,8934596,3
19117,8934596,5
20626,8934596,4
207,8934596,3
6428,8934596,2
19233,8934596,5
1926,8934596,5
8566,8934596,3
8945712,8934596,2
566,8934596,4
8937570,8934596,5
8930928,8934596,4
3741,8934596,4
20253,8934596,3
18796,8934596,1
8929516,8934596,2
298,8934596,1
1063,8934596,5
8459,8934596,5
8976747,8934596,5
8929894,8934596,5
3004,8934596,1
8154,8934596,1
2081,8934596,2
13122,8934596,1
8522527,8934596,4
8568,8934596,3
435,8934596,4
18944,8934596,2
2147,8934596,5
8929823,8934596,3
3250,8934596,5
207,17281,2
6428,17281,5
2511,17281,5
8566,17281,4
18622,17281,2
8945712,17281,5
9001739,17281,1
8937570,17281,3
8153,17281,5
8930928,17281,2
3741,17281,3
5321,17281,5
8970341,17281,2
2034,17281,5
1306,17281,5
4423,17281,1
18796,17281,1
9062548,17281,5
298,17281,5
9031035,17281,5
1063,17281,2
8459,17281,1
8154,17281,3
18702,17281,3
2081,17281,2
9032893,17281,2
13122,17281,2
8522527,17281,5
8568,17281,2
435,17281,1
18944,17281,5
9031124,17281,5
2774,17281,2
19021,17281,5
15932,17281,1
2147,17281,5
420791,17281,5
3250,17281,2
4893,8930796,5
4892,8930796,5
8982978,8930796,5
6310,8930796,5
19117,8930796,5
20626,8930796,5
19233,8930796,5
8566,8930796,1
8945712,8930796,1
8937570,8930796,5
8930928,8930796,5
5321,8930796,5
20253,8930796,5
18796,8930796,1
20839,8930796,5
8929516,8930796,5
1063,8930796,5
8459,8930796,5
8976747,8930796,5
3004,8930796,5
2956,8930796,5
1116,8930796,3
8522527,8930796,5
435,8930796,2
2147,8930796,2
8929823,8930796,5
3250,8930796,4
8934596,8930796,5
4892,896,5
42510266,896,5
8012,896,5
668,896,2
6428,896,1
1926,896,5
18892,896,5
566,896,1
8959364,896,5
8934165,896,5
8156,896,4
8459,896,1
8976747,896,5
788,896,1
18702,896,2
2081,896,2
8158,896,5
1233,896,1
8568,896,3
2774,896,5
15932,896,1
3250,896,5
4892,8992857,5
18892,8992857,3
5321,8992857,1
8934165,8992857,5
20839,8992857,5
8929516,8992857,2
298,8992857,5
9031035,8992857,5
1063,8992857,3
8459,8992857,1
8976747,8992857,4
3004,8992857,5
2081,8992857,1
2956,8992857,5
8522527,8992857,2
9031124,8992857,4
2774,8992857,5
15932,8992857,3
2147,8992857,2
8929823,8992857,3
3250,8992857,5
896,8992857,5
42510266,8930399,5
4773,8930399,1
8959364,8930399,5
8158,8930399,4
896,8930399,5
8982978,8935111,2
170434,8935111,5
19188,8935111,5
8945712,8935111,5
8937570,8935111,4
8930928,8935111,5
20839,8935111,5
8929516,8935111,1
8929894,8935111,2
3004,8935111,3
2956,8935111,5
2147,8935111,1
8929823,8935111,5
420791,8935111,1
8934596,8935111,1
17281,8935111,1
8930796,8935111,2
8992857,8935111,2
4891,8980774,5
1598,8980774,4
9021341,8980774,5
4773,8980774,5
8930445,8980774,5
18622,8980774,2
8970341,8980774,5
9033570,8980774,5
788,8980774,1
8158,8980774,5
8930232,8980774,3
3250,8980774,5
8930094,2695,2
298,2695,1
9032893,2695,3
4891,1753,5
668,1753,5
207,1753,3
6428,1753,2
2511,1753,5
8566,1753,2
14490,1753,1
18892,1753,5
18622,1753,3
3741,1753,5
5321,1753,5
2034,1753,5
1306,1753,5
4423,1753,5
20839,1753,3
9062548,1753,5
18702,1753,5
8930232,1753,5
13122,1753,5
1116,1753,5
1233,1753,5
8568,1753,2
435,1753,3
18944,1753,5
2774,1753,4
19021,1753,5
4891,18954,5
207,18954,4
6428,18954,2
8566,18954,3
18892,18954,5
3741,18954,5
5321,18954,5
2034,18954,5
1306,18954,3
4423,18954,5
20839,18954,4
298,18954,3
1063,18954,5
8459,18954,5
8976747,18954,5
18702,18954,5
13122,18954,5
1116,18954,5
8522527,18954,2
1233,18954,5
8568,18954,4
435,18954,3
18944,18954,5
2774,18954,2
19021,18954,5
15932,18954,3
8929823,18954,2
8934596,18954,4
17281,18954,1
1753,18954,5
9021341,5691153,5
42510266,5691153,3
8930445,5691153,1
18622,5691153,3
8153,5691153,2
8959364,5691153,3
8970341,5691153,5
9033570,5691153,5
2034,5691153,2
1306,5691153,4
298,5691153,5
9031035,5691153,5
1063,5691153,2
788,5691153,1
18702,5691153,1
8158,5691153,5
9032893,5691153,3
1116,5691153,1
1233,5691153,5
8568,5691153,4
9031124,5691153,5
3250,5691153,5
17281,5691153,1
896,5691153,5
8930399,5691153,3
8980774,5691153,5
1753,5691153,3
18954,5691153,2
9021341,8976104,3
2511,8976104,5
1926,8976104,2
8566,8976104,3
14490,8976104,1
18892,8976104,5
18622,8976104,2
8945712,8976104,3
8153,8976104,2
2034,8976104,3
1306,8976104,5
4423,8976104,1
8156,8976104,2
1063,8976104,5
8459,8976104,5
8154,8976104,2
788,8976104,2
2081,8976104,1
13122,8976104,5
1116,8976104,4
1233,8976104,5
8568,8976104,5
2147,8976104,1
17281,8976104,2
2695,8976104,2
1753,8976104,5
18954,8976104,5
5691153,8976104,5
668,1716309,2
207,1716309,1
6428,1716309,4
2511,1716309,4
1926,1716309,4
8566,1716309,2
18892,1716309,1
8153,1716309,3
8959364,1716309,1
3741,1716309,3
5321,1716309,5
8970341,1716309,2
2034,1716309,5
8934165,1716309,5
1306,1716309,5
4423,1716309,5
9062548,1716309,5
8459,1716309,1
8976747,1716309,5
18702,1716309,5
8158,1716309,1
9032893,1716309,1
1116,1716309,1
1233,1716309,5
8568,1716309,3
435,1716309,3
18944,1716309,1
2774,1716309,1
19021,1716309,5
3250,1716309,1
17281,1716309,2
896,1716309,5
8992857,1716309,1
8930399,1716309,1
8980774,1716309,1
1753,1716309,4
18954,1716309,1
5691153,1716309,3
8976104,1716309,5
668,8966392,5
6428,8966392,1
2511,8966392,5
1926,8966392,3
14490,8966392,4
18622,8966392,4
8153,8966392,5
3741,8966392,5
5321,8966392,5
2034,8966392,5
11951,8966392,5
1306,8966392,5
4423,8966392,5
18796,8966392,1
9062548,8966392,5
8929894,8966392,5
788,8966392,5
18702,8966392,5
2081,8966392,5
13122,8966392,5
1116,8966392,3
1233,8966392,5
8568,8966392,5
18944,8966392,2
2774,8966392,5
