"node_1","node_2","edge"
4895,1357,5
2906,259,5
2906,18609,5
259,18609,5
259,20602,5
18609,20602,5
4895,4894,5
1357,4894,5
2906,17294,3
1357,17294,4
18609,17294,5
4894,17294,1
2906,20208,5
259,20208,5
18609,20208,2
20602,20208,5
2906,20250,5
259,20250,5
18609,20250,3
20602,20250,5
20208,20250,5
20208,9685803,5
20250,9685803,5
20208,9717326,5
20250,9717326,5
9685803,9717326,5
4895,10514,5
1357,10514,1
4894,10514,5
4895,15393,5
1357,15393,5
4894,15393,5
10514,15393,5
4895,15661,5
1357,15661,5
4894,15661,5
10514,15661,5
15393,15661,5
2906,1715,5
259,1715,5
18609,1715,5
20602,1715,5
17294,1715,1
20208,1715,5
20250,1715,5
2906,396,5
259,396,5
18609,396,5
20602,396,5
20208,396,5
20250,396,5
1715,396,5
2906,1194,5
259,1194,5
18609,1194,5
20602,1194,5
17294,1194,1
20208,1194,5
20250,1194,3
1715,1194,5
396,1194,5
2906,2468,5
259,2468,5
18609,2468,5
20602,2468,5
1715,2468,5
396,2468,5
1194,2468,4
2906,3216,5
259,3216,5
18609,3216,5
20602,3216,5
20208,3216,5
20250,3216,5
1715,3216,5
396,3216,5
1194,3216,5
2468,3216,5
2906,5987,5
259,5987,5
18609,5987,5
20602,5987,5
17294,5987,2
20208,5987,5
20250,5987,5
1715,5987,5
396,5987,5
1194,5987,5
2468,5987,5
3216,5987,5
2906,8044,5
1357,8044,5
259,8044,5
18609,8044,5
17294,8044,5
20250,8044,3
1715,8044,5
396,8044,5
1194,8044,5
2468,8044,3
3216,8044,5
5987,8044,5
2906,8068,5
259,8068,5
18609,8068,5
20602,8068,1
20208,8068,3
20250,8068,5
1715,8068,5
396,8068,5
1194,8068,5
2468,8068,5
3216,8068,5
5987,8068,5
8044,8068,5
2906,8663,5
259,8663,5
18609,8663,5
20602,8663,1
1715,8663,5
396,8663,5
1194,8663,5
2468,8663,5
3216,8663,5
5987,8663,5
8044,8663,5
8068,8663,5
2906,8849,5
259,8849,5
18609,8849,5
20602,8849,5
17294,8849,1
20208,8849,5
20250,8849,5
1715,8849,5
396,8849,5
1194,8849,5
2468,8849,5
3216,8849,5
5987,8849,5
8044,8849,5
8068,8849,5
8663,8849,5
2906,10858,5
259,10858,5
18609,10858,5
20602,10858,5
20208,10858,2
20250,10858,5
1715,10858,5
396,10858,5
1194,10858,5
2468,10858,5
3216,10858,5
5987,10858,5
8044,10858,5
8068,10858,5
8663,10858,5
8849,10858,5
4895,40618009,5
4894,40618009,5
10514,40618009,5
15393,40618009,5
15661,40618009,5
20208,9688247,5
20250,9688247,5
9685803,9688247,5
9717326,9688247,5
2906,8378,5
259,8378,5
18609,8378,5
20208,8378,5
20250,8378,5
1715,8378,5
396,8378,5
1194,8378,5
3216,8378,5
5987,8378,5
8044,8378,5
8068,8378,5
8663,8378,5
8849,8378,5
10858,8378,5
9688247,8378,1
2906,9817664,5
259,9817664,5
20208,9817664,5
20250,9817664,5
9717326,9817664,2
1715,9817664,1
396,9817664,1
1194,9817664,2
3216,9817664,5
5987,9817664,5
8044,9817664,2
8068,9817664,5
8849,9817664,5
10858,9817664,3
9688247,9817664,5
8378,9817664,5
4895,7486,5
1357,7486,5
4894,7486,5
17294,7486,1
15393,7486,5
15661,7486,5
8044,7486,2
40618009,7486,5
4895,14459,5
1357,14459,5
4894,14459,5
15393,14459,5
15661,14459,5
40618009,14459,5
8378,14459,2
7486,14459,5
2906,4572,5
259,4572,5
18609,4572,5
20602,4572,4
20208,4572,5
20250,4572,3
1715,4572,5
396,4572,5
1194,4572,5
2468,4572,2
3216,4572,5
5987,4572,5
8044,4572,5
8068,4572,5
8663,4572,5
8849,4572,5
10858,4572,5
8378,4572,5
9817664,4572,3
4895,9719207,5
1357,9719207,5
4894,9719207,5
17294,9719207,5
10514,9719207,5
15393,9719207,5
15661,9719207,5
40618009,9719207,5
7486,9719207,5
14459,9719207,5
2906,1536,5
259,1536,5
18609,1536,5
20602,1536,2
20208,1536,4
20250,1536,5
1715,1536,5
396,1536,5
1194,1536,5
2468,1536,5
3216,1536,5
5987,1536,5
8044,1536,5
8068,1536,5
8663,1536,5
8849,1536,5
10858,1536,5
8378,1536,5
9817664,1536,5
4572,1536,5
20208,20154,5
20250,20154,5
9685803,20154,5
9717326,20154,5
9688247,20154,5
9817664,20154,3
2906,23440397,5
259,23440397,5
18609,23440397,5
20208,23440397,5
20250,23440397,5
1715,23440397,5
396,23440397,5
1194,23440397,5
3216,23440397,5
5987,23440397,5
8044,23440397,5
8068,23440397,5
8663,23440397,4
8849,23440397,5
10858,23440397,5
9688247,23440397,1
8378,23440397,5
9817664,23440397,5
4572,23440397,5
1536,23440397,5
2906,967,5
259,967,5
18609,967,5
20602,967,3
20208,967,5
20250,967,5
1715,967,5
396,967,3
1194,967,4
2468,967,1
3216,967,5
5987,967,5
8044,967,5
8068,967,5
8663,967,4
8849,967,5
10858,967,5
8378,967,5
9817664,967,5
4572,967,5
1536,967,5
23440397,967,5
4895,9685933,5
1357,9685933,5
4894,9685933,5
10514,9685933,5
15393,9685933,5
15661,9685933,5
14459,9685933,1
9719207,9685933,5
2906,4083,5
259,4083,5
18609,4083,4
20602,4083,5
20208,4083,5
20250,4083,5
1715,4083,3
396,4083,5
1194,4083,5
2468,4083,5
3216,4083,5
5987,4083,5
8044,4083,5
8068,4083,5
8663,4083,5
8849,4083,5
10858,4083,5
4572,4083,5
1536,4083,5
967,4083,5
4895,8632,5
4894,8632,5
10514,8632,5
15393,8632,5
15661,8632,4
40618009,8632,5
9719207,8632,5
9685933,8632,3
2906,23439609,1
1357,23439609,5
8044,23439609,5
7486,23439609,5
14459,23439609,3
4895,9686079,5
1357,9686079,3
4894,9686079,5
15393,9686079,5
15661,9686079,5
40618009,9686079,5
8378,9686079,4
7486,9686079,5
14459,9686079,5
9719207,9686079,5
23439609,9686079,1
20208,9685770,5
20250,9685770,5
9685803,9685770,5
9717326,9685770,5
9688247,9685770,5
9817664,9685770,4
20154,9685770,5
2906,541,5
259,541,5
18609,541,5
20602,541,3
20208,541,4
20250,541,5
1715,541,5
396,541,5
1194,541,4
2468,541,2
3216,541,5
5987,541,5
8044,541,5
8068,541,5
8663,541,4
8849,541,5
10858,541,5
8378,541,5
9817664,541,2
4572,541,5
1536,541,5
23440397,541,5
967,541,5
4083,541,5
2906,6458,5
259,6458,5
18609,6458,5
20602,6458,5
17294,6458,1
20208,6458,5
20250,6458,5
1715,6458,5
396,6458,5
1194,6458,5
2468,6458,5
3216,6458,5
5987,6458,5
8044,6458,5
8068,6458,5
8663,6458,5
8849,6458,5
10858,6458,5
8378,6458,5
9817664,6458,5
4572,6458,5
1536,6458,5
23440397,6458,5
967,6458,5
4083,6458,5
541,6458,5
2906,2151,5
259,2151,5
18609,2151,4
20602,2151,5
20208,2151,2
20250,2151,5
1715,2151,5
396,2151,4
1194,2151,5
2468,2151,5
3216,2151,5
5987,2151,5
8044,2151,3
8068,2151,5
8663,2151,5
8849,2151,5
10858,2151,5
4572,2151,5
1536,2151,5
967,2151,5
4083,2151,5
541,2151,5
6458,2151,5
20208,21445,5
20250,21445,3
9685803,21445,5
9717326,21445,5
9688247,21445,5
20154,21445,5
9685770,21445,5
1357,9686121,5
18609,9686121,2
4894,9686121,5
17294,9686121,5
8044,9686121,1
7486,9686121,5
9719207,9686121,5
9685933,9686121,5
2906,1336,5
259,1336,5
18609,1336,5
1715,1336,5
396,1336,5
2468,1336,2
3216,1336,4
5987,1336,5
8044,1336,3
8068,1336,5
8663,1336,4
8849,1336,5
10858,1336,5
8378,1336,3
1536,1336,3
23440397,1336,3
4083,1336,2
6458,1336,5
2906,12088,5
259,12088,5
18609,12088,5
20602,12088,5
20208,12088,3
20250,12088,4
1715,12088,5
396,12088,5
1194,12088,5
2468,12088,5
3216,12088,5
5987,12088,5
8044,12088,5
8068,12088,5
8663,12088,5
8849,12088,5
10858,12088,5
8378,12088,1
4572,12088,5
1536,12088,5
967,12088,5
4083,12088,5
541,12088,5
6458,12088,5
2151,12088,5
1336,12088,5
2906,2437,5
259,2437,5
18609,2437,5
20602,2437,5
20208,2437,2
20250,2437,4
1715,2437,5
396,2437,5
1194,2437,5
2468,2437,5
3216,2437,5
5987,2437,5
8044,2437,3
8068,2437,5
8663,2437,5
8849,2437,5
10858,2437,5
8378,2437,5
4572,2437,5
1536,2437,5
23440397,2437,5
967,2437,5
4083,2437,5
541,2437,5
6458,2437,5
2151,2437,5
1336,2437,1
12088,2437,5
2906,9721489,5
259,9721489,5
18609,9721489,5
20602,9721489,5
20208,9721489,4
20250,9721489,5
1715,9721489,4
396,9721489,4
1194,9721489,5
2468,9721489,5
3216,9721489,5
5987,9721489,5
8044,9721489,5
8068,9721489,5
8663,9721489,5
8849,9721489,5
10858,9721489,5
8378,9721489,3
4572,9721489,5
1536,9721489,5
23440397,9721489,3
967,9721489,5
4083,9721489,5
541,9721489,5
6458,9721489,5
2151,9721489,5
1336,9721489,2
12088,9721489,5
2437,9721489,5
20208,19658,5
20250,19658,5
9685803,19658,5
9717326,19658,5
9688247,19658,5
9817664,19658,1
20154,19658,5
9685770,19658,5
21445,19658,5
2906,958,5
259,958,5
18609,958,5
1715,958,3
396,958,2
1194,958,2
3216,958,5
5987,958,5
8044,958,5
8068,958,5
8663,958,5
8849,958,5
10858,958,5
8378,958,5
9817664,958,4
4572,958,5
1536,958,4
23440397,958,5
967,958,2
4083,958,5
541,958,1
6458,958,5
2151,958,2
12088,958,5
2437,958,4
9721489,958,5
2906,924954,5
259,924954,5
18609,924954,4
20208,924954,5
20250,924954,3
1715,924954,5
396,924954,4
1194,924954,4
3216,924954,5
5987,924954,5
8044,924954,5
