"node_1","node_2","edge"
592,5031574,5
4469891,4449,1
855,10856776,5
855,9062,5
1151621,6104,5
8661,4455566,3
4902,20537,5
4902,4737751,5
20537,4737751,5
592,944,2
855,944,2
14517,944,5
6104,944,5
4900,5399364,5
855,20828,5
10856776,20828,5
4737751,20828,2
5031574,3475,5
4443423,3475,2
6104,3475,2
944,3475,5
4681667,4453736,5
1244,4453736,2
4681667,4453774,5
4453736,4453774,3
5031574,2034,3
944,2034,2
592,4501811,3
5031574,4501811,5
4443423,4501811,5
944,4501811,5
3475,4501811,3
2034,4501811,2
4469891,4756,5
5031574,4756,5
4484931,4756,1
6104,4756,5
944,4756,5
3475,4756,2
4501811,4756,5
4469891,5041759,5
4449,5041759,3
4756,5041759,5
5041759,4836722,5
4902,4558714,5
4469891,4558714,1
4456296,4558714,5
20828,4558714,2
1244,4662510,3
4453736,4662510,5
855,898,5
4558714,898,1
6104,4474038,5
4902,4632749,5
4456296,4632749,5
4558714,4632749,5
4558714,11924,5
4902,20484,5
4737751,20484,3
4558714,20484,5
4632749,20484,5
5031574,6210,5
4453736,6210,5
4501811,6210,3
4662510,6210,5
4902,4529681,5
4558714,4529681,5
4632749,4529681,2
944,20505,1
4558714,20505,5
5031574,3816,1
4443423,3816,5
4558714,3816,5
4474038,3816,2
5031574,3180,2
944,3180,4
4632749,3180,1
944,19102,5
4558714,19102,5
4632749,19102,1
20484,19102,1
4902,1402555,5
4456296,1402555,5
4558714,1402555,5
4632749,1402555,5
20484,1402555,3
4529681,1402555,4
855,20682,3
4737751,20682,5
5041759,20682,1
4836722,20682,5
4558714,20682,5
4632749,20682,1
20484,20682,2
5031574,20158,5
5031574,20326,5
944,20326,5
4501811,20326,5
4756,20326,3
4558714,20326,5
5031574,1618,5
14517,1618,1
4443423,1618,5
6104,1618,3
944,1618,5
3475,1618,1
4501811,1618,5
4756,1618,4
20326,1618,2
855,20430,1
14517,20430,5
944,20430,5
4558714,20430,1
4632749,20430,1
1151621,6744,1
5031574,6744,5
4443423,6744,3
6104,6744,5
944,6744,5
3475,6744,2
4501811,6744,5
4756,6744,5
4558714,6744,5
19102,6744,1
20326,6744,4
1618,6744,5
4902,20588,5
20537,20588,5
4737751,20588,5
20828,20588,2
4558714,20588,5
4632749,20588,5
20484,20588,5
20682,20588,5
4632749,4590244,5
1402555,4590244,3
4902,4842990,5
4469891,4842990,1
855,4842990,5
10856776,4842990,5
4456296,4842990,3
20828,4842990,5
4558714,4842990,5
898,4842990,3
4632749,4842990,5
11924,4842990,5
20484,4842990,5
4529681,4842990,5
20505,4842990,5
3816,4842990,4
19102,4842990,5
1402555,4842990,5
20682,4842990,5
20326,4842990,5
20430,4842990,3
6744,4842990,5
20588,4842990,5
4469891,20101,1
855,20101,3
5041759,20101,3
4558714,20101,5
4842990,20101,4
4681667,5013857,5
4453736,5013857,5
4453774,5013857,5
5031574,2875,5
4443423,2875,5
4558714,2875,4
4474038,2875,1
4842990,2875,3
4682330,20315,4
20682,20315,2
14517,19539,1
944,19539,5
4558714,19539,4
20505,19539,2
20326,19539,1
4842990,19539,3
1244,4814428,1
944,19467,5
19539,19467,1
1244,4654369,5
6210,4654369,5
4529681,4758306,1
4902,4698917,2
4456296,4698917,2
4632749,4698917,3
4529681,4698917,5
1402555,4698917,1
4902,4543616,3
4469891,4543616,1
855,4543616,1
20537,4543616,2
4737751,4543616,5
944,4543616,5
5041759,4543616,3
4558714,4543616,5
4632749,4543616,3
20484,4543616,5
19102,4543616,1
1402555,4543616,1
20682,4543616,3
20588,4543616,5
4842990,4543616,5
14517,19812,5
944,19812,5
4632749,19812,1
19539,19812,5
19467,19812,1
5031574,20511,5
14517,20511,5
944,20511,3
4558714,20511,2
4842990,20511,3
19539,20511,1
14517,1434,1
944,1434,5
4756,1434,2
6744,1434,2
20315,1434,5
4902,4132,5
855,4132,5
10856776,4132,5
4558714,4132,5
4632749,4132,5
11924,4132,1
20484,4132,5
4529681,4132,5
1402555,4132,5
20682,4132,2
4842990,4132,5
4698917,4132,5
4543616,4132,5
14517,4879403,3
6104,4879403,5
3475,4879403,5
4453736,4879403,5
4756,4879403,5
4662510,4879403,2
3816,4879403,4
1618,4879403,5
6744,4879403,5
20101,4879403,5
2875,4879403,1
4870112,4879403,1
1434,4879403,1
592,40614397,1
4469891,40614397,3
14517,40614397,3
4443423,40614397,3
6104,40614397,5
944,40614397,5
3475,40614397,5
2034,40614397,1
4501811,40614397,5
4756,40614397,5
5041759,40614397,3
3180,40614397,1
19102,40614397,1
20326,40614397,5
1618,40614397,5
6744,40614397,5
19539,40614397,3
19467,40614397,4
4543616,40614397,1
19812,40614397,3
1434,40614397,5
4879403,40614397,5
4443423,14533,5
6104,14533,2
944,14533,5
3475,14533,1
2034,14533,5
4501811,14533,5
4756,14533,2
20505,14533,5
20326,14533,2
1618,14533,5
6744,14533,4
19539,14533,1
19467,14533,1
19812,14533,1
1434,14533,1
40614397,14533,5
4455566,4869789,5
3475,4869789,4
6744,4869789,2
19812,4869789,2
14533,4869789,1
8661,4451603,1
4453774,4451603,4
4814428,4451603,5
4558714,3094,3
4632749,3094,1
4590244,3094,3
4842990,3094,3
4682330,4438676,1
9062,20794,3
4456296,20794,5
4558714,20794,5
4632749,20794,5
4842990,20794,5
9062,19117,1
4456296,19117,2
944,19117,5
4558714,19117,5
4632749,19117,5
1402555,19117,2
4842990,19117,5
19539,19117,1
19812,19117,1
40614397,19117,1
4469522,4122,5
6104,4122,5
4453774,4122,1
4756,4122,1
4474038,4122,5
4879403,4122,5
40614397,4122,5
4869789,4122,5
4469522,4681693,5
6104,4681693,5
4453774,4681693,1
4756,4681693,5
4879403,4681693,5
40614397,4681693,5
4122,4681693,5
4443423,1145,5
6104,1145,2
944,1145,5
4501811,1145,5
1618,1145,5
6744,1145,3
19467,1145,1
4543616,1145,1
19812,1145,2
1434,1145,1
40614397,1145,5
14533,1145,5
944,20700,5
4558714,20700,5
4632749,20700,5
1402555,20700,1
4590244,20700,5
4842990,20700,5
4870112,20700,5
4698917,20700,5
40614397,20700,1
4902,1059481,5
20537,1059481,5
4737751,1059481,5
4558714,1059481,5
898,1059481,1
4632749,1059481,3
11924,1059481,4
20484,1059481,5
19102,1059481,3
20682,1059481,5
20588,1059481,5
4842990,1059481,5
20101,1059481,1
4543616,1059481,5
20511,1059481,2
19117,1059481,1
20700,1059481,1
4681667,4462711,5
5013857,4462711,5
4122,4462711,1
4122,4480758,2
4462711,4480758,5
4469891,5008611,5
5041759,5008611,5
4122,5008611,2
4462711,5008611,5
4480758,5008611,5
944,19124,2
4558714,19124,5
4842990,19124,5
14533,19124,1
1059481,19124,3
4558714,19165,4
4632749,19165,3
4842990,19165,3
5031574,2678,4
944,2678,3
4558714,2678,5
20484,2678,1
4842990,2678,5
4132,2678,5
40614397,2678,1
855,10136,1
10856776,10136,2
9062,10136,5
944,10136,1
20794,10136,1
4902,20091,5
855,20091,5
9062,20091,5
944,20091,5
4558714,20091,5
898,20091,3
4632749,20091,5
11924,20091,1
20484,20091,5
20505,20091,1
19102,20091,3
1402555,20091,2
20682,20091,3
6744,20091,1
20588,20091,4
4842990,20091,5
20101,20091,2
19539,20091,1
4543616,20091,5
20511,20091,1
4132,20091,4
20794,20091,4
19117,20091,5
20700,20091,3
1059481,20091,5
2678,20091,4
10136,20091,5
20682,5007435,2
6104,445,1
20315,445,1
4879403,445,5
40614397,445,5
4681693,445,3
5007435,445,3
592,773,1
5031574,773,5
6104,773,5
944,773,5
3475,773,2
4501811,773,5
4756,773,5
5041759,773,1
4558714,773,2
4474038,773,5
6210,773,5
20326,773,4
1618,773,5
6744,773,5
4842990,773,2
19467,773,1
4879403,773,5
40614397,773,5
14533,773,2
4681693,773,5
1145,773,2
2678,773,2
445,773,5
5031574,2104,5
6104,2104,5
944,2104,5
3475,2104,1
4501811,2104,5
4756,2104,5
4558714,2104,5
4474038,2104,5
6210,2104,5
20326,2104,4
1618,2104,4
6744,2104,5
4842990,2104,5
19467,2104,1
4879403,2104,5
40614397,2104,5
14533,2104,1
4681693,2104,3
1145,2104,2
2678,2104,2
20091,2104,1
445,2104,5
773,2104,5
6104,4136,5
944,4136,5
3475,4136,2
4501811,4136,2
4756,4136,2
6210,4136,3
20505,4136,2
3180,4136,2
19102,4136,1
20326,4136,1
1618,4136,4
6744,4136,5
19467,4136,5
19812,4136,2
1434,4136,5
40614397,4136,5
14533,4136,5
4869789,4136,2
1145,4136,5
2678,4136,2
445,4136,5
773,4136,5
2104,4136,5
4681667,8458,5
5031574,8458,5
4443423,8458,5
6104,8458,1
944,8458,5
4501811,8458,5
4756,8458,1
4474038,8458,5
1618,8458,3
6744,8458,2
5013857,8458,5
40614397,8458,5
14533,8458,1
1145,8458,2
773,8458,5
2104,8458,5
4136,8458,5
592,4443791,3
4632749,4443791,5
1402555,4443791,3
5007435,4443791,5
5031574,4020,5
944,4020,2
4474038,4020,2
4879403,4020,2
40614397,4020,3
773,4020,1
2104,4020,1
4136,4020,3
4558714,19152,5
4632749,19152,1
4842990,19152,5
20091,19152,5
773,19152,1
2104,19152,1
4136,19152,5
4682330,20317,5
20315,20317,5
1434,20317,5
5031574,2710,5
6104,2710,1
944,2710,5
4453736,2710,1
4501811,2710,5
4756,2710,2
4662510,2710,2
4474038,2710,3
1618,2710,1
6744,2710,4
4814428,2710,3
4879403,2710,3
40614397,2710,5
14533,2710,1
4869789,2710,5
1145,2710,2
773,2710,5
2104,2710,5
4136,2710,4
8458,2710,2
4469891,10411,5
4756,10411,5
5041759,10411,5
20484,10411,2
20101,10411,5
4543616,10411,3
1059481,10411,5
20091,10411,2
14517,4459035,2
4443423,4459035,5
6104,4459035,5
944,4459035,5
3475,4459035,5
2034,4459035,1
4501811,4459035,5
4756,4459035,5
20505,4459035,2
3816,4459035,1
3180,4459035,2
19102,4459035,2
20326,4459035,4
1618,4459035,5
6744,4459035,5
19539,4459035,5
19467,4459035,5
4543616,4459035,2
19812,4459035,5
1434,4459035,5
40614397,4459035,5
14533,4459035,5
19117,4459035,3
1145,4459035,5
20700,4459035,2
19124,4459035,3
2678,4459035,2
20091,4459035,2
773,4459035,5
2104,4459035,5
4136,4459035,5
8458,4459035,5
2710,4459035,5
4469891,4513304,2
20828,4513304,5
20505,4513304,5
20430,4513304,2
20101,4513304,5
1059481,4513304,5
10411,4513304,3
5031574,145,5
6104,145,1
4501811,145,1
4756,145,1
4836722,145,1
4558714,145,5
4632749,145,1
4842990,145,5
4879403,145,5
40614397,145,4
14533,145,3
4681693,145,1
20091,145,1
773,145,1
2104,145,2
4902,1198,5
4501811,1198,1
5041759,1198,3
4836722,1198,5
4558714,1198,5
4632749,1198,5
11924,1198,1
20484,1198,5
4529681,1198,1
20505,1198,5
19102,1198,1
1402555,1198,5
20682,1198,5
20326,1198,2
20588,1198,5
4842990,1198,5
4543616,1198,5
4132,1198,5
14533,1198,5
20794,1198,3
19117,1198,2
20700,1198,3
1059481,1198,5
19124,1198,1
2678,1198,1
20091,1198,5
2104,1198,1
19152,1198,2
145,1198,5
944,7173,1
5041759,7173,1
4558714,7173,5
4632749,7173,5
4842990,7173,5
4879403,7173,5
40614397,7173,3
14533,7173,1
20091,7173,1
1198,7173,5
4902,19123,5
855,19123,5
10856776,19123,2
9062,19123,5
20828,19123,2
4558714,19123,5
898,19123,2
4632749,19123,5
11924,19123,5
20484,19123,5
4529681,19123,5
20505,19123,3
19102,19123,5
1402555,19123,5
20682,19123,5
20326,19123,1
20430,19123,1
6744,19123,1
20588,19123,5
4842990,19123,5
20101,19123,3
19539,19123,1
4543616,19123,5
20511,19123,2
4132,19123,5
20794,19123,5
19117,19123,5
20700,19123,5
1059481,19123,5
19124,19123,3
19165,19123,1
2678,19123,5
20091,19123,5
2104,19123,1
19152,19123,5
10411,19123,4
4513304,19123,5
145,19123,3
1198,19123,5
7173,19123,3
5031574,19725,5
944,19725,4
4558714,19725,5
4632749,19725,3
6744,19725,1
4842990,19725,5
4869789,19725,5
20091,19725,3
4459035,19725,1
1198,19725,2
19123,19725,4
5031574,19865,5
944,19865,5
4558714,19865,5
4632749,19865,3
20326,19865,1
6744,19865,2
4842990,19865,5
40614397,19865,1
20091,19865,5
773,19865,3
2104,19865,3
4136,19865,3
4459035,19865,3
1198,19865,4
19123,19865,5
4902,19925,5
4484931,19925,1
6104,19925,5
4456296,19925,2
4453774,19925,1
4756,19925,5
4558714,19925,5
4632749,19925,5
11924,19925,1
20484,19925,5
4529681,19925,2
20505,19925,1
3816,19925,3
19102,19925,2
1402555,19925,5
20682,19925,2
20326,19925,1
6744,19925,5
20588,19925,5
4842990,19925,5
20101,19925,3
2875,19925,1
4543616,19925,5
4132,19925,5
4879403,19925,5
40614397,19925,5
20794,19925,5
19117,19925,5
4122,19925,5
4681693,19925,5
20700,19925,5
1059481,19925,5
2678,19925,1
20091,19925,5
445,19925,5
773,19925,5
2104,19925,5
19152,19925,1
145,19925,5
1198,19925,5
7173,19925,5
19123,19925,5
19725,19925,2
19865,19925,3
4902,2584163,3
1244,2584163,1
4501811,2584163,1
5041759,2584163,2
4836722,2584163,5
4558714,2584163,5
4632749,2584163,5
20484,2584163,5
20505,2584163,4
1402555,2584163,5
20682,2584163,5
20326,2584163,1
6744,2584163,1
20588,2584163,5
4842990,2584163,5
4543616,2584163,5
4132,2584163,5
4879403,2584163,5
40614397,2584163,3
14533,2584163,5
4869789,2584163,1
20794,2584163,1
4681693,2584163,2
20700,2584163,2
1059481,2584163,4
20091,2584163,5
2104,2584163,1
145,2584163,5
1198,2584163,5
7173,2584163,5
19123,2584163,5
19725,2584163,1
19865,2584163,2
19925,2584163,5
4902,4456425,2
6104,4456425,5
4756,4456425,5
4558714,4456425,5
4632749,4456425,5
20484,4456425,5
3816,4456425,2
1402555,4456425,4
6744,4456425,5
20588,4456425,5
4842990,4456425,5
20101,4456425,3
4543616,4456425,3
4132,4456425,4
4879403,4456425,5
40614397,4456425,5
4869789,4456425,1
20794,4456425,3
4122,4456425,5
4681693,4456425,5
20700,4456425,5
1059481,4456425,4
2678,4456425,4
20091,4456425,5
445,4456425,1
773,4456425,5
2104,4456425,5
19152,4456425,1
145,4456425,5
1198,4456425,5
7173,4456425,5
19123,4456425,5
19725,4456425,2
19865,4456425,2
19925,4456425,5
2584163,4456425,5
4902,4664516,5
4469891,4664516,2
6104,4664516,4
4456296,4664516,5
20828,4664516,2
4558714,4664516,5
898,4664516,1
4632749,4664516,5
11924,4664516,5
20484,4664516,5
4529681,4664516,5
20505,4664516,5
3816,4664516,5
19102,4664516,5
1402555,4664516,5
20682,4664516,5
20326,4664516,5
20430,4664516,1
6744,4664516,5
20588,4664516,5
4842990,4664516,5
20101,4664516,5
2875,4664516,4
19539,4664516,4
4543616,4664516,5
20511,4664516,3
4132,4664516,5
4879403,4664516,5
40614397,4664516,3
3094,4664516,4
20794,4664516,5
19117,4664516,5
4681693,4664516,5
20700,4664516,5
1059481,4664516,5
19124,4664516,5
19165,4664516,3
2678,4664516,5
20091,4664516,5
773,4664516,4
2104,4664516,5
19152,4664516,5
10411,4664516,3
145,4664516,5
1198,4664516,5
7173,4664516,5
19123,4664516,5
19725,4664516,5
19865,4664516,5
19925,4664516,5
2584163,4664516,5
4456425,4664516,5
4902,4840827,5
6104,4840827,2
4456296,4840827,3
944,4840827,5
20828,4840827,4
4501811,4840827,1
4558714,4840827,5
4632749,4840827,5
11924,4840827,5
20484,4840827,5
4529681,4840827,5
20505,4840827,5
3816,4840827,5
19102,4840827,5
1402555,4840827,5
20682,4840827,5
20326,4840827,5
1618,4840827,3
20430,4840827,2
6744,4840827,5
20588,4840827,5
4842990,4840827,5
20101,4840827,3
2875,4840827,3
19539,4840827,5
19467,4840827,1
4543616,4840827,5
19812,4840827,1
20511,4840827,3
1434,4840827,1
4132,4840827,5
40614397,4840827,5
14533,4840827,5
3094,4840827,3
20794,4840827,5
19117,4840827,5
1145,4840827,5
20700,4840827,5
1059481,4840827,5
19124,4840827,5
19165,4840827,2
2678,4840827,5
20091,4840827,5
773,4840827,5
2104,4840827,5
4136,4840827,5
8458,4840827,3
19152,4840827,5
2710,4840827,1
4459035,4840827,5
145,4840827,5
1198,4840827,5
7173,4840827,5
19123,4840827,5
19725,4840827,5
19865,4840827,5
19925,4840827,5
2584163,4840827,5
4456425,4840827,5
4664516,4840827,5
592,4499146,1
2034,4499146,1
3816,4499146,4
19102,4499146,1
20158,4499146,1
20326,4499146,5
2875,4499146,3
19539,4499146,5
14533,4499146,5
20317,4499146,3
19865,4499146,1
14517,14921,5
944,14921,5
3816,14921,1
19102,14921,1
1618,14921,1
20430,14921,5
19539,14921,2
19812,14921,5
20511,14921,5
1434,14921,1
4902,4481000,3
4632749,4481000,1
1402555,4481000,3
4590244,4481000,2
4132,4481000,2
4900,4479672,5
5399364,4479672,5
4682330,4479672,5
14517,673,1
6104,673,5
3475,673,5
4453736,673,5
4756,673,5
4662510,673,5
6210,673,1
3816,673,2
1618,673,3
6744,673,5
20101,673,4
2875,673,1
4879403,673,5
40614397,673,5
4122,673,5
4681693,673,5
445,673,5
773,673,5
2104,673,5
4020,673,1
2710,673,3
145,673,5
7173,673,4
19925,673,5
2584163,673,5
4456425,673,5
4664516,673,5
592,877,1
4681667,877,4
14517,877,3
6104,877,5
944,877,5
3475,877,5
4453736,877,5
4501811,877,1
4756,877,5
4662510,877,5
20326,877,2
1618,877,5
6744,877,5
20101,877,2
5013857,877,3
19467,877,1
1434,877,4
4879403,877,5
40614397,877,5
14533,877,3
4122,877,5
4681693,877,5
1145,877,3
445,877,5
773,877,5
2104,877,5
4136,877,5
8458,877,5
4020,877,3
2710,877,4
4459035,877,5
145,877,5
7173,877,5
19925,877,5
2584163,877,5
4456425,877,5
4664516,877,5
4840827,877,3
673,877,5
14517,1196,3
4484931,1196,5
6104,1196,5
3475,1196,5
4453736,1196,2
4756,1196,5
3816,1196,3
1618,1196,5
6744,1196,5
20101,1196,5
2875,1196,1
4879403,1196,5
40614397,1196,5
4122,1196,5
4681693,1196,5
445,1196,5
773,1196,5
2104,1196,5
4020,1196,2
2710,1196,2
145,1196,5
7173,1196,5
19925,1196,5
2584163,1196,5
4456425,1196,5
4664516,1196,5
673,1196,5
877,1196,5
14517,29950380,2
6104,29950380,5
3475,29950380,5
4453736,29950380,2
4756,29950380,5
3816,29950380,3
1618,29950380,5
6744,29950380,5
20101,29950380,5
2875,29950380,1
4879403,29950380,5
40614397,29950380,5
4122,29950380,5
4681693,29950380,5
445,29950380,5
773,29950380,5
2104,29950380,5
4020,29950380,2
2710,29950380,3
10411,29950380,1
145,29950380,5
7173,29950380,5
19925,29950380,5
2584163,29950380,5
4456425,29950380,5
4664516,29950380,5
673,29950380,5
877,29950380,5
1196,29950380,5
4443423,28739562,1
4453736,28739562,5
4662510,28739562,4
4869789,28739562,5
773,28739562,3
2104,28739562,2
4136,28739562,5
8458,28739562,5
4020,28739562,1
4499146,28739562,1
5031574,2566,4
4737751,2566,5
4453774,2566,5
4558714,2566,5
4632749,2566,5
20484,2566,5
20588,2566,5
4842990,2566,5
5013857,2566,1
4543616,2566,4
1059481,2566,5
20091,2566,5
10411,2566,5
1198,2566,5
19123,2566,5
19925,2566,5
2584163,2566,5
4456425,2566,4
4664516,2566,5
4840827,2566,5
855,1828041,5
10856776,1828041,5
20828,1828041,2
20484,1828041,2
20682,1828041,1
20430,1828041,1
4842990,1828041,3
4543616,1828041,2
20511,1828041,1
1059481,1828041,5
20091,1828041,3
5007435,1828041,5
4443791,1828041,3
10411,1828041,5
4513304,1828041,3
19123,1828041,4
2566,1828041,5
5031574,3790,5
4443423,3790,4
6104,3790,5
944,3790,5
3475,3790,2
4501811,3790,5
4756,3790,3
4474038,3790,5
6210,3790,1
20326,3790,1
1618,3790,5
6744,3790,5
19812,3790,1
4879403,3790,5
40614397,3790,5
14533,3790,3
4869789,3790,4
1145,3790,3
773,3790,5
2104,3790,5
4136,3790,5
8458,3790,3
2710,3790,4
4459035,3790,5
19865,3790,1
4840827,3790,2
673,3790,3
877,3790,5
1196,3790,5
29950380,3790,5
855,4859158,5
10856776,4859158,5
4558714,4859158,5
898,4859158,1
4632749,4859158,2
11924,4859158,2
20484,4859158,5
19102,4859158,1
20682,4859158,1
4842990,4859158,5
20101,4859158,1
4543616,4859158,5
4132,4859158,1
1059481,4859158,5
19124,4859158,3
20091,4859158,5
10411,4859158,5
4513304,4859158,2
1198,4859158,3
19123,4859158,5
19925,4859158,3
2584163,4859158,2
4456425,4859158,2
4664516,4859158,5
4840827,4859158,5
2566,4859158,5
1828041,4859158,5
20828,4486239,5
20682,4486239,1
5007435,4486239,5
445,4486239,5
4443791,4486239,5
1828041,4486239,5
5031574,259,4
6104,259,5
944,259,5
3475,259,1
4501811,259,2
4756,259,3
4474038,259,3
20326,259,2
1618,259,4
6744,259,5
20315,259,1
19467,259,1
1434,259,3
4879403,259,5
40614397,259,5
14533,259,3
1145,259,2
773,259,5
2104,259,5
4136,259,5
8458,259,2
4020,259,2
2710,259,3
4459035,259,5
4840827,259,2
673,259,3
877,259,5
1196,259,5
29950380,259,5
3790,259,4
5031574,1885,5
6104,1885,5
944,1885,5
3475,1885,5
4501811,1885,5
4756,1885,5
4558714,1885,1
4474038,1885,5
4632749,1885,5
3180,1885,1
1402555,1885,2
20326,1885,5
1618,1885,5
6744,1885,5
19539,1885,1
19467,1885,2
19812,1885,2
1434,1885,3
4879403,1885,5
40614397,1885,5
14533,1885,5
