"node_1","node_2","edge"
9538400,14644,5
9538400,20042,2
14644,20725,5
20042,20725,5
4908,18923239,5
4909,18923239,5
14644,4350,5
20725,4350,5
9538400,20090,5
14644,20090,5
20725,20090,5
4350,20090,5
9538400,585385,2
14644,585385,5
20725,585385,5
4350,585385,5
20090,585385,5
20042,4157,5
9538400,217849,4
14644,217849,5
20725,217849,5
4350,217849,5
20090,217849,5
585385,217849,5
14644,3728,4
20090,3728,5
585385,3728,1
4157,3728,3
217849,3728,3
9538400,1835,5
14644,1835,5
20725,1835,5
4350,1835,5
20090,1835,5
585385,1835,5
217849,1835,5
3728,1835,5
14644,898,5
20042,898,3
4350,898,5
20090,898,5
585385,898,5
217849,898,5
1835,898,5
18923239,20939,5
4350,20939,5
898,20939,5
1835,3096,3
9538400,217833,5
14644,217833,5
20725,217833,5
4350,217833,5
20090,217833,5
585385,217833,5
217849,217833,5
3728,217833,5
1835,217833,5
898,217833,5
3096,217833,3
20042,21140,2
20725,21140,5
644,19166,3
14644,19166,5
4350,19166,2
20090,19166,5
585385,19166,1
217849,19166,3
1835,19166,5
20939,19166,4
217833,19166,5
14644,20591,5
4350,20591,5
20090,20591,5
585385,20591,5
217849,20591,5
1835,20591,5
898,20591,5
20939,20591,5
217833,20591,5
4350,11035301,5
898,11035301,5
20939,11035301,5
19166,11035301,5
20591,11035301,5
14644,2566,5
20042,2566,5
20725,2566,5
4350,2566,5
20090,2566,5
585385,2566,5
217849,2566,5
1835,2566,5
898,2566,5
20939,2566,5
217833,2566,5
21140,2566,5
19166,2566,4
20591,2566,5
11035301,2566,5
4157,1830,5
3728,1830,4
4908,19692,5
4909,19692,2
9538400,19692,1
20042,19692,2
14644,4074,2
20090,4074,3
217849,4074,1
1835,4074,5
217833,4074,5
1830,4074,5
217833,20256,1
14644,20002,5
20042,20002,5
20725,20002,2
4350,20002,1
20090,20002,5
585385,20002,5
217849,20002,5
1835,20002,5
217833,20002,5
9538400,20665,5
14644,20665,5
20725,20665,5
4350,20665,5
20090,20665,5
585385,20665,5
217849,20665,5
3728,20665,5
1835,20665,5
898,20665,5
20939,20665,5
3096,20665,1
217833,20665,5
19166,20665,5
20591,20665,5
11035301,20665,2
2566,20665,5
4074,20665,4
20002,20665,5
14644,19111,5
20042,19111,1
18923239,19111,5
4350,19111,3
20090,19111,5
585385,19111,5
217849,19111,5
1835,19111,5
217833,19111,5
20591,19111,3
2566,19111,3
19692,19111,5
20665,19111,5
1835,3471,1
217833,3471,2
1830,3471,1
14644,19168,5
4350,19168,5
20090,19168,5
585385,19168,5
217849,19168,5
1835,19168,5
20939,19168,5
217833,19168,5
20591,19168,5
11035301,19168,5
2566,19168,5
19692,19168,3
20665,19168,5
19111,19168,1
644,11035104,4
14644,11035104,5
20042,11035104,5
4350,11035104,5
20090,11035104,5
585385,11035104,5
217849,11035104,5
1835,11035104,5
20939,11035104,5
217833,11035104,5
20591,11035104,5
11035301,11035104,5
2566,11035104,5
19692,11035104,5
20665,11035104,5
19168,11035104,2
20591,2596119,1
20665,2596119,1
217833,3223,1
1835,1433,1
217833,1433,2
1830,1433,5
20665,1433,1
20042,2596488,3
21140,2596488,4
19692,2596488,5
20002,2596488,5
19111,2596488,5
2596119,2596488,5
4350,3705455,5
898,3705455,2
11035301,3705455,5
19692,3705455,5
11035104,3705455,5
4157,8273,4
11035301,8273,5
9538400,2960,3
14644,2960,5
20725,2960,5
4350,2960,5
20090,2960,5
585385,2960,5
217849,2960,5
3728,2960,1
1835,2960,5
898,2960,5
20939,2960,5
217833,2960,5
19166,2960,4
20591,2960,5
11035301,2960,5
2566,2960,5
19692,2960,1
4074,2960,1
20002,2960,5
20665,2960,5
19111,2960,5
19168,2960,5
11035104,2960,5
9538400,19703,5
14644,19703,5
20042,19703,5
20725,19703,5
4350,19703,5
20090,19703,5
585385,19703,5
217849,19703,5
1835,19703,5
898,19703,5
217833,19703,5
20591,19703,2
2566,19703,5
19692,19703,5
20002,19703,5
20665,19703,5
19111,19703,5
19168,19703,5
11035104,19703,5
2596488,19703,3
3705455,19703,5
2960,19703,5
9538400,1856151,5
20725,1856151,5
20090,1856151,5
898,1856151,5
20939,1856151,5
19166,1856151,5
2566,1856151,5
19692,1856151,5
20002,1856151,5
20665,1856151,5
19111,1856151,3
19168,1856151,5
11035104,1856151,5
2596119,1856151,5
1433,1856151,1
19703,1856151,5
14644,20161,5
20042,20161,5
4350,20161,5
20090,20161,5
585385,20161,5
217849,20161,5
1835,20161,5
20939,20161,5
217833,20161,5
20591,20161,4
11035301,20161,5
2566,20161,5
20665,20161,5
19168,20161,3
11035104,20161,1
3705455,20161,1
2960,20161,5
19703,20161,5
1856151,20161,5
18923239,19239,1
217833,19239,1
11035301,19239,4
19692,19239,2
20665,19239,2
19703,19239,1
1856151,19239,5
9538400,2664002,4
14644,2664002,5
20042,2664002,5
20725,2664002,5
4350,2664002,5
20090,2664002,5
585385,2664002,5
217849,2664002,5
1835,2664002,5
898,2664002,5
217833,2664002,5
2566,2664002,5
19692,2664002,5
20002,2664002,5
20665,2664002,5
11035104,2664002,5
2960,2664002,5
19703,2664002,5
20161,2664002,5
19239,2664002,4
9538400,2596537,5
14644,2596537,5
20042,2596537,5
20725,2596537,5
4350,2596537,5
4157,2596537,5
3728,2596537,3
898,2596537,5
20939,2596537,5
3096,2596537,5
4451,2596537,2
19166,2596537,5
2566,2596537,5
1830,2596537,5
4074,2596537,5
20256,2596537,1
19111,2596537,5
3471,2596537,5
19168,2596537,5
11035104,2596537,5
1433,2596537,5
2960,2596537,5
20161,2596537,5
14644,3382638,5
20090,3382638,5
585385,3382638,4
217849,3382638,5
1835,3382638,5
217833,3382638,5
20591,3382638,1
19692,3382638,5
20665,3382638,5
2596488,3382638,1
2960,3382638,5
19703,3382638,2
2596537,3382638,1
4157,2269,5
3728,2269,2
1830,2269,5
4074,2269,2
1433,2269,3
2596537,2269,5
1830,9071,5
8273,9071,1
9538400,1020,5
14644,1020,1
20042,1020,5
20725,1020,5
4350,1020,5
4157,1020,5
898,1020,5
20939,1020,5
3096,1020,3
19166,1020,5
2566,1020,5
1830,1020,2
19692,1020,5
4074,1020,1
20002,1020,3
20665,1020,5
19111,1020,5
19168,1020,5
11035104,1020,5
1433,1020,3
2960,1020,5
19703,1020,3
1856151,1020,5
20161,1020,5
2596537,1020,5
2269,1020,1
9538400,19810,5
14644,19810,3
20042,19810,5
20725,19810,5
4350,19810,5
4157,19810,5
20939,19810,1
3096,19810,3
21140,19810,4
19166,19810,4
2566,19810,5
1830,19810,5
4074,19810,4
19111,19810,5
3471,19810,2
19168,19810,5
11035104,19810,5
1433,19810,5
2596488,19810,4
2960,19810,5
20161,19810,5
19239,19810,1
2596537,19810,5
3382638,19810,5
2269,19810,5
1020,19810,5
4157,16234,5
3728,16234,5
1830,16234,4
4074,16234,5
3223,16234,1
8273,16234,5
2269,16234,5
4905,22105411,3
4157,22105411,5
3728,22105411,3
3096,22105411,2
3471,22105411,5
3223,22105411,3
8273,22105411,5
9538400,3116,5
14644,3116,5
20725,3116,5
4350,3116,5
20090,3116,5
585385,3116,5
217849,3116,5
3728,3116,5
1835,3116,5
898,3116,5
217833,3116,5
