"node_1","node_2","edge"
6249,574,5
6249,576,5
574,576,5
574,4606,5
576,3394,4
574,18615,5
576,18615,2
6249,4772,5
574,4772,2
576,4772,5
4606,4772,1
6893,19117,5
19502,20162,5
6249,20257,5
19502,20257,5
20162,20257,5
19502,8620056,5
20162,8620056,5
20257,8620056,5
6249,650,4
574,650,1
4606,650,1
19502,650,5
20162,650,5
20257,650,5
8620056,650,5
4911,8286,5
4911,12632,5
8286,12632,5
4911,8680748,5
8286,8680748,5
12632,8680748,5
4911,18423,5
8286,18423,5
12632,18423,5
8680748,18423,5
18615,585385,5
8620056,585385,3
650,585385,5
6249,4160,2
574,4160,1
576,4160,5
3394,4160,5
4772,4160,2
6249,10140,5
574,10140,5
576,10140,1
585385,10140,5
4160,10140,2
6249,20505,5
576,20505,5
4772,20505,5
20162,20505,2
20257,20505,5
8620056,20505,1
10140,20505,5
576,8296,2
4606,8296,1
18615,8296,1
4772,8296,2
4160,8296,5
576,8284,4
3394,8284,1
4160,8284,5
20505,8284,1
6249,8288,1
576,8288,3
3394,8288,3
4772,8288,1
4160,8288,5
10140,8288,3
8296,8288,5
4911,11930,5
8286,11930,5
12632,11930,5
8680748,11930,5
3394,8608943,4
12632,8608943,2
4160,8608943,5
8296,8608943,4
8284,8608943,4
8288,8608943,5
6249,298,5
574,298,2
576,298,5
3394,298,5
4772,298,3
20257,298,4
4160,298,5
10140,298,5
8296,298,5
8284,298,5
8288,298,5
8608943,298,5
6249,7750,5
574,7750,5
576,7750,1
3394,7750,5
4160,7750,5
10140,7750,5
8296,7750,5
8284,7750,5
8288,7750,5
8608943,7750,5
298,7750,5
574,8292,1
3394,8292,4
18615,8292,5
8286,8292,5
4160,8292,5
10140,8292,5
20505,8292,3
8296,8292,5
8284,8292,5
8608943,8292,3
298,8292,5
7750,8292,5
6249,8298,5
574,8298,5
3394,8298,5
4160,8298,5
10140,8298,5
8296,8298,5
8284,8298,5
8288,8298,5
8608943,8298,5
298,8298,5
7750,8298,5
8292,8298,5
6249,1992407,5
576,1992407,3
3394,1992407,5
4160,1992407,5
10140,1992407,5
8296,1992407,5
8284,1992407,1
8288,1992407,5
8608943,1992407,5
298,1992407,5
7750,1992407,5
8292,1992407,5
8298,1992407,5
6249,8609352,5
574,8609352,2
576,8609352,5
3394,8609352,5
20257,8609352,1
4160,8609352,5
10140,8609352,5
8296,8609352,5
8284,8609352,1
8288,8609352,5
8608943,8609352,5
298,8609352,5
7750,8609352,5
8292,8609352,5
8298,8609352,5
1992407,8609352,5
6249,40618669,5
574,40618669,5
576,40618669,5
3394,40618669,5
20257,40618669,5
4160,40618669,5
10140,40618669,5
8296,40618669,5
8284,40618669,5
8288,40618669,5
8608943,40618669,5
298,40618669,5
7750,40618669,5
8292,40618669,5
8298,40618669,5
1992407,40618669,5
8609352,40618669,5
4606,788,2
18615,788,5
4911,788,5
8286,788,5
12632,788,5
8680748,788,5
18423,788,3
4160,788,5
8296,788,2
8284,788,1
8608943,788,2
298,788,5
7750,788,5
8292,788,5
8298,788,5
8609352,788,3
40618669,788,5
4911,6232,5
8286,6232,5
12632,6232,5
8680748,6232,5
18423,6232,5
4160,6232,1
11930,6232,2
8292,6232,5
788,6232,5
4606,6970,5
18615,6970,5
4911,6970,5
8286,6970,5
12632,6970,5
8680748,6970,5
18423,6970,5
4160,6970,4
8296,6970,1
11930,6970,3
8608943,6970,1
8292,6970,5
788,6970,5
6232,6970,5
3394,21091,3
4160,21091,5
10140,21091,4
8296,21091,5
8284,21091,2
8288,21091,5
8608943,21091,5
298,21091,5
7750,21091,5
8292,21091,5
8298,21091,5
1992407,21091,5
8609352,21091,5
40618669,21091,5
788,21091,5
6232,21091,1
6970,21091,5
6249,898,1
19502,898,5
20162,898,5
650,898,5
585385,898,5
10140,898,5
20505,898,5
4911,8680744,5
8286,8680744,5
12632,8680744,5
8680748,8680744,5
18423,8680744,5
11930,8680744,5
788,8680744,5
6232,8680744,5
6970,8680744,5
8286,8663170,5
12632,8663170,5
8680748,8663170,5
18423,8663170,5
788,8663170,5
6232,8663170,5
6970,8663170,5
8680744,8663170,5
6249,1956,5
574,1956,5
576,1956,5
3394,1956,5
18615,1956,3
20257,1956,5
585385,1956,5
4160,1956,5
10140,1956,5
20505,1956,5
8296,1956,5
8284,1956,5
8288,1956,5
8608943,1956,5
298,1956,5
7750,1956,5
8292,1956,5
8298,1956,5
1992407,1956,5
8609352,1956,5
40618669,1956,5
788,1956,5
21091,1956,5
898,1956,2
6249,8608494,5
574,8608494,1
576,8608494,2
3394,8608494,5
4160,8608494,5
10140,8608494,5
8296,8608494,5
8284,8608494,5
8288,8608494,5
8608943,8608494,5
298,8608494,5
7750,8608494,5
8292,8608494,5
8298,8608494,5
1992407,8608494,5
8609352,8608494,5
40618669,8608494,5
788,8608494,5
