"node_1","node_2","edge"
20394,4012,2
20258,5025207,5
207,14641,2
3138,2034,5
4212,2034,5
18897,2034,5
4215,2034,3
14809,2034,5
207,2034,5
14641,2034,5
5071471,2034,5
4212,8334,2
18897,8334,4
14809,8334,3
207,8334,2
14641,8334,1
5071471,8334,5
2034,8334,5
4918,4917,1
20394,4917,5
4012,4917,5
20837,4917,5
5071471,4213,2
2034,4213,5
8334,4213,5
2034,1891,5
5025207,4715,5
2034,6593,2
2034,7656,5
8334,7656,5
17201,16144,5
4012,16144,2
5025207,16144,3
4917,16144,5
4212,21115,5
18897,21115,5
4215,21115,5
14809,21115,5
207,21115,5
4956918,21115,5
14641,21115,5
4466,21115,1
5071471,21115,5
2034,21115,5
8334,21115,5
4213,21115,5
1891,21115,5
4715,21115,5
6593,21115,5
7656,21115,5
5073843,4964906,5
5026389,4964906,5
5115802,4964906,5
4956918,4964906,5
3138,2530,1
4212,2530,5
18897,2530,5
4215,2530,5
14809,2530,5
207,2530,5
4956918,2530,5
14641,2530,5
4466,2530,2
5071471,2530,5
2034,2530,5
8334,2530,5
4213,2530,5
1891,2530,5
4715,2530,5
6593,2530,5
7656,2530,5
21115,2530,5
2034,3212,5
8334,3212,5
21115,3212,5
2530,3212,5
2034,8345,5
8334,8345,4
21115,8345,5
2530,8345,5
3138,258699,1
4212,258699,4
18897,258699,4
207,258699,5
14641,258699,5
2034,258699,5
8334,258699,5
21115,258699,5
2530,258699,5
3212,258699,3
20394,904,2
20258,904,1
17201,904,5
16144,904,5
5025207,19241,5
8348,4971600,5
4212,4971600,5
18897,4971600,5
4215,4971600,5
5915,4971600,1
14809,4971600,5
207,4971600,2
4466,4971600,1
5071471,4971600,5
2034,4971600,5
8334,4971600,5
4213,4971600,5
1891,4971600,3
4715,4971600,3
6593,4971600,5
7656,4971600,5
21115,4971600,5
2530,4971600,5
3212,4971600,5
8345,4971600,5
258699,4971600,4
2034,6311,1
21115,6311,5
2530,6311,5
4971600,6311,5
8348,7006,1
3138,7006,2
4212,7006,5
18897,7006,5
4215,7006,5
14809,7006,5
207,7006,5
4956918,7006,5
14641,7006,5
4466,7006,5
5071471,7006,5
4587,7006,2
2034,7006,5
8334,7006,5
4213,7006,5
1891,7006,5
4715,7006,5
6593,7006,5
7656,7006,5
21115,7006,5
2530,7006,5
3212,7006,5
8345,7006,5
258699,7006,5
4971600,7006,5
6311,7006,5
3138,8339,3
4215,8339,1
207,8339,1
14641,8339,1
2034,8339,5
8334,8339,5
4213,8339,2
21115,8339,5
2530,8339,5
3212,8339,5
258699,8339,4
4971600,8339,5
7006,8339,5
5073843,5104072,4
8348,5104072,1
20394,14800,1
4012,14800,5
4917,14800,5
16144,14800,1
19241,14800,1
3138,4432,5
4212,4432,5
18897,4432,5
4215,4432,5
5915,4432,2
14809,4432,5
207,4432,5
4956918,4432,5
14641,4432,5
4466,4432,4
5071471,4432,5
4587,4432,1
2034,4432,5
8334,4432,5
4213,4432,5
1891,4432,5
4715,4432,5
6593,4432,5
7656,4432,5
21115,4432,5
2530,4432,5
3212,4432,5
8345,4432,5
258699,4432,5
4971600,4432,5
6311,4432,5
7006,4432,5
8339,4432,5
2034,8255,5
21115,8255,5
2530,8255,5
4971600,8255,3
7006,8255,5
4432,8255,5
21115,5353,5
2530,5353,5
7006,5353,5
4432,5353,5
3138,281,5
4212,281,5
18897,281,5
4215,281,3
14809,281,1
207,281,5
14641,281,5
4466,281,3
5071471,281,5
4587,281,2
2034,281,5
8334,281,5
1891,281,5
6593,281,5
7656,281,5
21115,281,5
2530,281,5
3212,281,5
8345,281,5
258699,281,5
4971600,281,2
6311,281,4
7006,281,5
8339,281,5
4432,281,5
8255,281,5
5353,281,3
8348,2345,1
3138,2345,2
4212,2345,5
18897,2345,5
4215,2345,5
14809,2345,5
207,2345,5
4956918,2345,5
14641,2345,5
4466,2345,1
5071471,2345,5
2034,2345,5
8334,2345,5
4213,2345,5
1891,2345,5
4715,2345,5
6593,2345,5
7656,2345,5
21115,2345,5
2530,2345,5
3212,2345,5
8345,2345,5
258699,2345,5
4971600,2345,5
6311,2345,5
7006,2345,5
8339,2345,5
4432,2345,5
8255,2345,5
5353,2345,5
281,2345,5
2034,3514906,5
8334,3514906,5
21115,3514906,5
2530,3514906,5
4971600,3514906,5
7006,3514906,5
8339,3514906,2
4432,3514906,5
2345,3514906,5
3138,5418578,2
4212,5418578,5
18897,5418578,5
4215,5418578,5
14809,5418578,5
207,5418578,5
4956918,5418578,5
14641,5418578,2
5071471,5418578,5
2034,5418578,5
8334,5418578,5
4213,5418578,5
1891,5418578,4
4715,5418578,5
6593,5418578,5
7656,5418578,5
21115,5418578,5
2530,5418578,5
3212,5418578,5
8345,5418578,5
258699,5418578,5
4971600,5418578,5
6311,5418578,5
7006,5418578,5
8339,5418578,5
4432,5418578,5
8255,5418578,4
5353,5418578,2
281,5418578,4
2345,5418578,5
3514906,5418578,5
4212,8368,1
18897,8368,3
207,8368,5
14641,8368,5
2034,8368,5
8334,8368,5
1891,8368,1
7656,8368,1
21115,8368,5
2530,8368,5
3212,8368,4
258699,8368,5
4971600,8368,5
7006,8368,5
8339,8368,5
4432,8368,5
8255,8368,1
281,8368,5
2345,8368,5
5418578,8368,5
3138,5025020,5
4212,5025020,5
18897,5025020,5
4215,5025020,5
5915,5025020,2
207,5025020,5
14641,5025020,5
4466,5025020,3
5071471,5025020,5
4587,5025020,2
2034,5025020,5
8334,5025020,5
1891,5025020,5
6593,5025020,5
7656,5025020,5
3212,5025020,5
8345,5025020,5
258699,5025020,5
