"node_1","node_2","edge"
19982,4667837,5
19982,4244,5
20261,4244,1
4244,4669223,5
19982,11005036,5
19982,20094,5
20261,20094,3
4667837,20094,5
4244,20094,5
4669223,20094,2
11005036,20094,5
19114,20094,5
4244,11077,5
20094,11077,3
4923,4686660,3
4924,4686660,1
4244,4686660,5
19982,20810,5
4244,20810,5
4669223,20810,5
20094,20810,5
4923,4796582,3
4924,4796582,5
20261,4796582,1
4244,4796582,5
11005036,4796582,4
4686660,4796582,5
19982,20119,5
4796822,20119,4
20094,20119,5
4796582,20119,2
19712,9276,5
4667837,9276,5
4244,9276,5
19114,9276,2
11077,9276,2
20810,9276,5
4244,644,5
11077,644,5
9276,644,5
4244,4241,3
9276,4241,5
644,4241,5
4244,9000,5
11077,9000,5
644,9000,5
4667837,16192,5
4244,16192,5
11077,16192,5
9276,16192,5
644,16192,5
9000,16192,5
4244,20397,5
4669223,20397,5
20094,20397,5
4686660,20397,1
20810,20397,3
4669223,6091,1
4923,29949868,5
11005036,29949868,5
4686660,29949868,3
19982,4624,5
4667837,4624,5
4244,4624,3
11005036,4624,5
20094,4624,5
11077,4624,3
20810,4624,5
20119,4624,5
644,4624,3
9000,4624,5
16192,4624,5
4244,19242,5
4669223,19242,5
20094,19242,5
4686660,19242,2
20810,19242,5
9276,19242,5
20397,19242,5
19712,898,3
4796582,898,5
6091,898,5
19982,12078,5
20261,12078,5
4244,12078,5
4669223,12078,5
11005036,12078,3
19114,12078,3
20094,12078,5
11077,12078,5
4686660,12078,5
20810,12078,5
4796582,12078,1
9276,12078,5
644,12078,5
20397,12078,5
4624,12078,4
19242,12078,5
898,12078,2
9276,4081,5
9000,4081,5
16192,4081,5
19712,6551,5
4244,6551,1
20810,6551,5
20261,15800,2
11005036,15800,5
20094,15800,5
20810,15800,1
644,15800,5
20397,15800,5
4624,15800,5
4923,2996764,5
4924,2996764,5
20261,2996764,4
11005036,2996764,5
4716,2996764,5
4686660,2996764,5
20397,2996764,5
29949868,2996764,5
898,2996764,5
19982,1269570,5
19712,1269570,5
4796822,1269570,5
19114,1269570,5
20094,1269570,3
20810,1269570,5
4796582,1269570,5
20119,1269570,1
9276,1269570,5
4241,1269570,5
4624,1269570,5
19242,1269570,5
12078,1269570,1
19982,4749896,5
20261,4749896,3
4667837,4749896,5
4244,4749896,5
11005036,4749896,5
20094,4749896,5
11077,4749896,1
20810,4749896,5
20119,4749896,5
4624,4749896,5
12078,4749896,5
1269570,4749896,5
20261,5871313,1
4667837,5871313,5
4244,5871313,5
11077,5871313,5
9276,5871313,5
644,5871313,5
16192,5871313,5
12078,5871313,5
4081,5871313,5
4244,12834,5
4796582,12834,5
9276,12834,5
644,12834,1
16192,12834,5
12078,12834,5
4749896,12834,4
5871313,12834,5
4244,4453,5
4669223,4453,2
20810,4453,3
9000,4453,1
16192,4453,1
19242,4453,5
12078,4453,5
4796822,19919,5
15800,19919,4
1269570,19919,3
19712,20670,5
4244,20670,3
20810,20670,5
9276,20670,2
19242,20670,1
12078,20670,5
6551,20670,5
1269570,20670,5
11005036,4668855,1
19982,8788,5
4667837,8788,3
4244,8788,5
11005036,8788,1
20094,8788,5
11077,8788,3
20810,8788,5
20119,8788,4
9000,8788,4
16192,8788,1
4624,8788,5
19242,8788,5
12078,8788,5
1269570,8788,3
4749896,8788,5
4244,19675,5
4669223,19675,5
4796822,19675,3
20094,19675,5
4686660,19675,3
20810,19675,5
20397,19675,5
19242,19675,5
12078,19675,5
1269570,19675,3
12834,19675,1
4453,19675,5
19919,19675,1
20670,19675,1
8788,19675,5
19982,19948,5
19712,19948,5
20810,19948,2
9276,19948,5
4624,19948,5
6551,19948,1
1269570,19948,5
4749896,19948,5
20670,19948,3
4667837,3388,4
4244,3388,5
11077,3388,1
9276,3388,5
644,3388,5
16192,3388,5
12078,3388,5
4081,3388,1
5871313,3388,5
12834,3388,5
4667837,4243,4
4244,4243,5
4796822,4243,3
11077,4243,1
9276,4243,5
644,4243,3
16192,4243,5
12078,4243,5
4749896,4243,5
5871313,4243,5
12834,4243,5
3388,4243,5
4244,8417,5
20094,8417,1
9276,8417,5
9000,8417,5
16192,8417,5
4624,8417,2
12078,8417,5
4749896,8417,5
5871313,8417,5
19675,8417,1
3388,8417,4
