"node_1","node_2","edge"
20840,2566,5
20840,1854,1
2566,1854,5
20840,8694,2
2566,8694,5
20599,8694,1
1854,8694,5
20840,20105,5
2566,20105,5
1854,20105,1
8694,20105,3
20840,8692,4
2566,8692,5
1854,8692,5
20105,8692,3
2566,19454,3
1854,19454,2
8694,19454,2
20105,19454,1
20840,6458,1
2566,6458,3
1854,6458,2
8692,6458,2
20840,19916,5
2566,19916,5
1854,19916,2
8694,19916,2
20105,19916,5
8692,19916,5
20840,20248,3
20840,17314,5
2566,17314,5
1854,17314,5
8694,17314,5
20105,17314,2
8692,17314,5
6458,17314,3
19916,17314,5
20840,8580,2
2566,8580,5
20599,8580,1
1854,8580,5
8694,8580,5
20105,8580,3
8692,8580,5
19454,8580,1
6458,8580,2
19916,8580,1
17314,8580,5
19454,9556897,5
20840,5770,4
2566,5770,5
1854,5770,5
8694,5770,1
20105,5770,1
8692,5770,5
19916,5770,4
17314,5770,5
8580,5770,1
20599,9564644,4
19527,9564644,3
20248,9561268,1
20840,16695,3
2566,16695,5
1854,16695,5
8694,16695,3
20105,16695,2
8692,16695,5
6458,16695,1
19916,16695,5
17314,16695,5
8580,16695,2
5770,16695,3
20840,9593681,4
2566,9593681,5
1854,9593681,5
8694,9593681,5
20105,9593681,3
8692,9593681,5
19454,9593681,4
6458,9593681,5
19916,9593681,5
17314,9593681,5
8580,9593681,5
5770,9593681,5
16695,9593681,5
2566,15496,2
1854,15496,1
8692,15496,4
17314,15496,5
5770,15496,4
16695,15496,3
9593681,15496,3
20840,19122,5
2566,19122,4
1854,19122,2
8694,19122,1
20248,19122,2
17314,19122,1
8580,19122,3
9561268,19122,2
9593681,19122,5
20840,19713,3
2566,19713,5
1854,19713,3
8694,19713,4
20105,19713,1
19916,19713,1
17314,19713,5
8580,19713,4
16695,19713,1
9593681,19713,5
19454,9591013,5
9556897,9591013,1
20840,8393,4
2566,8393,5
1854,8393,5
8694,8393,5
20105,8393,1
8692,8393,5
19454,8393,5
6458,8393,5
19916,8393,5
17314,8393,5
8580,8393,5
5770,8393,5
16695,8393,5
9593681,8393,5
15496,8393,2
19122,8393,5
19713,8393,5
20840,1269570,4
20840,18932,1
2566,18932,5
20105,18932,3
8692,18932,5
19916,18932,5
17314,18932,1
5770,18932,1
16695,18932,4
9593681,18932,2
20840,8705,3
2566,8705,4
8692,8705,2
6458,8705,1
17314,8705,5
9593681,8705,3
15496,8705,1
8393,8705,4
20840,19526,1
9564644,19526,3
9593681,19526,1
8393,19526,3
20840,20166,1
2566,20166,2
20248,20166,2
9593681,20166,2
19122,20166,1
8393,20166,1
18932,20166,1
9561268,6867,4
20840,3467722,2
2566,3467722,5
20105,3467722,1
8692,3467722,4
19916,3467722,3
17314,3467722,5
8580,3467722,1
16695,3467722,4
9593681,3467722,5
8393,3467722,5
18932,3467722,3
19527,9561685,3
9593681,9561685,2
8393,9561685,3
9591164,9561685,3
20840,8695,2
2566,8695,5
1854,8695,5
8694,8695,3
20105,8695,1
8692,8695,5
6458,8695,3
19916,8695,2
17314,8695,5
8580,8695,5
5770,8695,5
16695,8695,3
9593681,8695,5
15496,8695,3
19122,8695,2
19713,8695,2
8393,8695,5
8705,8695,3
21063,8695,1
19916,982,1
9564644,982,5
4925,9578075,5
20840,9573611,2
5770,9573611,1
982,9573611,5
20840,7174,5
2566,7174,5
1854,7174,5
8694,7174,2
20105,7174,2
8692,7174,5
6458,7174,3
19916,7174,5
17314,7174,5
8580,7174,3
5770,7174,5
16695,7174,5
9593681,7174,5
15496,7174,4
19122,7174,1
19713,7174,1
8393,7174,5
18932,7174,3
8705,7174,3
3467722,7174,3
8695,7174,5
20840,8714,3
2566,8714,5
1854,8714,5
8694,8714,5
20105,8714,2
8692,8714,5
