"node_1","node_2","edge"
7940584,4926,5
7940584,16629269,5
4926,16629269,5
7940584,171,5
4926,171,5
4926,8944,2
7940584,16054,5
4926,16054,5
16629269,16054,3
171,16054,1
8944,16054,5
7940584,8949,5
4926,8949,5
171,8949,4
16054,8949,1
40619013,4930,4
8944,4930,4
4929,10936540,1
7940584,21434,5
4926,21434,5
171,21434,4
16054,21434,2
8949,21434,1
7940584,9633,3
4926,9633,5
7940584,856,5
4926,856,5
21434,856,1
7940584,12556,5
4926,12556,3
171,12556,5
16054,12556,1
21434,12556,5
7940584,437,5
4926,437,5
16629269,437,4
171,437,5
8949,437,3
21434,437,2
856,437,3
12556,437,5
7940584,2318,5
4926,2318,5
16629269,2318,3
171,2318,4
16054,2318,3
21434,2318,3
856,2318,4
12556,2318,4
437,2318,5
7940584,8377,5
4926,8377,5
16629269,8377,2
171,8377,1
8944,8377,3
16054,8377,5
8949,8377,3
856,8377,1
437,8377,4
2318,8377,1
7940584,8935,5
4926,8935,5
16629269,8935,1
171,8935,3
16054,8935,5
8949,8935,5
21434,8935,5
856,8935,3
12556,8935,4
437,8935,5
2318,8935,5
8377,8935,5
4926,10443,5
16629269,10443,2
171,10443,1
16054,10443,2
8949,10443,5
437,10443,2
2318,10443,2
8377,10443,3
8935,10443,3
7940584,17316,5
4926,17316,5
16629269,17316,5
171,17316,4
856,17316,1
12556,17316,4
437,17316,5
2318,17316,5
8377,17316,1
8935,17316,5
4926,8120081,2
16629269,8120081,5
4926,3643817,5
9633,3643817,5
7940584,16050,5
4926,16050,5
16629269,16050,2
16054,16050,3
8949,16050,1
21434,16050,3
856,16050,5
437,16050,5
2318,16050,1
8377,16050,5
8935,16050,5
10443,16050,1
17316,16050,3
7940584,12095611,5
4926,12095611,5
171,12095611,3
16054,12095611,4
8949,12095611,4
856,12095611,5
12556,12095611,1
437,12095611,5
2318,12095611,5
8377,12095611,5
8935,12095611,5
10443,12095611,1
17316,12095611,5
16050,12095611,5
7940584,2116,2
4926,2116,5
16054,2116,3
8949,2116,5
21434,2116,5
12556,2116,1
437,2116,2
2318,2116,5
8935,2116,5
10443,2116,3
12095611,2116,2
7940584,8040,5
4926,8040,5
171,8040,5
16054,8040,3
8949,8040,5
21434,8040,5
12556,8040,4
437,8040,2
2318,8040,5
8935,8040,5
10443,8040,4
17316,8040,1
16050,8040,4
12095611,8040,5
2116,8040,5
7940584,7955943,5
4926,7955943,4
171,7955943,5
16054,7955943,1
8949,7955943,3
21434,7955943,3
12556,7955943,5
437,7955943,5
2318,7955943,3
8377,7955943,1
10443,7955943,2
12095611,7955943,2
2116,7955943,5
8040,7955943,4
7940584,38254784,5
4926,38254784,5
171,38254784,5
16054,38254784,1
8949,38254784,5
21434,38254784,2
12556,38254784,5
437,38254784,5
2318,38254784,2
8377,38254784,2
8935,38254784,3
10443,38254784,5
16050,38254784,1
12095611,38254784,4
2116,38254784,5
8040,38254784,5
7955943,38254784,5
21434,2772,1
2318,2772,1
7955943,2772,5
7940584,5989,5
4926,5989,3
16629269,5989,5
171,5989,5
8949,5989,1
21434,5989,1
12556,5989,3
2318,5989,5
8935,5989,4
