"node_1","node_2","edge"
4931,8594520,5
20264,170434,5
4931,16057,4
8594520,16057,5
8594520,8248,1
170434,8608044,4
20264,1935773,1
4932,1935773,5
170434,1935773,5
8594520,8962,5
8966,8956,2
8594520,16058,5
8248,16058,1
16058,6320,5
8966,28296960,1
8248,28296960,5
8956,28296960,5
16058,28296960,5
6320,28296960,1
8594520,8599593,5
8966,8599593,1
8248,8599593,3
16058,8599593,1
28296960,8599593,2
8594520,8600234,5
8956,8600234,1
16058,8600234,1
8599593,8600234,3
8594520,8963,3
16058,8963,1
8599593,8963,5
8600234,8963,5
6320,8965,4
8599593,8965,2
8600234,8965,1
8963,8965,1
4931,8612697,5
8594520,8612697,5
8966,8612697,5
16057,8612697,1
8962,8612697,5
16058,8612697,3
8964,8612697,4
8600234,8612697,5
8600234,8610476,5
16058,8609713,1
8599593,8609713,5
8600234,8609713,5
8963,8609713,5
8610476,8609713,5
4931,8608093,1
8594520,8608093,4
16057,8608093,5
8599593,8608093,2
8600234,8608093,3
8609713,8608093,4
16058,8955,1
8599593,8955,3
8965,8955,1
8966,8958,5
8612697,8958,2
8594520,1116,5
8962,1116,4
8956,1116,4
16058,1116,3
8599593,1116,5
8964,1116,3
8600234,1116,5
8963,1116,5
8612697,1116,5
8609713,1116,5
8608093,1116,2
8955,1116,3
8958,1116,2
16057,435,2
6320,435,1
8599593,435,4
8600234,435,3
8963,435,4
8965,435,2
8609713,435,3
8958,435,1
1116,435,1
8956,1854,3
8599593,1854,5
8600234,1854,3
8963,1854,5
8609713,1854,5
1116,1854,5
435,1854,3
4931,8607968,2
8594520,8607968,1
8599593,8607968,2
8600234,8607968,4
4931,8957,4
8594520,8957,5
16057,8957,1
16058,8957,3
6320,8957,1
8599593,8957,2
8964,8957,1
8600234,8957,4
8963,8957,4
8965,8957,1
8612697,8957,5
8609713,8957,1
1116,8957,4
435,8957,5
1854,8957,3
8962,8609452,3
16058,8609452,1
8600234,8609452,5
8610476,8609452,5
8609713,8609452,5
8955,8609452,2
1116,8609452,2
435,8609452,1
8607968,8609452,2
4932,18481,5
8604218,18481,4
8248,14177,2
28296960,14177,2
8599593,14177,5
8600234,14177,3
8610476,14177,2
8609713,14177,5
8955,14177,1
8958,14177,1
1116,14177,3
435,14177,1
1854,14177,5
8607968,14177,4
8609452,14177,5
4932,8593325,5
170434,8593325,3
8608044,8593325,1
1935773,8593325,5
4931,8599851,5
8248,8599851,5
8600234,8599851,5
8963,8599851,1
8610476,8599851,5
8609713,8599851,5
435,8599851,1
170434,16062,3
1935773,16062,1
18481,16062,5
8600234,8600225,5
8610476,8600225,3
8609713,8600225,2
18481,8600225,5
8599851,8600225,5
16062,8600225,5
8594520,2034,5
8966,2034,2
8956,2034,3
6320,2034,2
8600234,2034,5
8963,2034,2
8612697,2034,1
8609713,2034,5
8958,2034,1
1116,2034,5
435,2034,2
1854,2034,3
8957,2034,3
8609452,2034,5
16058,8623109,5
1116,8623109,1
8607968,8623109,1
2034,8623109,5
8248,372,2
6320,372,3
8599593,372,1
8958,372,1
1116,372,1
435,372,1
8609452,372,2
14177,372,4
8599851,372,1
8965,5961,2
8955,5961,5
2034,5961,2
4931,8593827,3
8248,8593827,2
16058,8593827,5
8958,8593827,5
435,8593827,5
8607968,8593827,3
8957,8593827,2
14177,8593827,2
2034,8593827,3
4931,8608543,5
16057,8608543,5
8248,8608543,2
16058,8608543,4
8958,8608543,2
435,8608543,5
8607968,8608543,1
8957,8608543,4
14177,8608543,1
2034,8608543,2
8593827,8608543,5
8956,3765756,1
16058,3765756,2
28296960,3765756,5
8599593,3765756,5
8965,3765756,1
8955,3765756,5
8957,3765756,1
16062,3765756,2
8600225,3765756,2
8594520,28113824,2
8599593,28113824,5
8600234,28113824,5
8963,28113824,5
8609713,28113824,5
8608093,28113824,5
1116,28113824,5
435,28113824,2
1854,28113824,5
8609452,28113824,2
18481,28113824,3
8966,8609104,5
8958,8609104,5
372,8609104,4
8594520,21486,5
8966,21486,4
16057,21486,3
8956,21486,1
6320,21486,5
28296960,21486,4
8600234,21486,5
8963,21486,2
8965,21486,1
8612697,21486,4
8609713,21486,1
8958,21486,1
1116,21486,5
435,21486,1
1854,21486,5
8957,21486,5
