"node_1","node_2","edge"
4934,18248,5
16413,4933,5
16413,12174653,3
4933,12174653,4
4934,20607,5
18248,20607,5
4933,13621,5
13621,13503481,5
13621,9067,5
13503481,9067,5
4934,19494,5
18248,19494,5
20607,19494,5
4933,39314505,5
3627,39314505,5
19494,39314505,5
4934,20265,5
18248,20265,5
20607,20265,5
19494,20265,5
3627,4010,5
13503481,12613537,5
9067,12613537,2
3627,5636,5
4934,9145,2
18248,9145,5
19494,9145,5
16413,16120407,5
4933,16120407,5
12174653,16120407,1
39314505,16120407,2
5636,16120407,5
13503481,1854,2
9067,1854,5
16120407,9366680,2
4934,20114,5
18248,20114,5
20607,20114,5
19494,20114,5
20265,20114,5
9145,20114,3
9067,2787870,1
5636,2787870,5
16120407,2787870,2
9366680,2787870,5
4934,898,5
18248,898,5
20607,898,5
19494,898,5
20265,898,5
20114,898,5
16413,12613820,5
4933,12613820,5
16413,14038803,5
13621,14038803,5
9067,14038803,5
1854,14038803,5
4934,17630845,5
18248,17630845,5
20607,17630845,5
19494,17630845,5
39314505,17630845,5
20265,17630845,5
9145,17630845,5
20114,17630845,5
898,17630845,5
12174653,9366210,3
1854,9366210,5
14038803,9366210,5
9366680,16404,2
12613820,16404,5
3627,4766,3
16413,9390879,5
4933,9390879,5
13621,9390879,1
9067,9390879,1
16413,259,1
5636,259,2
12613820,259,5
13503481,13808266,5
39314505,13808266,1
12613537,13808266,5
5636,13808266,1
4934,2566,5
18248,2566,5
20607,2566,5
19494,2566,5
39314505,2566,5
20265,2566,5
9145,2566,2
20114,2566,5
898,2566,5
17630845,2566,5
3627,7277,5
12613537,7277,5
5636,7277,5
4766,7277,5
13808266,7277,1
3627,3214,4
5636,3214,3
7277,3214,3
9067,9390704,3
16413,13880,5
4933,13880,5
12174653,13880,3
16120407,13880,5
12613820,13880,5
14038803,13880,3
9390879,13880,5
4933,9391482,5
12174653,9391482,3
13621,9391482,5
39314505,9391482,1
12613820,9391482,1
9390879,9391482,5
13880,9391482,5
4934,9349518,5
18248,9349518,5
20607,9349518,5
20265,9349518,5
17630845,9349518,3
13503481,9137,5
12613537,9137,5
13808266,9137,2
3627,19359,5
39314505,19359,5
4010,19359,5
16120407,19359,3
4766,19359,5
9390879,19359,4
13808266,19359,2
3214,19359,3
9137,19359,4
3627,13934387,5
13503481,13934387,1
39314505,13934387,5
12613537,13934387,3
5636,13934387,5
13808266,13934387,1
7277,13934387,5
19359,13934387,5
3627,28155517,5
39314505,28155517,5
19359,28155517,5
13934387,28155517,1
3627,16407,5
13503481,16407,5
4010,16407,5
5636,16407,5
259,16407,3
3214,16407,1
19359,16407,5
13934387,16407,4
16413,13234,5
16407,13234,5
4934,3116,5
18248,3116,5
20607,3116,5
20265,3116,5
20114,3116,1
898,3116,5
9349518,3116,5
4934,19412,5
18248,19412,5
20607,19412,5
19494,19412,5
20265,19412,5
9145,19412,1
20114,19412,5
898,19412,5
17630845,19412,5
2566,19412,5
13503481,9142,1
12613537,9142,2
5636,9142,2
13808266,9142,3
7277,9142,5
19359,9142,5
13934387,9142,3
3627,3861,5
5636,3861,2
13808266,3861,1
7277,3861,1
19359,3861,5
13934387,3861,4
16407,3861,5
9142,3861,3
3627,695,5
39314505,695,5
5636,695,5
16120407,695,2
4766,695,1
7277,695,5
3214,695,1
19359,695,5
13934387,695,5
28155517,695,5
16407,695,2
9142,695,2
13503481,9130,5
12613537,9130,5
13808266,9130,5
9137,9130,5
16407,9130,2
5636,8848,3
16120407,8848,5
12613820,8848,5
259,8848,2
3214,8848,2
28155517,8848,1
3861,8848,1
4934,7983,5
18248,7983,5
20607,7983,5
19494,7983,5
39314505,7983,5
20265,7983,5
9145,7983,2
20114,7983,5
898,7983,5
17630845,7983,5
2566,7983,5
19412,7983,5
4934,19536,5
18248,19536,5
3627,19536,5
20607,19536,5
19494,19536,5
39314505,19536,5
20265,19536,3
20114,19536,5
898,19536,5
17630845,19536,5
2566,19536,2
19359,19536,5
19412,19536,5
695,19536,5
7983,19536,2
13503481,18805,5
12613537,18805,5
9366680,18805,2
13808266,18805,1
9130,18805,3
16413,2692,5
3627,2692,5
39314505,2692,5
5636,2692,5
16120407,2692,5
259,2692,2
13808266,2692,1
7277,2692,4
3214,2692,5
9137,2692,3
19359,2692,5
13934387,2692,5
28155517,2692,5
16407,2692,3
9142,2692,4
3861,2692,5
695,2692,5
8848,2692,1
19536,2692,5
3627,4455,5
39314505,4455,2
19359,4455,5
2692,4455,5
16413,958,1
3627,958,5
39314505,958,5
19359,958,5
695,958,2
2692,958,5
5636,9549,4
17630845,9549,2
19359,9549,3
695,9549,1
8848,9549,5
2692,9549,2
958,9549,1
3627,644,5
39314505,644,1
5636,644,5
4766,644,2
7277,644,5
3214,644,1
19359,644,5
13934387,644,3
28155517,644,3
16407,644,5
3861,644,3
695,644,4
8848,644,3
2692,644,5
3627,6737,5
5636,6737,5
7277,6737,3
19359,6737,5
13934387,6737,3
16407,6737,5
3861,6737,1
8848,6737,5
2692,6737,5
644,6737,5
16413,9176,5
3627,9176,5
5636,9176,5
12613820,9176,1
7277,9176,5
16407,9176,5
695,9176,2
8848,9176,2
2692,9176,5
644,9176,2
6737,9176,3
3627,9407,5
4010,9407,2
5636,9407,5
12613820,9407,1
9366210,9407,1
4766,9407,1
7277,9407,5
19359,9407,1
13934387,9407,3
16407,9407,5
695,9407,3
8848,9407,4
2692,9407,5
644,9407,4
6737,9407,5
9176,9407,5
13503481,9349556,3
12613537,9349556,3
5636,9349556,5
16407,9349556,3
9130,9349556,1
16413,10933,5
4933,10933,5
13621,10933,3
9067,10933,5
9366680,10933,5
12613820,10933,5
9390879,10933,5
13880,10933,5
9391482,10933,5
13503481,9400730,5
9067,9400730,2
12613537,9400730,5
1854,9400730,1
9366680,9400730,5
13808266,9400730,5
9137,9400730,5
13934387,9400730,3
9130,9400730,5
18805,9400730,5
9349556,9400730,3
5636,171,5
13934387,171,1
3861,171,1
8848,171,1
2692,171,5
644,171,2
39314505,9178,2
19359,9178,5
28155517,9178,2
695,9178,1
2692,9178,5
16413,914,5
3627,914,5
5636,914,5
2787870,914,1
7277,914,4
16407,914,3
695,914,5
8848,914,1
2692,914,5
9549,914,1
644,914,2
6737,914,1
9176,914,5
9407,914,5
171,914,2
3627,2710,5
39314505,2710,5
5636,2710,5
16120407,2710,1
13808266,2710,1
7277,2710,5
3214,2710,3
19359,2710,5
13934387,2710,4
28155517,2710,5
16407,2710,2
9142,2710,1
695,2710,5
19536,2710,1
2692,2710,5
4455,2710,1
958,2710,2
9549,2710,5
644,2710,5
6737,2710,1
9176,2710,5
9407,2710,4
9178,2710,1
914,2710,5
4933,16550136,5
13621,16550136,2
9067,16550136,5
9366680,16550136,5
2787870,16550136,5
9366210,16550136,5
9390879,16550136,1
13880,16550136,2
9391482,16550136,4
10933,16550136,1
3627,1844,5
13503481,1844,5
4010,1844,3
5636,1844,5
19359,1844,5
13934387,1844,2
16407,1844,5
3861,1844,2
695,1844,2
2692,1844,1
644,1844,2
6737,1844,4
9176,1844,2
9407,1844,5
9400730,1844,2
914,1844,3
2710,1844,4
3627,7207,5
5636,7207,5
259,7207,1
7277,7207,4
3214,7207,2
16407,7207,5
13234,7207,5
