"node_1","node_2","edge"
4675,11481129,5
4936,4935,5
9184,6011633,1
6011633,11542018,5
9184,10038,5
9184,1040,5
9184,11456684,5
10038,11456684,5
1040,11456684,1
11456684,11501982,5
259,7543,2
6013,7543,3
6013,11246020,1
7543,11246020,5
259,11532846,5
4456,11532846,5
6013,11532846,5
7543,11532846,5
2612,11532846,5
11246020,11532846,5
11532846,4075,5
6011633,2803,5
11542018,2803,5
11456684,2803,5
11501982,2803,1
9184,18835,5
10038,18835,5
11481129,12847,2
4936,1741122,5
11532846,11590602,5
4075,11590602,5
11532846,16484,5
10038,11526232,5
1040,11526232,5
11456684,11526232,5
4675,11233814,5
11481129,11233814,5
4456,11233814,2
2722,11233814,5
12847,11233814,5
259,298,5
4456,298,5
6013,298,5
7543,298,5
2612,298,5
11246020,298,5
11532846,298,5
4075,298,5
16484,298,5
259,2675,5
6013,2675,5
7543,2675,5
11246020,2675,5
11532846,2675,5
4075,2675,5
1741122,2675,2
298,2675,5
259,2710,5
6013,2710,5
7543,2710,5
11246020,2710,5
11532846,2710,5
4075,2710,4
298,2710,5
2675,2710,5
7543,8784,5
11246020,8784,5
11532846,8784,5
298,8784,5
2675,8784,5
2710,8784,5
259,8256780,5
4456,8256780,5
6013,8256780,5
7543,8256780,5
2612,8256780,5
11246020,8256780,5
11532846,8256780,5
4075,8256780,5
2722,8256780,3
1741122,8256780,5
16484,8256780,5
298,8256780,5
2675,8256780,5
2710,8256780,5
8784,8256780,5
259,24725420,5
4456,24725420,5
6013,24725420,5
7543,24725420,5
2612,24725420,5
11246020,24725420,5
11532846,24725420,5
4075,24725420,5
16484,24725420,5
298,24725420,5
2675,24725420,5
2710,24725420,5
8784,24725420,5
8256780,24725420,5
7543,2753,5
11246020,2753,5
11532846,2753,5
11590602,2753,1
298,2753,5
2675,2753,5
2710,2753,5
8784,2753,5
8256780,2753,5
24725420,2753,5
4075,41805804,5
11590602,41805804,5
7543,3832,5
11246020,3832,5
11532846,3832,5
298,3832,5
2675,3832,5
2710,3832,5
8784,3832,5
8256780,3832,5
24725420,3832,5
2753,3832,2
11532846,958,5
11590602,958,4
298,958,5
2675,958,1
8256780,958,5
24725420,958,5
259,13724,3
6013,13724,5
7543,13724,5
11246020,13724,5
11532846,13724,5
4075,13724,2
298,13724,5
2675,13724,5
2710,13724,5
8784,13724,5
8256780,13724,5
24725420,13724,5
2753,13724,5
3832,13724,5
9184,10244626,5
11456684,10244626,5
11052132,10244626,5
11532846,3108,5
298,3108,5
2675,3108,5
2710,3108,3
8256780,3108,5
24725420,3108,5
13724,3108,1
7543,4676,5
11246020,4676,5
11532846,4676,5
298,4676,5
2675,4676,5
2710,4676,5
8784,4676,5
8256780,4676,5
24725420,4676,5
2753,4676,5
3832,4676,3
13724,4676,5
7543,4677,5
11246020,4677,5
11532846,4677,5
298,4677,5
2675,4677,5
2710,4677,5
8784,4677,5
8256780,4677,5
24725420,4677,5
2753,4677,5
3832,4677,4
13724,4677,5
4676,4677,5
259,7727,5
4456,7727,5
6013,7727,5
7543,7727,5
2612,7727,5
11246020,7727,5
11532846,7727,5
4075,7727,5
2722,7727,5
16484,7727,5
298,7727,5
2675,7727,5
2710,7727,5
8784,7727,5
8256780,7727,5
24725420,7727,5
2753,7727,5
3832,7727,5
958,7727,5
13724,7727,5
3108,7727,5
4676,7727,5
4677,7727,5
11532846,11935,5
298,11935,5
8256780,11935,5
24725420,11935,5
7727,11935,5
