"node_1","node_2","edge"
4457,26788252,5
4457,3807,5
26788252,3807,5
4457,4939,5
4457,15861,5
26788252,15861,5
3807,15861,5
4457,9312,5
26788252,9312,5
3807,9312,5
15861,9312,5
15861,9836607,5
4457,24800870,4
26788252,24800870,5
3807,24800870,5
15861,24800870,5
9312,24800870,5
4457,2182,5
26788252,2182,5
3807,2182,5
4939,2182,1
15861,2182,5
4457,2695,5
26788252,2695,5
3807,2695,5
15861,2695,5
9312,2695,5
24800870,2695,5
2182,2695,2
9837221,4942,4
4457,19900687,5
26788252,19900687,3
9319,19900687,5
3807,5499,1
9837221,20172,1
4942,20172,4
4457,1,3
26788252,1,5
3807,1,5
15861,1,5
9312,1,2
24800870,1,5
2695,1,5
4457,16141,5
26788252,16141,5
3807,16141,5
15861,16141,5
9312,16141,5
24800870,16141,5
2182,16141,1
2695,16141,5
1,16141,5
26788252,13607267,5
3807,13607267,5
15861,13607267,5
9312,13607267,5
9836607,13607267,5
24800870,13607267,5
2695,13607267,5
1,13607267,3
16141,13607267,5
26788252,4058,5
3807,4058,5
15861,4058,5
9312,4058,5
24800870,4058,5
2695,4058,5
1,4058,2
16141,4058,5
13607267,4058,2
9837221,11149,5
4942,11149,5
4457,13731372,1
26788252,13731372,1
3807,13731372,5
15861,13731372,3
24800870,13731372,2
4457,611292,2
26788252,611292,5
3807,611292,5
15861,611292,5
9312,611292,5
9836607,611292,5
24800870,611292,5
2695,611292,5
1,611292,5
16141,611292,5
13607267,611292,5
4058,611292,3
26788252,19900618,2
15861,19900618,5
24800870,19900618,5
2695,19900618,5
13607267,19900618,1
611292,19900618,2
4939,4940,2
9837221,20268,5
4457,19900583,5
26788252,19900583,5
3807,19900583,5
15861,19900583,5
9312,19900583,5
24800870,19900583,5
2182,19900583,4
2695,19900583,5
5499,19900583,1
1,19900583,5
16141,19900583,5
13607267,19900583,5
4058,19900583,5
13731372,19900583,4
611292,19900583,5
4457,943,1
26788252,943,4
3807,943,5
15861,943,5
9312,943,3
9836607,943,4
24800870,943,5
2695,943,5
1,943,2
13607267,943,5
611292,943,5
19900618,943,5
19900583,943,5
4457,7966,1
3807,7966,1
15861,7966,5
24800870,7966,5
2695,7966,1
13607267,7966,2
611292,7966,5
19900583,7966,4
943,7966,5
9319,8738,5
19900687,8738,5
9837221,9450,5
20268,9450,5
26788252,644,5
3807,644,5
15861,644,5
9312,644,3
24800870,644,5
2695,644,4
19900687,644,1
1,644,1
16141,644,4
13607267,644,4
4058,644,2
611292,644,5
19900583,644,5
943,644,4
26788252,1753,5
3807,1753,5
15861,1753,5
9312,1753,5
9836607,1753,2
24800870,1753,5
2695,1753,5
16141,1753,5
13607267,1753,5
4058,1753,1
611292,1753,5
19900583,1753,5
943,1753,5
7966,1753,3
644,1753,3
26788252,4265,5
3807,4265,5
15861,4265,5
9312,4265,5
24800870,4265,5
2695,4265,5
16141,4265,5
13607267,4265,5
611292,4265,5
19900618,4265,3
19900583,4265,5
943,4265,5
644,4265,1
1753,4265,5
26788252,8368,1
3807,8368,5
15861,8368,5
24800870,8368,2
611292,8368,1
19900583,8368,4
26788252,9313,4
3807,9313,5
15861,9313,5
9312,9313,1
24800870,9313,5
16141,9313,2
611292,9313,3
19900583,9313,5
1753,9313,1
4265,9313,1
4457,11860,1
26788252,11860,5
3807,11860,5
15861,11860,5
9312,11860,5
24800870,11860,5
2695,11860,5
1,11860,5
16141,11860,5
13607267,11860,5
4058,11860,4
611292,11860,5
19900618,11860,3
19900583,11860,5
943,11860,5
7966,11860,3
644,11860,5
1753,11860,5
4265,11860,5
8368,11860,1
9313,11860,2
4457,9836573,1
26788252,9836573,5
3807,9836573,5
15861,9836573,5
9312,9836573,5
24800870,9836573,5
2695,9836573,5
1,9836573,1
16141,9836573,5
13607267,9836573,5
4058,9836573,5
611292,9836573,5
19900583,9836573,5
943,9836573,1
644,9836573,1
1753,9836573,2
4265,9836573,3
11860,9836573,5
26788252,28742463,5
3807,28742463,5
15861,28742463,5
9312,28742463,5
24800870,28742463,5
2695,28742463,5
1,28742463,2
16141,28742463,5
13607267,28742463,3
4058,28742463,5
611292,28742463,5
19900583,28742463,5
644,28742463,1
1753,28742463,5
4265,28742463,5
9313,28742463,5
11860,28742463,5
9836573,28742463,5
4457,37999108,3
26788252,37999108,5
3807,37999108,5
15861,37999108,5
9312,37999108,5
24800870,37999108,5
2182,37999108,2
2695,37999108,5
1,37999108,5
16141,37999108,5
13607267,37999108,5
4058,37999108,5
13731372,37999108,3
611292,37999108,5
19900583,37999108,5
943,37999108,5
7966,37999108,1
644,37999108,5
1753,37999108,5
4265,37999108,5
8368,37999108,3
9313,37999108,5
11860,37999108,5
9836573,37999108,5
28742463,37999108,5
26788252,958,3
3807,958,5
15861,958,5
9836607,958,5
16141,958,2
13607267,958,5
611292,958,4
19900583,958,3
943,958,1
644,958,2
1753,958,2
11860,958,1
37999108,958,4
4457,39828366,5
26788252,39828366,5
9312,39828366,5
24800870,39828366,5
2695,39828366,5
5499,39828366,5
16141,39828366,5
13607267,39828366,2
611292,39828366,5
19900583,39828366,5
1753,39828366,4
4265,39828366,5
8368,39828366,1
9313,39828366,2
11860,39828366,5
9836573,39828366,5
28742463,39828366,5
37999108,39828366,4
9837221,20839,5
9836607,20839,1
4942,20839,3
20172,20839,5
20268,20839,1
4457,910,5
4939,910,5
15861,910,1
2182,910,4
19900687,910,5
4940,910,1
