"node_1","node_2","edge"
4947,13628,5
4944,16857,5
4947,11637,3
4947,6030221,5
11637,6030221,5
4944,5720,5
16857,5720,5
4944,11752,5
5720,11752,5
4944,5805094,5
5720,5805094,5
11752,5805094,5
4944,5725120,3
11752,5725120,5
11752,5703186,5
5805094,5703186,5
5725120,5703186,5
4944,5974431,5
16857,5974431,5
5720,5974431,5
11752,5974431,5
5805094,5974431,2
5703186,5974431,5
4944,6033233,5
5720,6033233,5
11752,6033233,4
5805094,6033233,5
5725120,6033233,5
5703186,6033233,4
5974431,6033233,2
4944,964,5
5720,964,5
11752,964,5
5805094,964,5
5725120,964,5
5703186,964,5
5974431,964,5
6033233,964,3
13628,5701730,3
11637,5701730,5
6030221,5701730,5
5725120,9900,5
16857,6127845,5
5703186,6127845,4
6033233,6127845,5
964,6127845,4
4944,6032813,5
5720,6032813,5
11752,6032813,5
5805094,6032813,5
5725120,6032813,5
5703186,6032813,5
6033233,6032813,5
964,6032813,5
4944,16858,5
16857,16858,5
11752,16858,5
5725120,16858,5
5703186,16858,1
6033233,16858,5
6127845,16858,5
5725120,4768,5
5805094,6037215,5
5725120,6037215,3
5703186,6037215,5
6033233,6037215,5
964,6037215,5
6032813,6037215,5
4944,19879269,5
16857,19879269,5
16858,19879269,5
5725120,3229,5
4947,5685901,5
11637,5685901,4
5701730,5685901,5
5725120,16893,5
9900,16893,5
4944,6032690,5
5720,6032690,1
11752,6032690,5
5805094,6032690,5
5725120,6032690,5
5703186,6032690,5
6033233,6032690,2
964,6032690,5
6032813,6032690,5
6037215,6032690,5
5974431,2710,5
16853,2710,3
4947,11256,1
13628,11256,5
11637,11256,5
6030221,11256,5
5701730,11256,5
5685901,11256,5
13628,5987237,5
11637,5987237,5
6030221,5987237,5
5701730,5987237,5
5685901,5987237,5
11256,5987237,5
4944,6037683,5
16857,6037683,5
5720,6037683,5
11752,6037683,5
5805094,6037683,5
5703186,6037683,5
5974431,6037683,5
6033233,6037683,5
16849,6037683,4
964,6037683,5
4458,6037683,3
6032813,6037683,5
2710,6037683,5
4944,5883316,5
5720,5883316,5
11752,5883316,5
5725120,5883316,5
5703186,5883316,4
5974431,5883316,5
6033233,5883316,5
6032813,5883316,1
16858,5883316,5
6037683,5883316,5
4944,6032795,5
5720,6032795,5
11752,6032795,5
5805094,6032795,5
5725120,6032795,5
5703186,6032795,5
5974431,6032795,5
6033233,6032795,5
964,6032795,5
6032813,6032795,5
6037215,6032795,5
6032690,6032795,5
6037683,6032795,5
5701730,5685821,4
5987237,5685821,3
4944,21127,5
16857,21127,5
5720,21127,5
5805094,21127,5
5974431,21127,5
6033233,21127,5
964,21127,1
6127845,21127,5
16858,21127,5
19879269,21127,5
6037683,21127,5
5883316,21127,4
4944,4671221,5
5720,4671221,5
11752,4671221,5
5725120,4671221,5
5703186,4671221,5
5974431,4671221,5
6033233,4671221,5
16849,4671221,2
964,4671221,5
9900,4671221,3
6127845,4671221,5
6032813,4671221,5
16858,4671221,1
4768,4671221,5
6037215,4671221,4
3229,4671221,5
16893,4671221,4
6032690,4671221,5
6037683,4671221,5
5883316,4671221,5
6032795,4671221,4
21127,4671221,5
11752,6037229,4
5805094,6037229,5
5725120,6037229,5
5703186,6037229,5
6033233,6037229,5
964,6037229,5
6032813,6037229,5
6037215,6037229,5
6032690,6037229,5
5883316,6037229,1
6032795,6037229,5
4671221,6037229,2
6032813,5822269,5
6037215,5822269,5
6032795,5822269,5
6037229,5822269,5
5725120,2695,1
4671221,2695,1
16860,5691884,5
9900,1457,1
16853,1457,5
4458,1457,4
4768,1457,5
16860,1457,5
3229,1457,5
16893,1457,1
2710,1457,5
16865,1457,2
16850,1457,5
11637,5703351,5
6030221,5703351,5
5701730,5703351,5
5685901,5703351,5
11256,5703351,1
4947,6033794,5
13628,6033794,5
11637,6033794,4
6030221,6033794,5
5987237,6033794,5
5685821,6033794,5
6033233,4904731,3
19879269,4904731,5
21127,4904731,5
11637,14483,5
6030221,14483,4
5701730,14483,5
11256,14483,5
5987237,14483,5
5685821,14483,1
5703351,14483,5
4947,6037852,5
13628,6037852,2
11637,6037852,5
6030221,6037852,5
5701730,6037852,5
5685901,6037852,5
6037683,6037852,1
6033794,4949,1
4944,15901,5
5720,15901,5
11752,15901,5
5725120,15901,5
5703186,15901,5
5974431,15901,5
6033233,15901,5
964,15901,5
16853,15901,5
4768,15901,5
19879269,15901,5
3229,15901,5
6032690,15901,5
2710,15901,5
6037683,15901,5
5883316,15901,3
21127,15901,5
4671221,15901,5
1457,15901,5
4904731,15901,5
4944,5702926,5
5720,5702926,5
11752,5702926,5
5805094,5702926,5
5725120,5702926,5
5703186,5702926,5
5974431,5702926,2
6033233,5702926,5
964,5702926,5
6032813,5702926,5
16858,5702926,5
6037215,5702926,5
6032690,5702926,5
6037683,5702926,5
5883316,5702926,5
6032795,5702926,5
21127,5702926,2
4671221,5702926,5
6037229,5702926,5
5822269,5702926,1
15901,5702926,5
3479,5690328,5
9900,5690328,5
16853,5690328,5
4458,5690328,5
16893,5690328,5
2710,5690328,5
16850,5690328,5
5883316,5690328,5
5822269,5690328,4
2695,5690328,5
12907,5690328,5
6037215,16564,5
6037229,16564,5
5690328,16564,5
5703186,1783490,5
6032813,1783490,5
6037215,1783490,5
2710,1783490,5
6032795,1783490,5
6037229,1783490,5
2695,1783490,2
15901,1783490,2
5702926,1783490,5
3479,27630463,5
9900,27630463,5
16853,27630463,5
4458,27630463,5
4768,27630463,1
16893,27630463,5
2710,27630463,5
16865,27630463,5
16850,27630463,5
2695,27630463,5
5703351,27630463,4
12907,27630463,5
5690328,27630463,5
16564,27630463,5
16849,6046040,3
9900,6046040,4
4458,6046040,1
19879269,6046040,5
4671221,6046040,5
4904731,6046040,5
12907,6046040,1
4944,6085805,3
13628,6085805,5
5720,6085805,5
3479,6085805,5
5974431,6085805,5
6033233,6085805,2
5685901,6085805,3
16865,6085805,5
6037683,6085805,5
5685821,6085805,1
21127,6085805,3
4671221,6085805,5
15901,6085805,1
5987237,21463,1
6033794,21463,2
4949,21463,2
27630463,21463,3
11752,5703254,5
5805094,5703254,5
5725120,5703254,3
5703186,5703254,5
6033233,5703254,5
964,5703254,5
6032813,5703254,5
6037215,5703254,5
6032690,5703254,5
6032795,5703254,5
6037229,5703254,5
5822269,5703254,2
5702926,5703254,5
1783490,5703254,5
4671221,16873,1
5691884,16873,5
1457,16873,5
15901,16873,2
5690328,16873,1
27630463,16873,5
4947,5703754,1
13628,5703754,5
11637,5703754,5
6030221,5703754,5
5701730,5703754,5
5685901,5703754,5
11256,5703754,5
5987237,5703754,5
5685821,5703754,5
5703351,5703754,5
14483,5703754,5
4947,5739604,5
11637,5739604,5
6030221,5739604,3
5701730,5739604,5
5685901,5739604,5
6037852,5739604,5
12907,5739604,1
21463,5739604,2
4944,5705560,5
16857,5705560,5
5720,5705560,2
16858,5705560,5
19879269,5705560,5
21127,5705560,5
4671221,5705560,2
5822269,5705560,2
4904731,5705560,5
15901,5705560,5
6046040,5705560,5
5691884,10041,5
5690328,10041,5
27630463,10041,5
6085805,10041,5
6037215,5764944,5
16865,5764944,5
6037229,5764944,5
16564,5764944,5
10041,5764944,2
1783490,9924,1
5691884,8920,5
1783490,8920,5
6046040,8920,5
5764944,8920,5
16853,6016782,2
4458,6016782,2
16860,6016782,5
16850,6016782,1
5691884,6016782,5
16873,6016782,5
10041,6016782,5
8920,6016782,5
9900,27630896,2
16853,27630896,3
2710,27630896,5
11256,27630896,3
5822269,27630896,5
1457,27630896,5
15901,27630896,5
1783490,27630896,5
8920,27630896,1
5691884,18904,5
1457,18904,5
27630463,18904,4
6085805,18904,3
5764944,18904,5
6016782,18904,5
4944,10953,5
5720,10953,5
11752,10953,5
5805094,10953,5
5703186,10953,5
5974431,10953,5
6033233,10953,5
16849,10953,1
964,10953,5
6127845,10953,5
16858,10953,5
2710,10953,5
6037683,10953,5
5883316,10953,5
6032795,10953,5
21127,10953,5
4671221,10953,5
15901,10953,5
5702926,10953,2
6085805,10953,5
5690328,2741,5
16564,2741,1
27630463,2741,5
6085805,2741,4
3479,11999,5
9900,11999,5
16853,11999,5
4458,11999,5
4768,11999,2
16893,11999,5
2710,11999,5
16865,11999,5
16850,11999,5
5883316,11999,2
5822269,11999,4
2695,11999,5
5703351,11999,3
12907,11999,5
5690328,11999,5
16564,11999,5
27630463,11999,5
21463,11999,3
16873,11999,5
10041,11999,5
18904,11999,4
2741,11999,5
4944,6037147,5
16857,6037147,5
5720,6037147,5
11752,6037147,5
5805094,6037147,5
5725120,6037147,1
5703186,6037147,5
5974431,6037147,4
6033233,6037147,5
16849,6037147,3
964,6037147,5
6032813,6037147,5
16858,6037147,5
6037215,6037147,5
19879269,6037147,5
6037683,6037147,5
5883316,6037147,5
6032795,6037147,5
21127,6037147,5
4671221,6037147,5
6037229,6037147,5
5822269,6037147,2
15901,6037147,4
5702926,6037147,5
1783490,6037147,5
6085805,6037147,5
5703254,6037147,5
5705560,6037147,5
10953,6037147,2
13628,756,5
11637,756,4
5725120,756,2
9900,756,5
5685901,756,5
16893,756,5
16865,756,5
5685821,756,4
5703351,756,3
14483,756,3
15901,756,5
4947,5685943,5
13628,5685943,5
11637,5685943,5
6030221,5685943,5
5701730,5685943,5
5685901,5685943,5
11256,5685943,5
5987237,5685943,5
5685821,5685943,4
5703351,5685943,5
6033794,5685943,5
14483,5685943,5
6037852,5685943,5
21463,5685943,1
5703754,5685943,5
5739604,5685943,5
16857,5707573,5
19879269,5707573,5
21127,5707573,5
4904731,5707573,5
15901,5707573,5
6046040,5707573,5
5705560,5707573,5
4944,5703153,5
11752,5703153,5
5703186,5703153,5
9900,5703153,5
6032813,5703153,5
16858,5703153,5
6037215,5703153,5
16893,5703153,5
6037683,5703153,3
5883316,5703153,5
6032795,5703153,5
21127,5703153,3
4671221,5703153,1
6037229,5703153,5
5822269,5703153,5
5702926,5703153,5
5690328,5703153,5
1783490,5703153,3
6085805,5703153,1
5703254,5703153,5
5705560,5703153,5
5764944,5703153,3
6037147,5703153,5
4944,6040484,5
16857,6040484,3
5720,6040484,5
11752,6040484,5
5805094,6040484,5
5703186,6040484,5
5974431,6040484,5
6033233,6040484,5
964,6040484,5
9900,6040484,5
6032813,6040484,4
16858,6040484,5
19879269,6040484,3
6032690,6040484,5
2710,6040484,2
6037683,6040484,5
5883316,6040484,5
6032795,6040484,5
21127,6040484,5
4671221,6040484,5
15901,6040484,5
5702926,6040484,2
5690328,6040484,5
6085805,6040484,5
5705560,6040484,5
10953,6040484,5
6037147,6040484,5
5703153,6040484,5
13628,5280257,5
11637,5280257,5
6030221,5280257,5
5720,5280257,5
5805094,5280257,5
6033233,5280257,2
964,5280257,5
5701730,5280257,5
6032813,5280257,5
5685901,5280257,5
6032690,5280257,5
4671221,5280257,2
5703351,5280257,5
6037852,5280257,5
5690328,5280257,1
6085805,5280257,5
5739604,5280257,3
5685943,5280257,5
6040484,5280257,5
11637,5706136,5
6030221,5706136,5
3479,5706136,5
5701730,5706136,5
5685901,5706136,5
2710,5706136,5
5703351,5706136,5
5690328,5706136,5
27630463,5706136,5
6085805,5706136,2
21463,5706136,3
5703754,5706136,4
11999,5706136,5
5685943,5706136,5
5280257,5706136,5
4944,6051186,5
16857,6051186,5
5720,6051186,5
11752,6051186,5
5805094,6051186,5
5703186,6051186,5
5974431,6051186,5
6033233,6051186,3
964,6051186,5
6032813,6051186,5
6037215,6051186,5
6032690,6051186,5
6037683,6051186,5
6032795,6051186,5
21127,6051186,5
4671221,6051186,5
6037229,6051186,1
5822269,6051186,5
15901,6051186,1
5702926,6051186,5
6085805,6051186,2
5703254,6051186,5
5705560,6051186,4
5764944,6051186,5
10953,6051186,5
6037147,6051186,5
5703153,6051186,5
6040484,6051186,5
4944,5703323,5
16857,5703323,5
5720,5703323,5
11752,5703323,5
5805094,5703323,5
5725120,5703323,5
5703186,5703323,5
5974431,5703323,5
6033233,5703323,5
964,5703323,5
6127845,5703323,5
6032813,5703323,5
16858,5703323,5
6037215,5703323,5
2710,5703323,2
6037683,5703323,5
5883316,5703323,5
6032795,5703323,5
21127,5703323,5
4671221,5703323,5
6037229,5703323,5
5822269,5703323,2
15901,5703323,5
5702926,5703323,5
1783490,5703323,2
6085805,5703323,5
5703254,5703323,4
5705560,5703323,1
10953,5703323,5
6037147,5703323,5
5703153,5703323,5
6040484,5703323,5
6051186,5703323,5
4944,5689172,2
11752,5689172,5
5725120,5689172,5
5703186,5689172,5
6033233,5689172,5
16849,5689172,5
9900,5689172,5
16858,5689172,5
3229,5689172,3
16893,5689172,5
5883316,5689172,5
6032795,5689172,1
4671221,5689172,5
15901,5689172,1
5702926,5689172,5
5690328,5689172,5
9924,5689172,5
6037147,5689172,5
5703153,5689172,5
6040484,5689172,5
5703323,5689172,5
5822269,3797,5
1457,3797,3
1783490,3797,5
8920,3797,4
27630896,3797,5
3479,2218,5
5725120,2218,2
9900,2218,5
16853,2218,2
16893,2218,3
2710,2218,5
6037683,2218,5
4671221,2218,4
2695,2218,3
1457,2218,5
6033794,2218,1
15901,2218,5
5690328,2218,5
27630463,2218,5
6046040,2218,1
10041,2218,2
27630896,2218,5
10953,2218,2
11999,2218,5
5703153,2218,3
6040484,2218,3
5706136,2218,5
5689172,2218,2
3797,2218,3
5725120,592,5
16853,592,2
3229,592,1
2710,592,5
4671221,592,5
1457,592,5
15901,592,5
6085805,592,5
2218,592,2
16853,2410,2
4768,2410,2
3229,2410,3
2710,2410,5
1457,2410,5
15901,2410,5
27630463,2410,4
6085805,2410,5
11999,2410,3
2218,2410,3
592,2410,5
2710,3840,1
1457,3840,5
15901,3840,4
5690328,3840,2
1783490,3840,3
27630463,3840,5
6016782,3840,1
11999,3840,5
592,3840,2
2410,3840,5
4944,5766473,5
5720,5766473,3
5805094,5766473,5
5703186,5766473,5
5974431,5766473,1
6033233,5766473,5
6127845,5766473,5
6032813,5766473,3
6032690,5766473,5
6037683,5766473,5
6032795,5766473,5
21127,5766473,1
5822269,5766473,5
5702926,5766473,5
5703254,5766473,5
10953,5766473,5
6037147,5766473,5
5703153,5766473,5
6040484,5766473,5
5280257,5766473,1
6051186,5766473,5
5703323,5766473,5
13628,5718943,1
5701730,5718943,5
6032690,5718943,4
16865,5718943,1
5691884,5718943,5
12907,5718943,1
5703754,5718943,1
8920,5718943,3
6016782,5718943,5
18904,5718943,3
11637,4982344,5
6030221,4982344,5
5701730,4982344,5
19879269,4982344,5
5685901,4982344,5
5703351,4982344,5
4904731,4982344,5
6046040,4982344,5
5703754,4982344,3
5705560,4982344,5
5685943,4982344,5
5707573,4982344,5
5280257,4982344,5
5706136,4982344,5
13628,5725079,5
11752,5725079,3
5725120,5725079,5
964,5725079,5
6032690,5725079,5
16865,5725079,5
4671221,5725079,5
5822269,5725079,5
15901,5725079,5
5702926,5725079,2
8920,5725079,4
756,5725079,5
5703153,5725079,5
6051186,5725079,5
5703323,5725079,5
3797,5725079,5
2410,5725079,5
5766473,5725079,1
5725120,1014,5
16853,1014,1
16860,1014,3
