"node_1","node_2","edge"
9343,259,1
4952,9511,4
8781,9511,1
9370,9961543,2
780,2566,1
9957006,6745,5
259,644,1
9343,9958235,1
259,9958235,5
644,9958235,1
9343,7429,1
259,7429,5
644,7429,1
9958235,7429,5
9511,15753738,3
9370,6139,1
9956790,9956528,2
9511,27745418,1
9343,6847,1
9370,8206022,2
9961543,8206022,5
9343,2584163,3
259,2584163,2
644,2584163,3
9958235,2584163,3
7429,2584163,3
6847,2584163,3
9343,29315448,2
259,29315448,4
644,29315448,3
9958235,29315448,4
7429,29315448,3
27745418,29315448,5
2584163,29315448,4
259,20612,3
9961543,20612,1
644,20612,1
9958235,20612,2
7429,20612,3
8206022,20612,1
2584163,20612,1
29315448,20612,1
8781,9956920,2
9956790,1854,2
9956528,1854,1
259,3340663,1
9961543,3340663,1
7429,3340663,1
27745418,3340663,1
9958235,1629,1
20612,1629,1
9956790,9366,1
644,9366,1
9958235,9366,1
7429,9366,1
6847,9366,1
2584163,9366,2
29315448,9366,2
1854,9366,2
259,5505,3
644,5505,1
9958235,5505,2
7429,5505,3
27745418,5505,3
2584163,5505,1
29315448,5505,1
20612,5505,2
3340663,5505,1
1629,5505,2
9343,6210,2
259,6210,5
644,6210,3
9958235,6210,5
7429,6210,5
2584163,6210,3
29315448,6210,3
20612,6210,3
3340663,6210,1
9366,6210,2
5505,6210,1
644,28300157,1
6847,28300157,2
2584163,28300157,2
9370,9374,2
6139,9374,2
9370,20269,2
9961543,20269,2
6139,20269,1
8206022,20269,1
9374,20269,3
6847,9369,1
780,18841,2
15753738,18841,1
27745418,18841,1
9343,9352,1
6847,9352,3
2584163,9352,2
1854,9352,1
9366,9352,1
28300157,9352,2
9369,9352,1
