"node_1","node_2","edge"
12952,4956,5
18259,4955,5
12952,2748464,5
4956,2748464,5
12952,2609660,5
18259,2612543,5
12952,2661035,5
4956,2661035,5
12952,2731825,5
18259,7433,5
4955,7433,5
12952,2912073,5
4956,2912073,5
12952,2606996,5
4956,2606996,5
2609664,2606996,5
12952,2608066,5
4956,2608066,5
18259,2626944,5
4955,2626944,5
12952,2609961,5
4956,2609961,5
12952,3085498,5
4956,3085498,5
12952,2609498,5
4956,2609498,5
3085498,2609498,5
12952,2673355,5
18259,2956988,5
2612543,11402,5
7433,11402,1
2673355,11402,5
2673355,541,5
4955,2740105,4
7433,2740105,5
2609332,2740105,5
2661035,2660,1
2912073,2660,5
2673355,2660,4
2673355,5840,5
2956988,5840,5
2673355,9432,5
11402,9432,4
12952,15288,3
4956,15288,1
2748464,15288,5
2661035,15288,3
2731825,15288,5
2912073,15288,5
2606996,15288,5
2609961,15288,5
18259,4122,5
4955,4122,5
2612543,4122,5
7433,4122,5
2626944,4122,5
2956988,4122,5
12952,19183,5
4956,19183,5
2748464,19183,5
2912073,19183,5
2606996,19183,5
2609961,19183,5
15288,19183,2
2956988,16977,3
2912073,9426,5
2606996,9426,4
12952,3155031,5
4956,3155031,5
2660,3155031,5
15288,3155031,5
19183,3155031,5
2673355,2772,4
2956988,2772,5
12952,2945829,5
4956,2945829,5
2609660,2945829,1
5840,2945829,5
19183,2945829,5
16977,2945829,1
9426,2945829,5
18259,2614054,5
4955,2614054,5
2612543,2614054,5
7433,2614054,5
2626944,2614054,5
2956988,2614054,5
4122,2614054,5
12952,19702,5
4956,19702,5
2748464,19702,3
2661035,19702,5
2731825,19702,5
2609664,19702,5
2912073,19702,5
2606996,19702,5
2608066,19702,5
2609961,19702,5
3085498,19702,5
2609498,19702,5
19183,19702,5
3155031,19702,5
9426,2632303,5
2834062,2611307,5
2956988,257,2
9426,257,2
3155031,257,2
2632303,257,5
18259,16204402,5
4955,16204402,5
2626944,16204402,5
4122,16204402,5
2772,16204402,2
2614054,16204402,5
2912073,19067,4
2673355,19067,5
2945829,19067,5
16204402,19067,1
12952,2608621,5
4956,2608621,5
11402,2608621,5
2660,2608621,1
9432,2608621,5
15288,2608621,1
