"node_1","node_2","edge"
4958,20272,5
6553,20272,2
2920419,20272,1
6553,10121,1
2920419,10121,1
3155599,4459,1
4459,2928764,1
20845086,7812,5
4459,9536,1
7812,9536,1
3155599,17189,3
4459,17189,2
7812,17189,1
9536,17189,3
7812,666844,5
9536,666844,5
17189,666844,4
20845086,2668274,5
7812,2668274,5
9536,2668274,2
17189,2668274,1
666844,2668274,5
3155599,2672982,5
7812,2672982,5
9536,2672982,2
17189,2672982,5
666844,2672982,5
2668274,2672982,4
7812,2927695,5
9536,2927695,5
17189,2927695,5
666844,2927695,5
2668274,2927695,5
2672982,2927695,5
7812,3270211,5
9536,3270211,5
17189,3270211,5
666844,3270211,5
2668274,3270211,5
2672982,3270211,5
2927695,3270211,5
20272,2753719,1
20272,19814,3
20272,3189675,2
19814,3189675,5
4958,3251495,3
19814,3251495,5
3189675,3251495,5
4958,2893895,5
20272,2893895,5
4958,2919641,1
20272,2919641,5
7812,2919641,2
9536,2919641,5
666844,2919641,5
2668274,2919641,1
2672982,2919641,3
2927695,2919641,4
3270211,2919641,3
2893895,2919641,5
20845086,2695,5
3155599,2695,2
7812,2695,5
2668274,2695,5
3270211,2695,1
20845086,9521,2
4459,9521,5
2928764,9521,5
2668274,9521,2
2695,9521,3
3155599,9524,5
4459,9524,5
2928764,9524,2
17189,9524,1
2668274,9524,1
2672982,9524,2
2695,9524,1
9521,9524,5
20845086,9531,5
4459,9531,5
2668274,9531,1
9521,9531,3
9524,9531,2
4958,19879,3
6553,19879,3
4459,19879,1
2668274,19879,1
2893895,19879,5
2919641,19879,2
9521,19879,1
9531,19879,1
7812,2780312,5
2668274,2780312,5
2927695,2780312,1
2695,2780312,5
9521,2780312,5
9524,2780312,4
9531,2780312,5
19879,2780312,5
3155599,3658992,5
4459,3658992,2
2672982,3658992,3
9524,3658992,5
4958,2091854,5
6553,2091854,3
20272,2091854,2
2753719,2091854,2
2893895,2091854,5
20845086,9520,5
3155599,9520,4
4459,9520,4
2928764,9520,1
7812,9520,1
17189,9520,1
2695,9520,3
9521,9520,1
9524,9520,2
9531,9520,4
3658992,9520,2
9536,2935945,4
9521,2935945,4
9524,2935945,3
20845086,90,3
2610296,90,2
10121,90,1
4459,90,2
2668274,90,3
2695,90,1
9531,90,3
2780312,90,4
4958,19262,5
6553,19262,5
2920419,19262,1
20272,19262,5
10121,19262,5
19814,19262,1
3189675,19262,2
3251495,19262,2
2893895,19262,3
2919641,19262,2
19879,19262,1
20845086,9529,2
3155599,9529,4
4459,9529,5
2928764,9529,1
17189,9529,3
2695,9529,1
