"node_1","node_2","edge"
7481234,7506133,3
7481234,20116,5
7506133,20116,5
7463770,20116,5
7481234,3902,5
7506133,3902,5
20813,3902,2
7506237,19259,2
7481234,19259,5
7506133,19259,4
7463770,19259,1
20116,19259,5
7506237,20175,5
7481234,20175,5
7506133,20175,2
7463770,20175,2
20116,20175,5
20813,20175,2
3902,20175,2
19259,20175,5
7481234,9468,5
7506133,9468,5
20116,9468,5
20813,9468,3
19259,9468,5
20175,9468,5
7506133,9481,5
7463770,9481,5
20116,9481,5
19259,9481,5
20175,9481,5
9468,9481,5
7481234,20853,5
7506133,20853,4
20116,20853,5
20813,20853,5
19259,20853,5
20175,20853,5
9468,20853,5
9481,20853,5
7481234,9538400,5
20116,9538400,3
19259,9538400,5
20175,9538400,2
9468,9538400,3
20853,9538400,4
7506133,14612,5
20116,14612,5
20813,14612,5
19259,14612,5
20175,14612,5
9468,14612,5
20853,14612,5
20116,7609938,1
19259,7609938,2
20175,7609938,1
9468,7609938,3
9481,7609938,1
20853,7609938,1
20813,38427656,5
20175,38427656,2
9468,38427656,5
20853,38427656,3
14612,38427656,5
19259,7506169,3
9468,7506169,1
20853,7506169,2
9538400,7506169,1
7481234,898,5
20116,898,3
3902,898,2
19259,898,1
20175,898,3
9468,898,4
9538400,898,4
19259,7506193,1
9538400,7506193,2
898,7506193,5
20813,19839,5
19259,19839,3
20175,19839,3
9468,19839,2
20853,19839,5
9538400,19839,5
14612,19839,1
38427656,19839,5
7506169,19839,1
20813,7613386,4
19259,7613386,2
20853,7613386,3
9538400,7613386,5
7609938,7613386,2
7506169,7613386,4
7506193,7613386,5
19839,7613386,5
7506237,130,5
7506133,130,5
7463770,130,5
898,585385,5
19839,585385,4
7481234,1269570,5
20116,1269570,4
3902,1269570,2
19259,1269570,2
20175,1269570,4
9468,1269570,3
20853,1269570,5
9538400,1269570,5
898,1269570,5
585385,1269570,2
20116,25897737,2
19259,25897737,3
20175,25897737,1
9468,25897737,4
9481,25897737,1
7609938,25897737,5
898,25897737,2
130,735,2
7506133,9466,3
3902,9466,2
130,9466,3
7506237,17068,1
7506133,17068,5
7463770,17068,5
3902,17068,3
130,17068,5
735,17068,5
9466,17068,2
7481234,259,5
7506133,259,5
7463770,259,5
20116,259,1
3902,259,5
20175,259,1
9481,259,1
9538400,259,2
898,259,5
130,259,5
1269570,259,5
9466,259,5
17068,259,5
7506133,2695,3
3902,2695,5
20175,2695,2
9468,2695,1
9481,2695,1
9538400,2695,5
898,2695,5
130,2695,5
1269570,2695,5
9466,2695,5
17068,2695,5
259,2695,5
7506133,6432,5
7463770,6432,5
3902,6432,2
130,6432,3
9466,6432,3
17068,6432,5
259,6432,5
2695,6432,5
7506237,7531718,5
7481234,7531718,5
20116,7531718,2
3902,7531718,2
19259,7531718,2
20175,7531718,4
9468,7531718,3
20853,7531718,4
9538400,7531718,5
898,7531718,5
7613386,7531718,2
1269570,7531718,5
259,7531718,5
2695,7531718,5
7506237,3394,5
7506133,3394,5
3902,3394,1
130,3394,3
585385,3394,2
9466,3394,4
17068,3394,5
259,3394,5
2695,3394,5
6432,3394,5
7531718,3394,1
7506237,15689655,5
7463770,15689655,5
20116,15689655,2
20175,15689655,3
259,15689655,1
2695,15689655,2
7506237,3728,1
7506133,3728,5
130,3728,1
259,3728,5
2695,3728,5
6432,3728,2
3394,3728,4
7463770,17320,4
130,17320,1
735,17320,4
20175,2959035,1
7609938,2959035,5
735,9907,5
17320,9907,1
20175,1575199,1
