"node_1","node_2","edge"
3316288,4963,5
3316288,20273,5
4963,2633,1
4963,21140,3
2633,21140,5
3316288,10196679,5
4963,10196679,1
20273,10196679,2
2633,10196679,1
3316288,20179,5
4963,20179,5
20273,20179,2
2633,20179,4
21140,20179,5
10196679,20179,5
5743,1854,5
7484,1854,5
3316288,29334458,5
4963,29334458,4
20273,29334458,4
10196679,29334458,5
20179,29334458,5
2633,28299352,3
21140,28299352,3
4963,26357207,1
2633,26357207,1
20273,9566,2
21140,9566,1
4963,10142706,5
20273,10142706,2
2633,10142706,2
21140,10142706,5
20179,10142706,5
29334458,10142706,5
9566,10142706,2
4963,10151254,1
28299352,10151254,2
5743,4961,2
7484,4961,1
1854,4961,3
5743,8451,3
7484,8451,2
1854,8451,1
4961,8451,1
29334458,3765756,3
10142706,3765756,1
5743,2868,1
4963,10155606,2
20179,10155606,1
26357207,10155606,2
10151254,10155606,5
3765756,10155606,2
3316288,2675,5
5743,2675,3
7484,2675,2
1854,2675,3
29334458,2675,2
4961,2675,1
7484,10154476,5
1854,10154476,3
4961,10154476,5
4963,11244097,1
2633,11244097,5
26357207,11244097,5
20273,20463,3
10196679,20463,5
20179,20463,1
1854,20463,2
26357207,20463,3
10155606,20463,3
11244097,20463,2
28299352,10156266,1
26357207,10156266,3
5743,28299354,5
1854,28299354,1
4961,28299354,1
8451,28299354,1
5743,958,1
28299354,958,1
1854,566,1
5743,2147,2
28299354,2147,1
7484,372,4
1854,372,1
7484,198,2
1854,198,3
8451,198,1
2675,198,2
9565,198,1
1854,3250,3
8451,3250,1
2868,3250,1
2675,3250,1
198,3250,2
1854,9560,2
7484,28206520,3
1854,28206520,4
10154476,28206520,1
10156266,28206520,3
5743,8313,3
7484,8313,2
8451,8313,3
2868,8313,2
2675,8313,1
9565,8313,2
28299354,8313,2
3250,8313,1
2675,6583475,1
3250,6583475,2
8313,6583475,1
1854,39315260,3
4961,9561,1
7484,226,4
1854,226,1
4961,226,1
8451,226,1
2675,226,2
10154476,226,2
9565,226,1
198,226,3
3250,226,3
7484,10150556,1
8451,10150556,2
3250,10150556,3
8313,10150556,1
6583475,10150556,1
226,10150556,2
2868,95,2
8313,95,2
7484,2034,2
1854,2034,2
2675,2034,1
198,2034,2
3250,2034,2
9560,2034,1
28206520,2034,1
226,2034,2
8451,8368,2
198,8368,1
3250,8368,2
8313,8368,1
226,8368,2
10150556,8368,1
2034,8368,1
1854,39315261,4
28299352,39315261,1
39315260,39315261,1
5743,946,1
7484,946,1
1854,946,2
4961,946,1
8451,946,2
2675,946,1
9565,946,1
958,946,1
198,946,2
3250,946,1
8313,946,1
226,946,1
10150556,946,1
2868,1687,1
8313,1687,1
3316288,170434,5
10196679,170434,1
29334458,170434,1
26357207,170434,3
11244097,170434,1
10156266,170434,1
7484,4122,2
1854,4122,1
2675,4122,1
958,4122,1
372,4122,1
3250,4122,1
8313,4122,1
226,4122,1
2034,4122,1
7484,6278376,4
8313,6278376,1
226,6278376,1
4122,6278376,1
