"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"9227039","DENNIS KEENE CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",57448.31
"13413","KENTUCKY HOUSE DEMOCRATIC CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",586198.5
"4841","KENTUCKY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,80.6703577907108,"#FF0000AF","#9E0000AF",103468.03
"13414","KENTUCKY HOUSE REPUBLICAN CAUCUS CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",90713.72
"10850394","COAL","Uncoded","Uncoded","Uncoded",76.8518518518518,23.1481481481481,"#000085AF","#000085AF",5400
"266","ATMOS ENERGY","Oil & Gas","Energy & Natural Resources","Oil & gas",77.2486772486772,22.7513227513227,"#00008AAF","#00008AAF",47250
"20598","PLUMBERS & PIPEFITTERS LOCAL 502","General Trade Unions","Labor","Construction unions",93.6507936507936,6.34920634920635,"#0000DBAF","#0000DBAF",31500
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",97.6744186046512,2.32558139534884,"#0000F0AF","#0000F0AF",43000
"18878","KENTUCKY ASSOCIATION OF HEALTH CARE FACILITIES","Hospitals & Nursing Homes","Health","Nursing homes",73.4789391575663,26.5210608424337,"#000075AF","#000075AF",32050
"1702","MERCK & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",77.027027027027,22.972972972973,"#00008AAF","#00008AAF",18500
"13416","KENTUCKY OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",65.0273224043716,34.9726775956284,"#00004DAF","#00004DAF",128100
"20231","KENTUCKY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",72.9792147806005,27.0207852193995,"#000070AF","#000070AF",108250
"19738","GENERAL DRIVERS WAREHOUSEMEN & HELPERS LOCAL 89","Transportation Unions","Labor","Teamsters unions",52.9411764705882,47.0588235294118,"#00000AAF","#00000AAF",8500
"7121434","TEAMSTERS LOCAL 783","Transportation Unions","Labor","Teamsters unions",75,25,"#00007FAF","#00007FAF",4000
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",68.8311688311688,31.1688311688312,"#00005CAF","#00005CAF",3850
"10457","BLUEGRASS CMTE","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",27000
"12904","HOME BUILDERS ASSOCIATION OF KENTUCKY","Home Builders","Construction","Residential construction",69.3548387096774,30.6451612903226,"#000061AF","#000061AF",12400
"7414","KENTUCKY HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",73.0737365368683,26.9262634631317,"#000075AF","#000075AF",60350
"3184","KENTUCKY AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",69.8863636363636,30.1136363636364,"#000061AF","#000061AF",61600
"1277","HUMANA","Health Services","Health","HMOs",71.4285714285714,28.5714285714286,"#00006BAF","#00006BAF",22750
"5237","KENTUCKY CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",80.1282051282051,19.8717948717949,"#000099AF","#000099AF",7800
"7403","KENTUCKY JUSTICE ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",93.5897435897436,6.41025641025641,"#0000DBAF","#0000DBAF",39000
"7404","KENTUCKY BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",74.2765273311897,25.7234726688103,"#00007AAF","#00007AAF",31100
"17056","WELLPOINT INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",83.3333333333333,16.6666666666667,"#0000A8AF","#0000A8AF",9000
"7418","KENTUCKY ACADEMY OF EYE PHYSICIANS & SURGEONS","Health Professionals","Health","Optometrists & ophthalmologists",92.8571428571429,7.14285714285714,"#0000D6AF","#0000D6AF",7000
"9157953","KENTUCKY PHARMACISTS ASSOCIATION","Health Professionals","Health","Pharmacists",100,0,"#0000FFAF","#0000FFAF",13750
"40616269","KY ATTORNEYS POLITICAL ACTION TRUST","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",5000
"2710","UPS","Air Transport","Transportation","Express delivery services",81.6901408450704,18.3098591549296,"#00009EAF","#00009EAF",17750
"7419","KENTUCKY SOCIETY OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",85.6060606060606,14.3939393939394,"#0000B3AF","#0000B3AF",13200
"9177511","KENTUCKY WHOLESALE LIQUOR DEALERS","Beer, Wine & Liquor","General Business","Liquor wholesalers",82.1428571428571,17.8571428571429,"#0000A3AF","#0000A3AF",14000
"9196382","WOMENS NETWORK","Women's Issues","Ideology/Single Issue","Women's issues",100,0,"#0000FFAF","#0000FFAF",13500
"914","ENTERPRISE HOLDINGS","Automotive","Transportation","Car & truck rental agencies",72.4517906336088,27.5482093663912,"#000070AF","#000070AF",9075
"19583","BOILERMAKERS LOCAL 40","General Trade Unions","Labor","Construction unions",90.9090909090909,9.09090909090909,"#0000CCAF","#0000CCAF",22000
"1543","LIFEPOINT HOSPITALS","Hospitals & Nursing Homes","Health","Hospitals",38.4615384615385,61.5384615384615,"#3D0000AF","#3D0000AF",3250
"735","CSX TRANSPORTATION","Railroads","Energy & Natural Resources","Railroads",84.7826086956522,15.2173913043478,"#0000ADAF","#0000ADAF",11500
"21178","LEXINGTON FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",78.4671532846715,21.5328467153285,"#00008FAF","#00008FAF",13700
"20803","INDIANA KENTUCKY OHIO REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",96.875,3.125,"#0000EBAF","#0000EBAF",16000
"1625","MARATHON OIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",51.2820512820513,48.7179487179487,"#000005AF","#000005AF",5850
"592","CITIGROUP","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",70.3703703703704,29.6296296296296,"#000066AF","#000066AF",6750
